식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,추가 장비,영상,QR 코드 결제,X (트위터),외국어 지원,맥주 제작자,온라인 예약
WARAYAKI funsista,Warayaki Funsista,https://retty.me/area/PRE13/ARE13/SUB1303/100001727163/,050-5462-5964,비스트로 식당 바 해산물 및 해산물 바,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00
[태양, 토요일, 휴일]
 12:00-23:00",,"점심:-
저녁 식사 : ~ 8,000 엔",,,"Takigen Building 1-24-4 Nishigotanda, Shinagawa-Ku, 도쿄 1st 및 2 층
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 2 분 (120m)
JR Yamanote Line / Gotanda Station 4 분 도보 (280m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (740m)",,70 석,예,,예,,https://warayakifunsista.com/,,,,,,,,,"엔터테인먼트, 저녁 식사, 고기, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 개인 실, Paypay Points 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,,,03-6910-4985,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001727163/archive/3347085-667cefb029a54.jpg,,,,,
おでん屋たけし西五反田店,Odenya Takeshi Nishi-Gotanda 지점,https://retty.me/area/PRE13/ARE13/SUB1303/100001721457/,050-5462-7836,이자카야 오덴 사시미 일본 음식 야키토리,"[월요일부터 금요일까지]
저녁 식사 16:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 15:00-22:30 L.O. 22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",,"1-17-1 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 2 분 (150m)
JR Yamanote Line / Gotanda Station 3 분 도보 (210m)
JR Yamanote Line / 오사키 역에서 도보로 9 분 (680m)",예,"41 석
(32 테이블 좌석)","예
(카운터에서 9 석)","불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://oden-nishigotanda.foodre.jp/
https://shops.alwayssaisei.co.jp/detail/4920/",https://www.instagram.com/odenyatakeshi/,,,,,우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,저녁 식사 연회 및 음주 당사자 급여 지불 지불 가능 온라인 예약 가능 인기 상점 예약,,,,,,불가능합니다,예,03-6417-4111,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001721457/archive/3542432-67caca461cb9a.jpg,PayPay,,언어 지원 메뉴가 있습니다,,
遠野ジンギスカン酒場よし田 五反田本店,Tono Jingisu Khan Bar Yoshida Gotanda 메인 스토어,https://retty.me/area/PRE13/ARE13/SUB1303/100001530384/,050-5462-2063,Jingisu Khan Izakaya,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Sanyu Nishi-Gotanda 빌딩 1-32-4 Nishi-Gotanda, Shinagawa-Ku, 도쿄 1st 지하실 층
큰지도를보십시오","■ 스테이션에서 접근
오사키 히로 코지 역에서 도우 키 이케 가미 라인 / 도보 3 분 (170m)
JR Yamanote Line / Gotanda Station 3 분 도보 (240m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (790m)",예,40 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.meraki-inc.jp/,,,,,,,,,"저녁 식사, 라이스, 솔로, 흡연 허용, 연회 및 음주 파티, 쿠폰 이용 가능, Paypay Payment, New Year 's Party, Welcome Party, Quick and Year-End Party, 빠르고 캐주얼, 새해 파티, 캐주얼, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,,예,03-6910-4800,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001530384/archive/2936503-6392e179e455e.png,PayPay,,,,
trattoria e poi,Trattoria e poi,https://retty.me/area/PRE13/ARE13/SUB1303/100001556181/,050-5262-4518,이탈리아 요리 해산물과 해산물,"[tue-fri]
점심 11:30-13:30
저녁 식사 18 : 00-23 : 30 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 16:00-23:30 L.O. 22:00
영업 시간은 하루에 따라 다를 수 있습니다",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"도쿄 모리스 빌딩 2F, 8-4-15 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 1 분 (31m)
JR Yamanote Line / Gotanda Station 5 분 도보 (360m)
JR Yamanote Line / 오사키 역에서 도보로 9 분 (650m)",없음,37 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://trattoriaepoi.foodre.jp/
https://foodplace.jp/epoi/",https://www.instagram.com/trattoria_epoi?igshid=1646r7vf4l6nn,https://www.facebook.com/trattoria-epoi-100930111834144/,,,,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.",,사용 가능한 예약,"점심, 저녁 식사, 점심, 연회, 음주 파티, 모든 당신이 살아 난 파티, 와인 음료, 고기, 고기, 급여 지불 지불, 크리스마스 저녁 식사, 캐주얼, 온라인 예약 가능, 인기있는 매장 예약
다른 사용 장면을 참조하십시오",,,,,,,예,03-6384-6995,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001556181/archive/2054633-5fa34b1df346f.jpg,PayPay,,,,
魚介ビストロ sasaya BYO 大崎,해산물 비스트로 사사야 비오 오사키,https://retty.me/area/PRE13/ARE13/SUB1303/100001160394/,03-6417-0574,이자카야 해산물/해산물 요리 파스타 굴 바,"[월요일부터 금요일까지]
점심 11:30-14:00
저녁 식사 17 : 30-23 : 30
[토양]
저녁 식사 17:30-22:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2F New Osaki Building, 3-6-17 Osaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 오사키 역에서 도보로 1 분 (30m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (640m)
JR Yamanote Line / Gotanda Station 10 분 도보 (760m)",없음,80 석,없음,"(완전히 금연 (점심 시간 동안 흡연 없음))))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,,,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간 전후 2 시간, 2 시간 30 분 만에 다소 링크, 3 시간 이상",우리는 고기 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"연회 및 음주 파티 전 만세 드링크 저녁 식사 개인 객실 저녁 식사 쿠폰 이용 가능한 페이 페이 지불 가능 급여 지불 포인트 온라인 예약 가능 연말 파티 인기 상점 예약 성인 새해 파티 성인 연말 파티 세련
다른 사용 장면을 참조하십시오",숨는 곳,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001160394/archive/136330-589314e247df7.jpg,PayPay,,,,
タンとタン 焼肉いわしげ 五反田店,황갈색과 탄 야키 니 쿠 이와시지 고 탄다 지점,https://retty.me/area/PRE13/ARE13/SUB1303/100001571701/,03-6420-0726,야키 니쿠 쇠고기 혀 호르몬,"[하루 종일]
점심 11:30-14:00 L.O. 13:30
저녁 식사 17:00-22:30 L.O. 22:00
영업 시간은 하루에 따라 다를 수 있습니다
저녁 식사 시간이 변경됩니다. 불편을 드려 죄송합니다. 이로 인해 귀하의 협력에 감사드립니다.
저녁 식사 17 : 00-22 : 30 (L.O. 22:00)","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-2-8 Nishigotanda, Shinagawa-Ku, 도쿄 FPG 링크 Gotanda 8f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (39m)
오사키 히로 코지 역에서 도우 키 이케 가미 라인 / 도보 4 분 (320m)
JR Yamanote Line / Osaki Station에서 도보로 11 분 (850m)","예
근처 (할인 없음) 사용 가능",45 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://tantotan.base.shop,,https://www.facebook.com/@yakinikuiwashige,,"7,000 엔에서 7,999 엔으로 제공됩니다","999 엔 미만의 all-you-can-drink 가격, 1000 엔에서 1999 엔까지, 2 시간 동안 all-you-can-drink",우리는 고기 요리와 식품 생산 공간에 대해 특히 알고 있으며 요리사는 유명한 식당에서 훈련을 받았으며 매장 내에서 준비했습니다.,"맥주, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"PayPay 지불 가능 PAYPAY POSS 온라인 예약 이용 가능 연말-엔드 파티 새해 파티 점심 식사 점심 식사 저녁 식사 저녁 식사 저녁 식사 저녁 식사 성인 파티 성인 연말 파티 작별 파티 세련된 파티 세련
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,,예,,휴대품 룸이 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001571701/archive/2579015-61bd6f42f2e9d.jpg,PayPay,https://x.com/tan_to_tan_,,,
プラネット,행성,https://retty.me/area/PRE13/ARE13/SUB1303/100000042839/,03-5791-5642,이자카야 고기 바 이탈리아 바,"[월요일 ~ 목요일, 토요일 및 휴일]
 12:00-23:00 L.O. 22:30
[금요일/휴가 전]
 12:00-23:30 L.O. 23:00
[낮]
 12:00-22:00 L.O. 21:30
*자녀가있는 고객은 금요일과 공휴일 전날 저녁 시간을 사용할 수 없습니다.

[12 월 주중 저녁 식사 시간 동안 어린이는 이용할 수 없습니다]",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Gotanda Hanaya Building 1f, 5-28-10 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (170m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (570m)
Toei Asakusa Line / Takanawadai 역에서 도보로 12 분 (940m)",없음,40 석,예,,"예
6 명
7 명 이상",불가능합니다,,https://www.instagram.com/planet926/?locale=ja_jp,,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","우리는 고기 요리, 생산 공간에 중점을두고 요리사가 해외에서 훈련했으며 요리사가 유명한 식당에서 훈련했으며 요리사가 매장에서 훈련했습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"고기, 마시는 점심, 데이트, 엔터테인먼트, 저녁 식사, 소녀의 밤, 애프터 파티, 쌀, 개인 객실 엔터테인먼트, 어린이와의 재미, 점심, 개인 객실 점심, 급여 지불 지불, 급여표 포인트, 온라인 예약, 새해 파티, 인기있는 매장
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"예
미취학 아동이 허용되며 초등학생은 허용됩니다",불가능합니다,예 (무료),없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000042839/archive/392677-5AAA20D64CC49.JPG,PayPay,https://twitter.com/planet95890335,언어를 말할 수있는 직원이 있습니다,선 토리,
レストランMAY,레스토랑 5 월,https://retty.me/area/PRE13/ARE13/SUB1303/100001156562/,050-5304-2894,프랑스 요리,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일 및 공휴일]
점심 12:00-15:00 L.O. 13:30
저녁 식사 18:00-23:00 L.O. 21:30",매주 수요일,"점심 : ~ 8,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1F, Elcia Gotanda, 2-7-7 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 4 분 도보 (320m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (580m)
JR Yamanote Line / 오사키 역에서 도보로 8 분 (640m)","없음
근처 (할인 없음) 사용 가능",24 석,없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://restaurantmay.foodre.jp/
https://www.may-iwata.jp/",,https://www.facebook.com/restaurantmay/,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.",,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 수입 된 재료, 유기농 야채, 어린이 메뉴, 요리사가 해외에서 훈련을 받고, 요리사는 유명한 식당에서 훈련 경험을 가지고 있으며 요리사에게는 유명한 식당에서 훈련 경험이 있고, 유명한 요리사의 요리사, 주인 요리사, 주식 요리사에서 훈련 경험이 있습니다.","맥주, 와인, 칵테일",사용 가능한 예약,"저녁 식사, 점심, 날짜, 여자 밤, 점심 날짜, 크리스마스 저녁 식사, 성인 은신처, 엔터테인먼트, 생일, 점심, 작별 파티, 환영 파티, 비영리, 점심, 여자의 밤, 기념일, 급여 지불 지불, 급여 판매 포인트 받기
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,,,,없음,03-6409-6039,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001156562/archive/218486-5ff82727071c5.jpg,PayPay,,,,
五反田寿司 SUSHI TOKYO 81,Gotanda Sushi Sushi 도쿄 81,https://retty.me/area/PRE13/ARE13/SUB1303/100001490724/,050-5262-8183,초밥,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-19:00
저녁 식사 19 : 30-21 : 30
[낮]
저녁 식사 17:00-23:00 L.O. 22:30
마감 시간은 하루에 따라 다를 수 있습니다","불규칙한 휴일
새해 휴일 (확인하십시오)
시장 폐쇄에 따라 Obon과 New Year Holidays 기간 동안 일부 매장이 폐쇄되었습니다.","점심 : ~ 10,000 엔
저녁 식사 : ~ 20,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-20-9 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (220m)
도쿄 이케 가미 라인 / 오사키 히로 코지 스테이션 7 분 도보 (550m)
JR Yamanote Line / Osaki Station에서 도보로 9 분 (710m)","없음
근처 (할인 없음) 사용 가능","38 석
(8 개의 카운터 좌석, 2 층 최대 30 개의 테이블 좌석)","예
(복장 규정이 없습니다. 자유롭게 오십시오. 우리는 어린이의 사용을 받아들이지만, 우리는 당신이 당신의 주문을 떠날 수있는 과정을 주문하도록 요청합니다. 가족이나 지인이있는 개인 파티라면 저희에게 연락하십시오.)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명",https://www.sushi-tokyo81.com/,,,"카운터 좌석은 7 명 이상의 사람들을 위해 예약 할 수 있습니다.
2 시간 시스템이 될 것입니다. 3 시간 이상 서비스를 사용하는 경우 별도로 문의하십시오.","8,000 엔 이상의 코스",,우리는 생선 요리에 대해 특히 그렇습니다. 생산 구역에 특히 특히 알레르기가있는 고객을 수용하고 매장 내에서 준비 할 수 있습니다.,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"날짜, 개인 실, 여자 밤 출시, 결혼 기념일, 기념일, 저녁 식사, 점심, 점심, 한 사람 OK, 크리스마스 저녁 식사, PayPay Points 온라인 예약 가능, 연말 파티, 새해 파티, 세련된, 새해 파티 받기
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,불가능합니다,예,03-6450-3087,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001490724/archive/2211374-601914596E2B9.png,,,,,
瀬戸内 和彩 Naoshima,Setouchi Wasa Naoshima,https://retty.me/area/PRE13/ARE13/SUB1303/100000003695/,050-5304-3131,Izakaya 해산물/해산물 요리 일본 음식 창조적 요리 사시미,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-22:30 L.O. 21:45
[tue-fri]
점심 11:30-14:30 L.O. 14:00
팔리 자마자 끝납니다
*점심 시간에 준비된 요리의 수가 매진되면 우리는 거기에있을 것입니다.","매주 일요일과 공휴일
새해 휴일 (확인하십시오)
*우리는 2025 년 5 월 31 일에 하루 종일 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay","5-27-2 Higashi-Gotanda, Shinagawa-Ku, 도쿄 메인 스테이지 Gotanda Station B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 2 분 도보 (150m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (580m)
Toei Asakusa Line / Takanawadai Station에서 도보로 11 분 (880m)","없음
근처 (할인 없음) 사용 가능","33 석
(우리는 코스를 사용하여 타타미 룸에서 7 명 이상의 사람들을위한 좌석 공간을 예약 할 수 있습니다. 이해해 주셔서 감사합니다. 또한 상점 내부 (최대 33 명의 사람들), 홀 (카운터 좌석에 앉은 사람들), 타타미 룸 (최대 11 명까지)에 대한 예약을 허용합니다.",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 25 명
제한된 수의 사람들이 임대 할 수있는 제한된 수 (좌석) : 33 명","[공식적인]
https://setouchiwasai-naoshima.foodre.jp/",https://www.instagram.com/naoshima_gotanda/,https://www.facebook.com/repas-naoshima-%E4%BA%94%E5%8F%8D%E7%94%B0-165027366898085/,"- 초등학교 시대의 어린이 인 경우 전화로 저희에게 연락하십시오.
- 어린이 의자는 이용할 수 없습니다.
where 예약 상태에 따라 Sunken Gotatsu를위한 좌석을 제공 할 수 있습니다.
Shinagawa Ward 고향 세금 기부 [Shinagawa e-gai 선물]는 지불 방법으로 사용할 수 있습니다.","6,000 엔에서 6,999 엔 코스, 7,000 엔에서 7,999 엔 코스, 8,000 엔 이상이 있습니다.",,"우리는 고기 요리, 생선 요리 및 식품 생산 공간에 특히 그렇습니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"저녁 식사, 개인 실, 저녁 식사, 엔터테인먼트, 크리스마스 저녁 식사, 올해-싱크 링크, 연말 파티, 새해 파티, 작별 파티, 환영 파티, Paypay 지불 가능, Paypay Points, 온라인 예약, 점심 시간, 세련된, 성인 날짜, 새해 파티
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","축하 가능성
배송 가능",없음,예,불가능합니다,,없음,03-6413-5300,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000003695/archive/3322818-665813991ea71.jpg,PayPay,,,,
とりさく 五反田店,Torisaku Gotanda 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100000049200/,03-3493-7781,이자카야 치킨 요리 해산물과 해산물 요리,"[월요일부터 금요일과 토요일]
점심 12:00-15:00
[월요일부터 금요일까지]
저녁 식사 17:00-22:15 L.O. 21:15
[토양]
저녁 식사 17:00-22:00 L.O. 21:00
■ 개장 시간
[점심] 코스 예약 만
*상황에 따라 변할 수 있습니다",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1f Imada Building, 1-25-9 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 2 분 (150m)
JR Yamanote Line / Gotanda Station 4 분 도보 (250m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (750m)",없음,122 석,예,"연기 분리
흡연실 사용 가능
(담배를 피우는 사람들의 경우 : 지하에 위치한 개인 실의 정보 사이트입니다. 상점 외부 입구 근처에는 흡연 구역이 있습니다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",예,"[공식적인]
https://torisaku-gotanda.foodre.jp/
https://www.torisaku.com/",,,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 코스에는 5,000 엔 이상의 링크, 2 시간 동안 온전한 링크, 2 시간 반 동안 온전한 링크가 포함됩니다.","우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 사케, 쇼치, 와인",사용 가능한 예약,"점심, 개인 실, 저녁 식사, 쌀, 흡연 허용, 개인 실, 점심, 세련된 점심, 세련된 개인 실, 개인 실, 엔터테인먼트, 쇼치, 급여 지불 수락, 성인 날짜, 성인 연말 파티, 성인 새해 파티, Paypay Points Get Paypay Points
다른 사용 장면을 참조하십시오","차분한 분위기
단독 주택 레스토랑
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,"예
초등학생들은 환영합니다",,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000049200/archive/3582046-67fd46489ba56.jpg,PayPay,,,,
銀だこハイボール横丁五反田店,Gindako Highball Yokocho Gotanda 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100001444407/,050-5462-7834,타카 요아키 이자카야 카라 지,"[월요일부터 금요일까지]
 15:00-23:00 L.O. 22:30
[토양]
 11:30-23:00 L.O. 22:30
[낮]
 11:30-22:00 L.O. 21:30
자세한 내용은 공식 웹 사이트를 확인하십시오.",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
JCB",Suica,"1-14-2 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 2 분 도보 (90m)
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 6 분 (420m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (740m)","없음
근처 (할인 없음) 사용 가능",106 석,예,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.gindaco.com/store/result/highball Yokocho Gotanda Store,,,,,,우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 사케, 쇼치, 위스키, 칵테일",,"점심, 저녁 식사, 저녁, 연회 및 음료 흡연 허용 급여 지불 지불 온라인 예약 가능 인기있는 식당 이용 가능","활발한 상점
골목을 향합니다","테이크 아웃 가능성
배송 가능",없음,,,불가능합니다,없음,03-6721-7615,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001444407/archive/355316-67da63d906c92.jpg,PayPay,,,,
