식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,Wi-Fi 사용,전화 번호,외국어 지원,영상,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,전원 공급 장치 사용,X (트위터),맥주 제작자,추가 장비,온라인 예약
博多ちょうすけ 中目黒店,Hakata Chosuke Nakameguro 매장,https://retty.me/area/PRE13/ARE7/SUB703/100001310694/,050-5462-8053,이자카야 우동,"[월요일부터 금요일까지]
 17:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
 15:00-23:00 L.O. 22:30
*상황에 따라 제품이 변경 될 수 있습니다.",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Nanaco, Waon, Quicpay","3-5-29 Kamimeguro, Meguro-Ku, 도쿄 52 Nakameguro 엘리베이터 아래
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (180m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (830m)
Tokyu Toyoko Line / Yutenji 역에서 도보 13 분 (970m)",없음,32 석,예,"불가능합니다
(흡연은 상점 밖에 소유되어 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,"서비스 요금이 없습니다
전채 요금 : 400 엔 (세금 포함)","3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스",생선 요리 전문,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"쌀, 저녁 식사, 마실, 음료수, 음료, 연회 및 음료 파티, 솔로 환영 파티, 벚꽃 시청이있는 레스토랑, 연말 파티, 새해 파티, 밤 늦게 개장, 급여 지불 가능, 캐주얼
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",,예,,없음,03-6452-4170,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001310694/archive/3560374-67e0488f94c9f.jpg,https://www.instagram.com/hakatachosuketokyo/,https://www.facebook.com/niwakayachosuke/,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 이상을위한 모든 싱크 링크를 포함하는 코스가 포함 된 코스가 포함되어 있습니다.",,,,,온라인 예약
TRATTORIYA,트라 토리 야,https://retty.me/area/PRE13/ARE7/SUB703/100001471315/,03-6303-3575,이자카야,"[하루 종일]
점심 11:00-17:00
저녁 식사 17:00-23:00 L.O. 22:30",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,,"1-22-12 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (81m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (510m)
JR Yamanote Line / Ebisu Station 12 분 도보 (920m)",없음,168 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 온전한 링크, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 새해 파티, 와인을 마시고, 어린이와 함께 즐길 수 있으며, 예약, 저녁 식사, 쌀, 비 흡연, 무료 WiFi, 성인, 성인 연말 파티, 퀵 엔드 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
골목을 향합니다","놀라운 응답 가능
축하 가능성",없음,예,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001471315/archive/1097360-5d6e88c07cee8.jpg,,,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 또는 그 이상을위한 모든 코스를 포함하는 코스가 포함 된 코스가 있습니다.",,,,,
ICARO,ICARO,https://retty.me/area/PRE13/ARE7/SUB703/100000001423/,050-5461-4017,이탈리아 음식 파스타 게임,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17 : 30-24 : 00 L.O. 22:00
11 월의 오프닝은 위와 같습니다.
오후 10 시로 오십시오.",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 8,000 엔",예,,,"4F Nakameguro, 2-44-24 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (290m)
도쿄 도요코 라인 / 유텐지 스테이션 11 분 도보 (870m)
도쿄 도요코 라인 / 다이키 야마 역 13 분 도보 (1.0km)",,28 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://icaro-nakameguro.foodre.jp/",,,,,,"기념일 성인 은신처 데이트 소녀들과 함께 즐거운 아이들과 함께 즐거운 와인 크리스마스 저녁 식사를 마시는 크리스마스 저녁 식사 비 흡연 연말 파티 새해 파티 세련된 성인 데이트 성인 새해 파티 크리스마스 2024 성인 연말 파티
다른 사용 장면을 참조하십시오",,,,,,,03-5724-8085,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000001423/archive/1903935-5f7a7da670a15.png,,,,,,,,
ristorante scintilla,Ristorante Scintilla,https://retty.me/area/PRE13/ARE7/SUB703/100001524308/,03-6452-4395,이탈리아 요리,"[tue-fri, sat, holiday]
저녁 식사 18:00-23:00 L.O. 21:00
11/28에서 12/17의 영업 시간은 17:30에서 22:00으로 변경됩니다 (L.O 20:00).",매주 일요일마다,"점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"2-44-9 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 6 분 (410m)
도쿄 도요코 라인 / 유텐지 스테이션 10 분 도보 (740m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 14 분 (1.1km)",예,12 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명",,,,,,,,"웨딩 기념일 연회 및 음주 파티 개인 객실 참여 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 체리 꽃보기/체리 꽃보기 레스토랑 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 와인 세련
다른 사용 장면을 참조하십시오",,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001524308/archive/1924795-5f7d98533299d.jpg,,,,,,,,
ビストロ ヒンジ 中目黒,비스트로 힌지 나카 메 구로,https://retty.me/area/PRE13/ARE7/SUB703/100001510737/,03-5724-3215,작은 레스토랑,"[Sun, 월요일, 수요일, 금요일, 토요일, 휴일]
 11:30-14:30
 17:30-23:00 L.O. 22:00
불규칙한 휴일","매월 첫 번째 수요일 매월 셋째 주 수요일마다 매주 화요일
매주 화요일
매월 첫 번째와 세 번째 수요일","점심 : ~ 4,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",PayPay,,"2-11-1 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (170m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (770m)
도쿄 도요코 라인 / 유텐지 스테이션 14 분 도보 (1.1km)",없음,24 석,예,"불가능합니다
(상점 입구 근처에 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 1 명
최대 16 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 1 사람
최대 40 명이 임대 할 수 있습니다 (스탠드 스탠딩 식사)",https://www.hinge.jp/,PayPay,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","그는 야채 요리, 고기 요리 및 소유자가 특히",와인이 있습니다,사용 가능한 예약,"점심, 데이트, 약혼, 저녁 식사, 싱글 파티, 엔터테인먼트, 크리스마스 저녁 식사, 어린이와 함께 즐기기, 예약, 저녁 식사, 저녁 식사, 비 흡연, 점심 날짜, 지불금 지불 가능, 성인 날짜, 세련된, Merikuri
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
단독 주택 레스토랑
숨는 곳","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",없음,"예
초등학생은 환영합니다. 기발한 아기를 가져올 수 있으며 어린이 메뉴를 이용할 수 있습니다.",불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001510737/archive/1245158-5dc251B970136.jpeg,,,"ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 한 시간 반 동안 온전한 링크",불가능합니다,,,,
焼鳥スエヒロガリ,Yakitori Suehirogari,https://retty.me/area/PRE13/ARE7/SUB703/100001222196/,03-6712-2233,야키토리 오믈렛 라이스,"[하루 종일]
저녁 식사 17:00-23:30",불규칙한 휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"3-6-4 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (770m)
도쿄 도요코 라인 / 유텐지 스테이션 13 분 도보 (1.0km)","없음
근처 (할인 없음) 사용 가능",10 석,"예
(카운터 시트는 주로 사용됩니다)","불가능합니다
(모든 좌석은 금연합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.",야채 요리 전문,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"데이트 소녀의 밤 연회 및 음주 파티 싱글 싱글 OK 성인 은신처 작별 파티를 환영 파티 체리 꽃보기 및 레스토랑 벚꽃과 함께 크리스마스 저녁 식사 연말 파티를 마시는 새해 파티를 마시는 와인을 마시는 주차
다른 사용 장면을 참조하십시오",,,,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001222196/archive/725475-5c789354aa5c8.jpg,,,,,,,,
シュマッツ ビアダイニング 中目黒,Schmatz Beer Dining Nakameguro,https://retty.me/area/PRE13/ARE7/SUB703/100001472416/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
しゃぶしゃぶれたす 中目黒店,Shabu Shaburesu Nakameguro 지점,https://retty.me/area/PRE13/ARE7/SUB703/100001379695/,03-6451-2920,뜨거운 냄비 Shabu-Shabu Izakaya,"[월요일부터 금요일까지]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-24:00 L.O. 23:00
[태양, 토요일, 휴일]
 11:30-24:00 L.O. 23:00
*1 월 8 일부터 시간까지
[모든 날]
점심 시간 11 : 00-15 : 00 (L.O. 14:00) 저녁 시간
17 : 00-20 : 00 (L.O. 19:30) (마지막 참가 19:00)

*알코올은 오후 7 시까 지 이용할 수 있습니다","하루 종일 개점
∎ 점심을 열면 오후 10시 이후에 입장 할 수 있습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"2-12-1 Kamimeguro, Meguro-Ku, 도쿄, 도끼 빌딩 Nakameguro 2f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (750m)
도쿄 도요코 라인 / 유텐지 스테이션 14 분 도보 (1.1km)",없음,"49 석
((24 벤치 좌석, 9 개의 카운터 좌석, 16 개의 테이블 좌석)))",예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,,,,야채 요리 전문,"술, 쇼치, 와인",사용 가능한 예약,"점심, 모든 음식, 데이트, 소녀의 밤 외출, 솔로, 크리스마스 저녁, 아이들과의 즐거움, 세련된, 저녁 식사, 비 흡연, 점심 날짜, 점심, 여자의 밤, 세련된 점심, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,예,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30976190.jpg,,,,,,,,
ビストロ マキムシ,비스트로 마키 무시,https://retty.me/area/PRE13/ARE7/SUB703/100000059342/,03-5722-7511,프랑스 요리 와인 바 비스트로 서부 요리 국제 요리 훈제 해산물,"[tue-fri-sat]
 17:30-25:00 L.O. 23:45
[일요일과 휴일]
 17:30-24:00 L.O. 22:45",매주 월요일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,,"2-6-4 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (120m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (710m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)",,22 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://makimushinakameguro.web.fc2.com/,,,,,,"솔로 크리스마스 저녁 식사를위한 데이트 와인을 즐기십시오. 와인 세련된 저녁 식사를 즐기십시오. 스타일리쉬 한 저녁 식사를 즐기십시오. 저녁 식사 비 흡연 페이 페이 지불 이용 가능한 성인 데이트 세련된 메리 쿠리 크리스마스 2024 성인 연말 파티 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28541732.jpg,,,,,,,,
クラブハウスエニ 中目黒,클럽 하우스 모든 Nakameguro,https://retty.me/area/PRE13/ARE7/SUB703/100000769243/,03-5428-8238,이탈리아 요리 해산물과 해산물 파스타 굴 바,"[월요일부터 금요일까지]
점심 11:30-15:00
저녁 식사 18 : 00-25 : 00 L.O. 24:00
[태양, 토요일, 휴일]
 11:30-25:00 L.O. 24:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,,"1-12-15 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (240m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 6 분 (450m)
JR Yamanote Line / Ebisu 역에서 도보로 12 분 (930m)",,42 석,"예
(카운터에서 6 석)","불가능합니다
(흡연은 테라스에서 허용됩니다. 흡연 구역을 이용할 수 있습니다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,,,,,,"점심, 데이트, 여자 파티, 모든 링크, 연회 및 음주 파티, 개인 객실, 싱글 OK, 싱글, 작별 파티, 환영 파티, 체리 꽃보기, 체리 꽃보기, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 식당, 세련된 식당.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000769243/archive/260252-598561065004f.jpg,,,,,,,,
喜口屋,키게치야,https://retty.me/area/PRE13/ARE7/SUB703/100001201495/,03-6319-6480,이자카야 해산물과 해산물,"[하루 종일]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 18 : 00-24 : 00 L.O. 23:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"2-7-11 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (710m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)","없음
근처 (할인 없음) 사용 가능",26 석,예,"예
(카운터에서 흡연 없음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.",우리는 생선 요리에 대해 특히 그렇습니다,"맥주, 사케, 쇼치",저녁 식사 시간에만 사용할 수 있습니다,"점심 모든 당신이 흠뻑 젖은 연회와 음주 파티 싱글 싱글 싱글은 괜찮습니다. 작별 파티 환영 파티 환영 파티 크리스마스 저녁 파티 새해 파티 마시는 주차 이용 가능한 세련된 개인 방 저녁 식사 쌀 흡연 허용
다른 사용 장면을 참조하십시오","숨는 곳
골목을 향합니다
정원이 있습니다",,없음,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001201495/archive/476893-5b44bd45b5f55.jpg,,,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔, 2 시간 동안 전세계 점점, 3 시간 이상 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.",,,,,
アカベコ,아카베코,https://retty.me/area/PRE13/ARE7/SUB703/100000880992/,03-5794-8283,오덴이자 카야 술 바,"[하루 종일]
 17:30-23:30 L.O. 22:45",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,PayPay,,"2-12-3 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (160m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (760m)
도쿄 도요코 라인 / 유텐지 스테이션 14 분 도보 (1.1km)",예,50 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://tabelog.com/tokyo/a1317/a131701/13166514/,,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.",고기 요리 전문,맥주와 술이 있습니다,사용 가능한 예약,"데이트 소녀의 밤 연회와 음주 파티 싱글 싱글 OK 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 포도주 마시는 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000880992/archive/27796-59b37f3f2c236.jpg,,https://www.facebook.com/akabeko-26488487035656/,"ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 5,000 엔 이상, 2 시간 동안 온전한 링크",,,,,
cocon,코코,https://retty.me/area/PRE13/ARE7/SUB703/100001611829/,050-6876-7404,프랑스 요리,"[토요일, 일요일 및 월요일]
점심 : 12 : 30-16 : 00
저녁 식사 : 18:00
[tue, thu, fri]
오후 6 시부 터 (밤에만 개장)",매주 수요일,"점심 : ~ 8,000 엔
저녁 식사 : ~ 15,000 엔",예,,,"Chiyo Nakameguro 건물 부록 4f, 3-8-3 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (670m)
JR Yamanote Line / Ebisu Station 14 분 도보 (1.1km)",예,"11 석
(카운터/7 좌석, 테이블/4 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"8,000 엔 이상의 코스","우리는 수입 재료에 대해 특히 알고 있으며, 생산 영역에 대해서는 특히 알레르기가있는 고객을 수용 할 수 있습니다.",,사용 가능한 예약,"날짜, 여자 밤, 결혼 기념일, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 음료수, 음료 와인, 아이들과 함께 즐기기, 비 흡연, 무료 WiFi, 기념일, 세련된 크리스마스, 크리스마스 2024
다른 사용 장면을 참조하십시오","천장이 높습니다
조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,예,불가능합니다,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001611829/archive/2637861-62215211ddccd.png,https://www.instagram.com/cocon_nakame/,,,,,,,
眞か,사실인가요?,https://retty.me/area/PRE13/ARE7/SUB703/100001299184/,03-6303-0862,Izakaya 비스트로 해산물과 해산물 요리 Teppanyaki Okonomiyaki,"[월요일부터 금요일과 토요일]
 17:30-1:00 L.O. 24:30
[축하해요]
 17:30-24:00 L.O. 23:30",매주 일요일,"점심:-
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1f Kitakami Building, 2-7-10 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (720m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)","예
근처 (할인 없음) 사용 가능","40 석
(1 층, 8 개의 카운터 좌석, 2 층, 16 개의 타타미 매트, 3 층, 20 개의 테이블 좌석)",예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
예약 할 수있는 제한된 수의 사람들 : 44 명",https://shinka-nakameguro.com/,,"6,000 엔에서 6,999 엔 코스, 8,000 엔 코스 이상으로 제공됩니다.","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 주인 및 매장 준비에 특히 도움이됩니다.","맥주, 사케, 쇼치, 와인, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"데이트 소녀의 밤 결혼식 기념일 연회/음주 파티 개인 객실 참여 싱글 엔터테인먼트 성인의 성인 파티 환영 파티 cherry blossom viewing 레스토랑 크리스마스 저녁 식사 파티 새해 파티에 이용 가능합니다.
다른 사용 장면을 참조하십시오","천장이 높습니다
조용한 가게
차분한 분위기
단독 주택 레스토랑
골목을 향합니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,"예
아이들은 허용되고, 미취학 아동은 허용되며, 이유식을 가져올 수 있습니다.",불가능합니다,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001299184/archive/21147-5926e76e1088f.jpg,,https://www.facebook.com/shinka.nakameguro/,"5,000 엔 이상에 대한 all-you-can-drink를 이용할 수 있으며 3 시간 넘게 만약을 만날 수 있습니다.",,,,,
もつやき みのる,Motsuyaki Minoru,https://retty.me/area/PRE13/ARE7/SUB703/100001720674/,03-5708-5502,Izakaya Motsu 요리,"[월요일부터 금요일과 토요일]
 17:00-23:00 L.O. 22:00
LO22 : 30을 마신다",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 5,000 엔",,,,"친구 빌딩 401, 2-16-12 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (230m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (880m)
도쿄 도요코 라인 / 유텐지 스테이션 12 분 도보 (930m)",,,,,,,https://motsuyakiminoru.crayonsite.net/,,,,,,저녁 식사 캐주얼,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36300730.jpg,,,,,,,,
関西煮 理 ”OSAMUTOKYO”,"캔자이 스튜 ""오사 무토 키오""",https://retty.me/area/PRE13/ARE7/SUB703/100001680435/,090-8863-2562,Izakaya Oden 일본 요리,"[하루 종일]
저녁 18 : 00-23 : 00
*마지막 입장 시간은 오후 9시입니다",불규칙한 휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",,,"3 층, 2-16-1 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (180m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (810m)
도쿄 도요코 라인 / 유텐지 스테이션 13 분 도보 (1.0km)",없음,20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,,"맥주, 사케, 쇼치, 와인",사용 가능한 예약,"연회 및 음주 파티 참여 저녁 식사 파티 싱글 OK Entertainment 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 와인을 마시는 세련된 개인 공간
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",,없음,"예
초등학생들은 환영합니다",불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001680435/archive/2935063-63912eb64f65c.jpg,,,,불가능합니다,,,,
