식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약,쇼핑 직무 정보,맥주 제작자,인근 시설
新田裏 とり辰,Nitta Ura Toritatsu,https://retty.me/area/PRE13/ARE1/SUB105/100000530731/,03-3202-8999,야키토리 치킨 요리,"[월요일부터 금요일과 토요일]
 17:00-22:00",매주 일요일과 공휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 6,000 엔",불가능합니다,,"2F, Canopus Shinjuku, 6-27-17 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 3 분 거리 (210m)
도쿄 메트로 후쿠토신 라인 / 히가시-신주쿠 역에서 도보 4 분 (290m)",,,예,없음,,,,,,,,"저녁 식사, 저녁 식사, 금연, 성인 데이트, 성인 연말 파티, 성인 새해 파티",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/18336109.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
祥龍房 新宿イーストサイドスクエア店,Shoryubo Shinjuku 이스트 사이드 스퀘어 매장,https://retty.me/area/PRE13/ARE1/SUB105/100000734685/,03-6273-8025,중국 음식 세트 식사,"[태양, 월요일부터 금요일, 토요일]
 11:00-23:30 L.O. 23:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔","비자
마스터 카드
식당
JCB",PayPay,"신주쿠 이스트 사이드 스퀘어, 6-27-30, 신주쿠, 신주쿠-쿠, ​​도쿄, B1F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 후쿠토신 라인 / 히가시-신주쿠 역에서 도보 2 분 (110m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 6 분 (450m)",,70 석,예,예,,,"*신용 카드는 5,000 엔으로 이용 가능 --- 신용 카드 이용 가능",,,,,"점심, 개인 실, 솔로, 스타일리시, 저녁 식사, 비 연소, 개인 객실, 점심, 세련된, 개인 실, PayPay Payment availy
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16615473.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
炭火焼肉ホルモン忠吉,숯 구이 야키 니쿠 호르몬 타요시,https://retty.me/area/PRE13/ARE1/SUB106/100000113068/,03-5388-8911,야키니쿠 호르몬 이자카야,"[하루 종일]
 17:00-23:00 L.O. 22:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"3-8-10 Honmachi, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Nishi-Shinjuku 5-Chome Station에서 도보로 2 분 거리 (120m)
Toei Oedo Line / Tochomae 역에서 도보로 10 분 (800m)
도쿄 메트로 마루치 노선 / 나카 노사 카우 스테이션에서 도보로 11 분 (880m)",없음,30 석,예,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명",https://chukichi.owst.jp,,,고기 요리 전문,맥주와 쇼치,,"연회 및 음주 파티 솔로 손님을위한 OK 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 새해 파티를 마시는 와인을 마시는 와인을 마시는 것입니다.
다른 사용 장면을 참조하십시오",활발한 상점,"놀라운 응답 가능
축하 가능성",예,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000113068/archive/2625753-620eeeee00bb54.jpg,"Suica, Rakuten Edy, Quicpay","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
天兼,텐 케인,https://retty.me/area/PRE13/ARE1/SUB112/100000092327/,03-3342-5601,튀김,"[월요일, 화요일, 목요일, 금요일, 토요일]
점심 11:30-13:30 L.O. 13:30
[Sun, 월요일, 화요일, 목요일, 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-21:00 L.O. 21:00
[축하 전]
점심 11:00-13:30 L.O. 13:30",매주 수요일,"저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-5-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄, 신주쿠-쿠, ​​신주쿠-쿠, ​​신주쿠-쿠, ​​신주쿠-쿠, ​​신주쿠-오다키 헐크, 1 층
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku 역에서 도보로 1 분 (46m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 거리 (70m)",,27 석,예,없음,,https://www.tenkane.tokyo/,,"5,000 ~ 5,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.",,"맥주, 사케, 와인",사용 가능한 예약,"점심, 연회 및 음주 파티, 싱글, 엔터테인먼트, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 세련된, 저녁 식사, 쌀, 금연, 세련된 점심, 럭셔리 크리스마스, 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29723821.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
GARDEN HOUSE Shinjuku,가든 하우스 신주쿠,https://retty.me/area/PRE13/ARE1/SUB113/100001271022/,03-5925-8871,카페 맥주 레스토랑 과자 이탈리아 요리 아이스크림 초콜릿,"[하루 종일]
점심 11:00-18:30 L.O. 18:00",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",,"4F, Newoman Shinjuku, 4-1-6 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (67m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (81m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 5 분 (370m)","예
특별 P 사용 가능","160 석
(가게 120 석, 테라스의 40 석)",예,없음,예,,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 현지 성분에 대해 특히 알레르기, 채식 메뉴, 어린이 메뉴 및 매장 내 준비를 수용 할 수 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 날짜, 여자 밤, 연회 및 음주 파티, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 주차장, 아이들과 함께 즐기십시오.
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
나이트 뷰를 볼 수 있습니다
숨는 곳
상단에 있습니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다","예
어린이는 환영합니다, 유치원 어린이는 환영 받고, 초등학생은 환영 받고, 기저귀를 기저귀로 가져갈 수 있고, 어린이 메뉴, 알레르기 음식을 이용할 수 있습니다.",,예 (무료),예,,"Englishchinesekoreanrussianspanishgermanfrenchitalianhindi
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001271022/archive/323424-5A1CC49BA5ED3.JPG,Suica,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 한 시간 반 동안 온 맨 링크",평상복,,,,,,
和牛炙り寿司 囲庭-kakoitei- 新宿西口駅前店,구운 와규 쇠고기 초밥 ikuniwa-kakoitei-shinjuku west exit ekimae 지점,https://retty.me/area/PRE13/ARE1/SUB112/100001395339/,03-6635-6213,Izakaya Shabu-Shabu Sushi 쇠고기 요리 창조적 인 요리 소르바 (SOBA),"[선, 월요일부터 목요일, 휴일]
 16:00-1:00 L.O. 0:30
[금요일, 토요일, 휴일 전]
 16:00-4:30 L.O. 4:00","1 월 1 일, 1 월 3 일, 1 월 3 일
새해 휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당
JCB",,"오미 빌딩 4F, 1-18-13 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (33m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (210m)","없음
근처 (할인 없음) 사용 가능",122 석,,예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉아 있음) 55 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 125 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 55 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) 125 명",,,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","우리는 야채 요리, 고기 요리, 식품 생산 공간, 채식 메뉴에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"싱글 링크 파티를 위해 이용 가능한 모든 링크 연회/음주 파티 선별 파티를 환영하는 파티를 환영합니다. 연말 파티 새해 파티를 마시는 와인 마시는 주차장이 있습니다. 어린이들과 함께 즐거운 주차장이 있습니다.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성","예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001395339/archive/1087603-5d679b6fac1d1.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"2,999 엔 미만의 싱글 링크가 포함 된 코스와 3,000 엔에서 3,999 엔, 2 시간 동안 싱글 링크, 3 시간 이상 싱글 링크를 포함하는 코스가 있습니다.",평상복,,,,,,
台湾夜市料理とアジアンクラフトビール シーシートーキョー XIXI TOKYO 嘻嘻東京,대만 야간 시장 요리 및 아시아 공예 맥주 XIXI 도쿄 Zhangzhou 도쿄,https://retty.me/area/PRE13/ARE1/SUB102/100001723180/,03-4335-0979,이자카야,"[월요일부터 금요일까지, 휴일 전]
 17:00-23:00 L.O. 22:00
[토양]
 12:00-23:00 L.O. 22:00
[일요일과 휴일]
 12:00-22:00 L.O. 21:00
궁금한 점이 있으면 상점에 전화하십시오","새해 휴일 (확인하십시오)
불규칙한 휴일
자세한 내용은 공식 Instagram을 확인하십시오","점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F, Yoyogi, 1-41-12, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Odakyu Odawara Line / Minami Shinjuku Station에서 도보 2 분 (160m)
JR Yamanote Line / Yoyogi Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Shinjuku 역에서 도보로 6 분 (470m)",없음,"28 석
(테이블 좌석 20 개, 카운터 좌석 5 개, (보충 좌석 3 개))",예,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명",,"카드가 허용됩니다

(비자, 마스터, JCB, Amex, 식당)

전자 돈을 사용할 수 있습니다

(운송 전자 돈 (Suica 등), ID)

QR 코드 결제 가능

(PayPay)","5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","우리는 야채 요리, 고기 요리, 수입 재료 및 현지 재료를 생산합니다.","맥주, 쇼치, 와인, 위스키, 샤 옥싱 와인",사용 가능한 예약,"작별 파티, 점심, 점심, 여자 파티, 급여 지불 지불 가능, 빠른 연말 파티, 모든 새해를 마주 치기, 빠른 새해 파티, 캐주얼, 환영 파티, 아이들과 함께 즐기기, 개인 저녁 식사, 저녁 식사, 비영리, 점심, 여자 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
활발한 상점","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",예,,예 (무료),없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001723180/archive/3473976-6752bb992683.jpg,"Suica, Manaca, Toica, Icoca, Nimoca, Sugoca, Quicpay","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/xixi.tokyo/,,"5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",,https://x.com/xixitokyo,,,,,
豊勝 エクレ新宿店,Toyokatsu Ecle Shinjuku 지점,https://retty.me/area/PRE13/ARE1/SUB104/100001338123/,03-5362-5708,쿠시 카츠 이자카야,"[하루 종일]
 16:00-1:00 L.O. 24:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 2,000 엔",불가능합니다,,"Ecle Shinjuku B1F, 3-11-6 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 1 분 (80m)
JR Yamanote Line / Shinjuku 역에서 도보로 6 분 (450m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 6 분 (460m)",,50 석,예,"예
7 명 이상",,,,,,,,개인 룸 저녁 식사 쌀 흡연은 Shochu가 취할 수 있도록 허용됩니다.,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/20733556.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
御苑前 せお,Gyoenmae Seo,https://retty.me/area/PRE13/ARE1/SUB105/100000455679/,03-3353-2558,Kaiseki 요리 일본 요리 소바 (SOBA) 계절 요리,"[tue-fri/전 휴일 전]
 11:30-14:00 L.O. 13:30
 17:30-23:00 L.O. 21:30
[태양, 토요일, 휴일]
 11:30-14:30 L.O. 14:00
 17:30-22:30 L.O. 20:30",매월 셋째 화요일 매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex",PayPay,"Shinshin Building 1f, 1-3-5 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 기 얀마 스테이션에서 도보 1 분 (68m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 8 분 (610m)
Jr Chuo / Sobu Line / Sendagaya 역에서 도보 10 분 (760m)",,13 석,예,"예
4 명",,https://gyoenmae-seo.com/,,"6,000 엔에서 6,999 엔 코스, 8,000 엔 코스 이상으로 제공됩니다.","우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"점심 연회 및 음주 파티 개인 방 약혼 저녁 파티 싱글 OK Entertainment Farewell 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인 저녁 식사 쌀 비영리 개인 실 점심
다른 사용 장면을 참조하십시오",차분한 분위기,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/26163652.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/gyoenmae seo-173592582727605/,,,,,,,,
叙々苑 新宿小田急ハルク店,Jojoen Shinjuku Odakyu Hulk 지점,https://retty.me/area/PRE13/ARE1/SUB112/100000025447/,03-3340-8989,야키니쿠 카이세키 요리,"[월요일부터 금요일까지]
 11:30-22:30
[태양, 토요일, 휴일]
 11:00-22:30","불규칙한 휴일
・ 주중 점심 시간 11 : 30-16 : 00, 토요일, 일요일 및 휴일 11 : 00-15 : 00","점심 : ~ 4,000 엔
저녁 식사 : ~ 10,000 엔",Amex,PayPay,"Odakyu Shinjuku West Exit Ekimae Building 8f, 1-5-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (21m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 거리 (49m)",,173 석,없음,예,,https://www.jojoen.co.jp/shop/jojoen/halc/,개인 실 사용 수수료 : 음식 및 음료 수수료의 10%,,,,,"점심, 개인 실, 약혼 저녁 식사, 싱글 게스트, 엔터테인먼트, 크리스마스 저녁 식사, 세련된 저녁 식사, 쌀, 고기, 비 흡연, 생일, 개인 객실 점심, 세련된 점심, 세련된 개인 실, 개인 객실 엔터테인먼트, 급여 판매 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33226173.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
かに道楽 西新宿5丁目店,Crab Doraku Nishi Shinjuku 5-Chome 매장,https://retty.me/area/PRE13/ARE1/SUB106/100000092586/,03-5351-2525,게 요리 해산물과 해산물 요리 테이크 아웃 스시,"[하루 종일]
 11:30-22:00 L.O. 21:30","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"5-25-9 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Nishi-Shinjuku 5-Chome Station에서 도보로 1 분 거리 (27m)
Toei Oedo Line / Tochomae 역에서 도보로 9 분 (660m)
도쿄 메트로 마루치 노선 / 나카 노사 카우 스테이션에서 도보 10 분 (790m)","예
이웃 P (할인) 사용 가능",160 석,없음,"예
두 사람을 위해
4 명
6 명
7 명 이상",불가능합니다,https://douraku.co.jp/,,"6,000 엔에서 6,999 엔 코스, 7,000 엔에서 7,999 엔 코스, 8,000 엔 이상이 있습니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 연회 및 음주 파티, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 술 마시기, 와인, 주차장, 아이들과 함께 즐기십시오
다른 사용 장면을 참조하십시오","천장이 높습니다
조용한 가게
차분한 분위기",테이크 아웃 가능성,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000092586/archive/2193431-60013c66f2108.jpg,,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",,,,,,,
豚しゃぶ・やきとん 森の酒場隠豚,돼지 고기 안식일/야키톤 숲 바 숨겨진 돼지 고기,https://retty.me/area/PRE13/ARE1/SUB112/100001205508/,03-6304-5444,Izakaya Shabu Shabu Hot Pot Creative 요리,"[월요일부터 금요일까지]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-23:30 L.O. 23:00
[토양]
 16:00-23:30 L.O. 23:00
[새해 휴가 폐쇄] 12 월 31 일 -1 월 3 일",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"미적 정보 구축 B2, 1-24-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 (42m)
Toei Oedo Line / Tochomae Station에서 도보 2 분 (160m)
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (260m)","없음
근처 (할인 없음) 사용 가능","78 석
(개인 실 : 2 명, 4 명, 6 명, 8 명, 10-20 명, 20-30 명, 30 명 이상, 테이블 좌석, 소파 좌석 및 침몰 한 Kotatsu 좌석)",없음,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
임대 가능 (좌석) : 80 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명","https://inton-shinjukunishiguchi.com/
https://r.gnavi.co.jp/g175706/
https://tabelog.com/tokyo/a1304/a130401/13058970/",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","우리는 고기 요리에 대해 특히 알고 있으며, 생산 구역에 대해 특별하며 유기농 야채에 대해 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 모든 당신이 먹는 여자 파티 모든 당신이-린 링크 그룹 데이트 날짜 연회/음주 파티 개인 실
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성","예
유아와 어린 아이들이 허용되었습니다",불가능합니다,,없음,,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001205508/archive/1448679-5e410e95ec3bf.jpg,,"불가능합니다
(상점에 연락하십시오)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/inton.woo/,"ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 5,000 엔 이상, 3,000 엔 -3,999 엔 all-you-can-drink 코스에는 4,000 엔 -4,999 엔, 5,000-dink only for 5,000-dink only for 5,000-dink cours를 포함하여 모든 당신이 싱크 드링크가 포함되어 있습니다. 2 시간 동안 당신이 다루는 것",평상복,https://x.com/inton_woo,,,,,
台湾夜市料理とアジアンクラフトビール シーシートーキョー XIXI TOKYO 嘻嘻東京,대만 야간 시장 요리 및 아시아 공예 맥주 XIXI 도쿄 Zhangzhou 도쿄,https://retty.me/area/PRE13/ARE1/SUB102/100001723180/,03-4335-0979,이자카야,"[월요일부터 금요일까지, 휴일 전]
 17:00-23:00 L.O. 22:00
[토양]
 12:00-23:00 L.O. 22:00
[일요일과 휴일]
 12:00-22:00 L.O. 21:00
궁금한 점이 있으면 상점에 전화하십시오","새해 휴일 (확인하십시오)
불규칙한 휴일
자세한 내용은 공식 Instagram을 확인하십시오","점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F, Yoyogi, 1-41-12, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Odakyu Odawara Line / Minami Shinjuku Station에서 도보 2 분 (160m)
JR Yamanote Line / Yoyogi Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Shinjuku 역에서 도보로 6 분 (470m)",없음,"28 석
(테이블 좌석 20 개, 카운터 좌석 5 개, (보충 좌석 3 개))",예,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명",,"카드가 허용됩니다

(비자, 마스터, JCB, Amex, 식당)

전자 돈을 사용할 수 있습니다

(운송 전자 돈 (Suica 등), ID)

QR 코드 결제 가능

(PayPay)","5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","우리는 야채 요리, 고기 요리, 수입 재료 및 현지 재료를 생산합니다.","맥주, 쇼치, 와인, 위스키, 샤 옥싱 와인",사용 가능한 예약,"작별 파티, 점심, 점심, 여자 파티, 급여 지불 지불 가능, 빠른 연말 파티, 모든 새해를 마주 치기, 빠른 새해 파티, 캐주얼, 환영 파티, 아이들과 함께 즐기기, 개인 저녁 식사, 저녁 식사, 비영리, 점심, 여자 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
활발한 상점","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",예,,예 (무료),없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001723180/archive/3473976-6752bb992683.jpg,"Suica, Manaca, Toica, Icoca, Nimoca, Sugoca, Quicpay","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/xixi.tokyo/,,"5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",,https://x.com/xixitokyo,,,,,
串かつ 新宿三丁目 豊勝,Kushikatsu 신주 쿠 3- 고요한 도요 카츠,https://retty.me/area/PRE13/ARE1/SUB101/100000089488/,03-3359-5599,이자카야 쿠시 카츠 쌀 보울,"[태양, 월요일부터 목요일까지]
 11:30-1:00
[금과 앉았다]
 11:30-5:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",,,"1F 신토 빌딩, 3-23-5 신주쿠, 신주쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (88m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (88m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 2 분 (120m)",,,예,없음,,,,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 첫 번째 기차, 저녁 식사, 쌀, 맛있는 레스토랑, 싼 레스토랑, 흡연 허용, 밤 늦게까지 문을 엽니 다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/23024496.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
