식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,요리 기능과 전문 분야,사용 장면,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,사적인,인스 타 그램,당신이 마실 수있는 모든 것,예약,서비스,강의,대기,마시는 기능과 세부 사항에 대한 관심,드레스 코드,발언,페이스 북,X (트위터),추가 장비,IC 카드 지불,맥주 제작자,인근 시설,key_1_営業時間,key_1_予算,key_1_クレジットカード,key_1_QRコード決済,key_1_ICカード決済,key_1_住所,key_1_アクセス,key_1_駐車場,key_1_座席,key_1_カウンター席,key_1_喫煙,key_1_個室,key_1_貸切,key_1_Instagram,key_1_Facebook,key_1_X(Twitter),key_1_備考,key_1_コース,key_1_飲み放題,key_1_料理の特徴・こだわり,key_1_ドリンクの特徴、こだわり,key_1_予約,key_1_利用シーン,key_1_雰囲気,key_1_サービス,key_1_ドレスコード,key_1_お子様連れ入店,key_1_ペット,key_1_電源利用,key_1_Wi-Fi利用,key_1_image,key_2_TEL,key_2_ジャンル,key_2_営業時間,key_2_定休日,key_2_予算,key_2_クレジットカード,key_2_住所,key_2_アクセス,key_2_カウンター席,key_2_個室,key_2_利用シーン
ひとぼし 御徒町総本店,Hitoboshi Okachimachi 메인 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001510998/,03-3836-3231,Izakaya Sashimi Motsunabe Sushi Robatayaki Kyushu 요리,"[하루 종일]
 11:00-24:00 L.O. 23:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"5-19-6 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 나카 오카카시 마치 역에서 도보 2 분 (110m)
JR Yamanote Line / Okachimachi Station 2 분 도보 (140m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 3 분 (170m)",없음,80 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://totoshigureokachimachi.gorp.jp,"우리는 고기 요리, 생선 요리 및 식품 생산 공간에 특히 그렇습니다.","점심, 여자 파티, 모든 링크, 연회 및 음주 파티, 솔로 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 음료수, 와인, 아이들과 함께 즐기기, 스타일리쉬, 영어를 사용하는 것은 이용 가능
다른 사용 장면을 참조하십시오",예,,예 (무료),예,,"영어 중국어 한국
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001510998/archive/1543119-5e7457c65df47.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 가능 (좌석) : 80 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명",,"999 엔 미만의 all-you-can-drink 가격, All-you-can-drink 가격 1000-1999 엔, 3000-3999 엔, All-you-can-drink 코스에는 4000-4999 엔을위한 All-You-Can-Drink가 포함되어 있습니다. 2.5 시간 동안 all-you-can-drink, 2.5 시간 동안 당신이 흠뻑 적시고, 3 시간 이상 동안 당신이 흠집",사용 가능한 예약,"놀라운 응답 가능
테이크 아웃 가능성","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","개방성이 있습니다
차분한 분위기
골목을 향합니다","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",평상복,,,https://x.com/hitobosiokati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
かくれんぼ,숨기고 찾으십시오,https://retty.me/area/PRE13/ARE9/SUB901/100000719435/,03-3847-9924,Izakaya Kyushu Cuisine Soba (Soba) 카레,"[월요일부터 금요일까지]
 17:00-1:00","매주 토요일마다 일요일 휴가
*사전에 예약을하면 개방됩니다.","점심:-
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"1F, Hirowa Building, 1-8-2 Kitaueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 이리야 (도쿄) 역에서 도보 6 분 (410m)
JR Yamanote Line / Uguisudani Station 7 분 도보 (500m)
JR Yamanote Line / Ueno Station 7 분 도보 (500m)",,36 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,연회/음주 파티 작별 파티를 환영 파티 연말 파티 새해 파티 저녁 식사 저녁 식사 비 흡연 지불 가능,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31887672.jpg,,,,,,,,,,,https://www.facebook.com/ka9renb0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
居酒屋 東屋,이자카야 아스 수야,https://retty.me/area/PRE13/ARE9/SUB901/100000098506/,03-6315-7963,이자카야 사시미,"[월요일부터 금요일까지]
 15:00-24:00
[태양, 토요일, 휴일]
 12:00-22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"6-9-16 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 2 분 (150m)
Keisei Main Line / Keisei Ueno 역에서 도보로 3 분 거리 (200m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (240m)",,,예,,없음,,,"점심 연회와 음주 파티 싱글 싱글 파티를 환영 파티를 환영 파티 체리 꽃보기와 레스토랑 체리 블로 톰 시청 크리스마스 저녁 식사 연말 파티 새해 파티 세련된 저녁 식사 쌀 세련된 점심 급여 지불 이용 가능
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/9175477.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
創作キッチン週5-syuugo-,창조적 인 주방 주 5-syuugo-,https://retty.me/area/PRE13/ARE9/SUB901/100001741445/,080-9217-0657,이자카야,"[월요일 ~ 목요일]
 17:00-24:00 L.O. 23:30
[금]
 17:00-28:00 L.O. 27:30
[토양]
 14:00-28:00 L.O. 27:30
[낮]
 14:00-24:00 L.O. 23:30
[축하/축하 전]
 15:00-28:00 L.O. 27:30","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",,"2 층, 6-13-7 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 2 분 거리 (87m)
Keisei Main Line / Keisei Ueno 역에서 도보 2 분 (130m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 5 분 (330m)",없음,22 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.ueno-syuugokicitchen.com/,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","데이트 여자 파티 모든 링크 연회/음료 파티 연말 파티 새해 파티 쿠폰 이용 가능한 파티 쿠폰을 마실 수 있습니다. 술을 마실 수 있습니다
다른 사용 장면을 참조하십시오",,,불가능합니다,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001741445/archive/33237-665d8739e0e19.jpg,"예
최대 22 명을 임대 할 수 있습니다
최대 25 명이 예약 할 수 있습니다 (스탠드 스탠딩 식사)",https://www.instagram.com/syuugo__ueno/,"ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스를 이용할 수 있습니다.",사용 가능한 예약,"놀라운 응답 가능
축하 가능성","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","차분한 분위기
숨는 곳","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",없음,"적격 송장 (송장)에 대해 영수증을 발행 할 수 있습니다.
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.

[개인 사용에 관한]
항목을 임대하려면 전화로 저희에게 연락하십시오.",,https://x.com/syuugo_ueno?lang=ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酒壷しずく,술 냄비를 마신다,https://retty.me/area/PRE13/ARE9/SUB901/100001158054/,명확하지 않습니다,바 사케 바,"[tue-fri-sat]
 19:00-24:00",매주 일요일마다,"점심:-
저녁 식사 : ~ 3,000 엔",예,,"2-29-4 Nezu, Bunkyo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 네즈 스테이션에서 도보로 4 분 (290m)
도쿄 메트로 치 요다 라인 / Sendagi Station에서 도보로 7 분 거리 (520m)
도쿄 메트로 남보쿠 라인 / 토다이마 역에서 도보로 9 분 (670m)",,,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"싱글 음료는 세련된 저녁 식사, 비 흡연",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/4761248.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥貴族 上野昭和通り店,Torikigure Ueno Showadori 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001241241/,03-5826-4388,야키토리,"[하루 종일]
 17:00-5:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"3f, 생명을 위해 Ueno Ekimae Building, 6-16-15 Ueno, Taito-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 1 분 (16m)
Keisei Main Line / Keisei Ueno 역에서 도보 3 분 (230m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 5 분 거리 (370m)",,68 석,예,,없음,,,첫 번째 기차 저녁 식사가 밤 늦게 개장 할 때까지 열립니다.,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/23319431.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
えんぱち,Enpachi,https://retty.me/area/PRE13/ARE9/SUB901/100000062453/,03-3836-4804,이자카야 야키토리 치킨 요리,"[월요일부터 금요일까지]
 14:00-23:30
[태양, 토요일, 휴일]
 12:00-23:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"6-9-22 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (150m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (150m)
JR Yamanote Line / Okachimachi Station 3 분 도보 (190m)","없음
근처 (할인 없음) 사용 가능",50 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,"점심, 개인 객실, 싱글 룸, 주차 가능, 어린이와 함께 즐거움, 세련된, 저녁 식사, 저녁, 맛있는 레스토랑, 싼 레스토랑, 흡연 허용, 개인 객실, 점심, 세련된 개인 객실, 점심을 마시는 것
다른 사용 장면을 참조하십시오",예,불가능합니다,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/26497816.jpg,불가능합니다,,,사용 가능한 예약,,,활발한 상점,"맥주, 사케, 쇼치, 와인, 위스키",평상복,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華上野再来宴,중국 Ueno 재 방문 연회,https://retty.me/area/PRE13/ARE9/SUB901/100000421456/,03-5846-7977,중국 요리 사천 요리 상하이 요리 상하이 게이자 카야,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
점심 11 : 30-15 : 00 L.O. 14:00
[하루 종일]
저녁 식사 17:00-21:00 L.O. 20:30","하루 종일 개점
새해 휴일 (확인하십시오)
점심은 일요일에 문을 닫습니다.
저녁 식사에서 오세요.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Yamato Building, 2-9-6 Ueno, Taito-Ku, 도쿄 1 층 및 2 층
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (140m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (140m)
Keisei Main Line / Keisei Ueno 역에서 도보 3 분 (180m)","없음
근처 (할인 없음) 사용 가능",80 석,없음,"연기 분리
(흡연은 점심과 저녁 모두에서 분리됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,,"점심 모든 당신이 마시는 연회/음료 파티 개인 방 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 세련된 개인 객실 마시는 세련된 개인
다른 사용 장면을 참조하십시오",,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000421456/archive/1524805-5e68383ad8a3a.jpg,예,,,사용 가능한 예약,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不忍Brewery ひつじあいす,Shinobazu 양조장 양 인사,https://retty.me/area/PRE13/ARE9/SUB901/100001606207/,03-3836-1901,맥주 홀 맥주 바 이자카야 바,"[Sun, 월요일부터 목요일, 토요일 및 휴일]
 12:00-23:00 L.O. 22:00
[금]
 17:00-23:00 L.O. 22:00
음식 L.O22 : 00
음료 l.O22 : 30","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
JCB",PayPay,"Kakikukeko Building, 2-10-7 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Ueno Okachimachi Station에서 도보 3 분 (170m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (170m)
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 3 분 (200m)",없음,124 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",https://www.uenobeer.com/,우리는 고기 요리에 대해 특별히 알고 있으며 재료를 생산합니다,"점심, 데이트, 모든 링크, 결혼 기념일, 개인 실, 새해 파티, 어린이, 저녁 식사, 저녁 식사, 저녁 식사, 비 흡연, 생일, 개인 객실 점심, 개인 객실 날짜, 점심 식사, 세련된 개인 실, 개인 실 엔터테인먼트, 무료 Wi-Fi
다른 사용 장면을 참조하십시오",예,불가능합니다,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001606207/archive/3056349-6464a27071915.png,,https://www.instagram.com/hitujiaisu/,"ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 3,000-4,999 엔, 한 시간 반 동안 싱글 링크",사용 가능한 예약,,,차분한 분위기,이용 가능한 맥주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喜多方食堂,Kitakata Shokudo,https://retty.me/area/PRE13/ARE9/SUB901/100000823558/,03-6773-9050,현지 미식가라면,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일]
 7:00-15:00","매주 수요일
(수프가 다 떨어지 자마자 초기 끝)","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔","비자
마스터 카드",PayPay,"4-7-15 Motoasakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 도코 (도쿄) 역에서 도보로 5 분 거리 (330m)
Tsukuba Express / Shin-Okachimachi Station에서 도보로 7 분 (500m)
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보로 7 분 거리 (510m)","없음
근처 (할인 없음) 사용 가능",21 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,매장 내 준비,"점심, 연회 및 음주 파티, 싱글은 괜찮은 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 주차장, 어린이와 함께 즐기기, 브런치, 세련된, 영어권, 아침 식사 식사
다른 사용 장면을 참조하십시오",예,불가능합니다,예 (무료),없음,,"영어 중국어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32500553.jpg,,,,,,,,맥주와 쇼치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft Burger & Grill JIRO,공예 버거 & 그릴 지로,https://retty.me/area/PRE13/ARE9/SUB901/100001522986/,03-5830-6115,햄버거 식당 바 카페,"[tue-fri]
점심 11:00-15:00 L.O. 14:30
저녁 식사 18:00-22:00 L.O. 21:30
[태양, 토요일, 휴일]
점심 11:00-16:00 L.O. 15:45
저녁 식사 17:30-22:00 L.O. 21:30
⚫︎takeout → 오후 9시 30 분까지
Various Delivery → 21:30까지","매주 월요일
공휴일이라면 다음날 문을 닫습니다.
(월요일이 국경일이면 화요일에 문을 닫습니다)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1f Yuheim Kume, 2-31-7 Matsugatani, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 도코 (도쿄) 역에서 도보로 7 분 거리 (510m)
도쿄 메트로 히비야 라인 / 이리야 (도쿄) 역에서 도보 8 분 (580m)
Tsukuba Express / Asakusa 역에서 도보로 10 분 (750m)","없음
근처 (할인 없음) 사용 가능","14 석
(상점에는 카운터 좌석과 테이블 시트가 있습니다. 좌석 수에는 두 개의 테라스가 포함됩니다.)","예
(Covid-19의 확산을 방지하기 위해, 우리는 5 석 중 2 석으로 2 석으로 운영되고 있습니다.)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://craftburgerjiro.com/,"우리는 고기 요리에 대해 특히, 알레르기가있는 고객을 수용 할 수 있으며, 어린이를위한 메뉴, 매우 매운 메뉴 및 매장 내 준비 메뉴가 있습니다.","점심, 여자 밤, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 주차, 어린이와 함께 즐거움, 개인 저녁 식사, 비영리
다른 사용 장면을 참조하십시오","예
아이들은 환영합니다, 유치원 어린이는 환영 받고, 초등학생을 환영하고, 이유식을 가져오고, 어린이 메뉴를 이용할 수 있고, 알레르기 음식을 수용 할 수 있습니다","예
매장 내에서 사용 가능, 외부, 가죽 끈이 필요한 물을 제공 할 수 있습니다.",불가능합니다,예,,언어 지원 메뉴가 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001522986/archive/3150037-650d5ca61ebd0.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
예약 할 수있는 제한된 수의 사람들 : 15 명",https://www.instagram.com/craftburger.jiro/,,사용 가능한 예약,"테이크 아웃 가능성
배송 가능",,활발한 상점,"맥주, 와인, 위스키, 칵테일",,"PayPay, Line Pay 및 Kitaca를 사용할 수 있습니다.",https://www.facebook.com/craftburgerjiro/,,,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥貴族 上野昭和通り店,Torikigure Ueno Showadori 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001241241/,03-5826-4388,야키토리,"[하루 종일]
 17:00-5:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"3f, 생명을 위해 Ueno Ekimae Building, 6-16-15 Ueno, Taito-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 1 분 (16m)
Keisei Main Line / Keisei Ueno 역에서 도보 3 분 (230m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 5 분 거리 (370m)",,68 석,예,,없음,,,첫 번째 기차 저녁 식사가 밤 늦게 개장 할 때까지 열립니다.,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/23319431.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
楽聞,노래,https://retty.me/area/PRE13/ARE9/SUB901/100001209234/,03-5842-1122,야키토리,"[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
점심 12:00-14:00
저녁 식사 16:00-23:30",매주 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",불가능합니다,PayPay,"2-6-6 Nezu, Bunkyo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 네즈 스테이션에서 도보 1 분 (63m)
도쿄 메트로 남보쿠 라인 / 토다이마 역에서 도보로 12 분 (910m)
도쿄 메트로 치 요다 라인 / 센 다기 역에서 도보 13 분 (970m)",,16 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 세련된 저녁 식사, 저녁 식사, 쌀, 흡연, 세련된 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/7566897.jpg,,,,,,,,,,,https://www.facebook.com/yakitoriramone1976/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ひとぼし 御徒町総本店,Hitoboshi Okachimachi 메인 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001510998/,03-3836-3231,Izakaya Sashimi Motsunabe Sushi Robatayaki Kyushu 요리,"[하루 종일]
 11:00-24:00 L.O. 23:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"5-19-6 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 나카 오카카시 마치 역에서 도보 2 분 (110m)
JR Yamanote Line / Okachimachi Station 2 분 도보 (140m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 3 분 (170m)",없음,80 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://totoshigureokachimachi.gorp.jp,"우리는 고기 요리, 생선 요리 및 식품 생산 공간에 특히 그렇습니다.","점심, 여자 파티, 모든 링크, 연회 및 음주 파티, 솔로 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 음료수, 와인, 아이들과 함께 즐기기, 스타일리쉬, 영어를 사용하는 것은 이용 가능
다른 사용 장면을 참조하십시오",예,,예 (무료),예,,"영어 중국어 한국
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001510998/archive/1543119-5e7457c65df47.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 가능 (좌석) : 80 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명",,"999 엔 미만의 all-you-can-drink 가격, All-you-can-drink 가격 1000-1999 엔, 3000-3999 엔, All-you-can-drink 코스에는 4000-4999 엔을위한 All-You-Can-Drink가 포함되어 있습니다. 2.5 시간 동안 all-you-can-drink, 2.5 시간 동안 당신이 흠뻑 적시고, 3 시간 이상 동안 당신이 흠집",사용 가능한 예약,"놀라운 응답 가능
테이크 아웃 가능성","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","개방성이 있습니다
차분한 분위기
골목을 향합니다","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",평상복,,,https://x.com/hitobosiokati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
串焼きと天ぷら 春子屋,꼬치와 튀김 Harukoya,https://retty.me/area/PRE13/ARE9/SUB901/100001416204/,03-5812-4243,이자카야,"[주중]
11:30부터
[토요일, 일요일 및 공휴일]
13:00부터",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"Park Regal Ueno, 3-18-13 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (180m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 3 분 (180m)
JR Yamanote Line / Okachimachi Station 3 분 도보 (210m)",,45 석,예,,없음,,,혼자서 즐길 수 있습니다. 크리스마스 저녁 식사를 즐길 수 있습니다.,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35659725.jpg,,,,,,,,,,,,https://x.com/harukoyaharu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
