식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약
しゃぶしゃぶすき焼き 宍倉,Shabu-Shabu Sukiyaki Shishikura,https://retty.me/area/PRE13/ARE1/SUB106/100001705535/,050-5462-7996,"Shabu-Shabu, Sukiyaki, 해산물 및 해산물","[하루 종일]
 17:30 ~ 0:00 L.O. 22:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"5-10-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Nishi-Shinjuku 5-Chome Station에서 도보 3 분 (220m)
Toei Oedo Line / Tochomae Station에서 도보로 7 분 거리 (520m)
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보 8 분 (630m)",없음,13 석,없음,"예
두 사람을 위해
4 명
6 명
7 명 이상",예,"[공식적인]
https://shishikura-nishinjyuku.foodre.jp/","전자 돈을 사용할 수 없습니다
QR 코드 결제 가능
(Paypay, DPay, Rakuten Pay, AU Pay)",,,,사용 가능한 예약,"소녀의 밤, 엔터테인먼트, 저녁 식사, 고기, 연회, 파티, 술, 급여 지불 포인트 받기, 온라인 예약
다른 사용 장면을 참조하십시오",,,,,,예,03-6276-0440,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001705535/archive/3551435-67d6ab7918092.jpg,,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/shishikura_shabushabu_sukiyaki/,,,,,,
鳥京 新宿総本店,Torikyo Shinjuku 메인 매장,https://retty.me/area/PRE13/ARE1/SUB101/100001563818/,050-5262-7482,이자카야 야키토리,"[월요일부터 금요일까지]
 16:00-5:00 L.O. 4:30
[태양, 토요일, 휴일]
 13:00-5:00 L.O. 4:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Torikyo Building 1f, 1-22-1 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 2 분 (100m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (240m)
JR Yamanote Line / Shinjuku Station에서 도보로 4 분 (250m)",없음,150 석,예,"예
두 사람을 위해
4 명
6 명
7 명 이상",예,"[공식적인]
https://torikyo-shinjukuhonten.foodre.jp/",,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 실, 하루 종일 마시기, 흡연, 쌀, 늦은 밤에 문을 닫고, 냉담한, 저녁 식사, 그룹 데이트, 연회, 파티, 고기, 솔로 환영 파티, 음료수, 첫 열차, 생일, 엔터테인먼트, 개인 파티, 파티, 파티, 음료 쇼치까지 열립니다.
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다","놀라운 응답 가능
축하 가능성",예,,,없음,03-6233-8780,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001563818/archive/3453705-6736E917CCC802.png,,"예
완전히 흡연이 허용됩니다
(흡연은 2020 년 4 월 1 일 또는 이후 자리에서 이용할 수 있습니다!)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 싱글 링크",,,,
完全個室居酒屋 大吉‐だいきち‐ 新宿西口店,완전히 개인 Izakaya Daikichi Shinjuku West Exit 지점,https://retty.me/area/PRE13/ARE1/SUB112/100001395599/,050-5462-1635,이자카야 사샤 시미 해산물과 해산물 요리 쇠고기 혀,"[월요일부터 금요일, 토요일, 휴일]
 11:00-0:00
[낮]
 15:00-0:00
요리 L.O. 23:00 음료 L.O. 23:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",예,,"Koshin Building 5F, 1-18-5 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shinjuku Station에서 도보로 1 분 (30m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (240m)",,120 석,,예,,"[공식적인]
https://daikichi-shinjukunishiguchi.foodre.jp/",,,,,,"흡연 허용, 밤에 음주, 개인 실, 개인 용기, 고기, 연회 및 음주 파티, 술을 마시고, 음료수, 온라인 예약 가능, 새해 파티, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한, 신선한
다른 사용 장면을 참조하십시오",,,,,,,070-2660-8073,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001395599/archive/2076576-5faba557aee32.jpg,,"연기 분리
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
デリカシー 新宿 歌舞伎町,진미 신주 쿠 카부 치코,https://retty.me/area/PRE13/ARE1/SUB101/100001750309/,050-5462-6307,식당 바이자카야 다트 바 바,"[하루 종일]
저녁 식사 19:00-29:00 L.O. 28:30
요리 L.O. 4:00 다음 음료 L.O. 다음 날 4:30","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6 층, Shinjyuku Plain City, 1-17-11 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 2 분 (130m)
JR Yamanote Line / Shinjuku Station에서 도보로 3 분 거리 (170m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (170m)",없음,40 석,예,예,,"[공식적인]
https://delicacy.foodre.jp/",,"2,999 엔 미만의 코스",,"Shochu, 위스키, 칵테일",사용 가능한 예약,"첫 번째 열차 개인 실이 밤에 늦게 열릴 때까지 열려
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,,,예,03-6205-5013,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001750309/archive/3372325-66ac829c348da.jpg,Quicpay,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/delicacy.kabukicho/,,,,,"가라오케, 프로젝터, TV 및 모니터, 다트, 즐거움",
黒牛,블랙 쇠고기,https://retty.me/area/PRE13/ARE1/SUB102/100000001097/,050-5303-1358,야키 니쿠 쇠고기 혀,"[하루 종일]
 17:00-24:00 L.O. 23:30","하루 종일 개점
새해 연말 연시","점심:-
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Yoyogi Pacific Square Yoyogi Building, 3-1-11 Yoyogi, Shibuya-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
Odakyu Odawara Line / Minami Shinjuku 역에서 도보로 5 분 (360m)
Odakyu Odawara Line / Sannomiyabashi Station 6 분 도보 (480m)
JR Yamanote Line / Yoyogi 역에서 도보로 9 분 (710m)","없음
근처 (할인 없음) 사용 가능",46 석,없음,"예
두 사람을 위해
4 명
6 명
7 명 이상",,https://www.kokugyu.com,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.",그는 고기 요리에 대해 특별히 있으며 요리사는 유명한 식당에서 훈련을 받았으며 매장 내에서 준비했습니다.,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"엔터테인먼트, 식사, 개인 객실, 흡연 허용, 급여 지불 지불 가능, 지불금 포인트, 온라인 예약 가능, 새해 파티, 저녁 식사, 성인 새해 파티, 크리스마스 2024, 성인 연말 파티, 럭셔리 크리스마스, 작별 파티
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
휴대품 룸이 있습니다","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,예,03-6803-1129,"영어 중국어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000001097/archive/2707572-627deb7f5214e.jpg,,"불가능합니다
(흡연은 2020 년 4 월 1 일부터 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/kokugyu,"ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 한 시간 반 동안 온전한 링크",,,휴대품 룸이 있습니다,
Seafood bar Ermitage 代々木店,해산물 바 Ermitage Yoyogi Store,https://retty.me/area/PRE13/ARE1/SUB102/100001169115/,050-5462-2634,이탈리아 요리 이자카야,"[월요일부터 금요일까지, 휴일 전]
 11:30-23:00 L.O. 22:00
[태양, 토요일, 휴일]
 11:00-23:00 L.O. 22:00",불규칙한 휴일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1f, 1-45-3 요요기, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Odakyu Odawara Line / Minami Shinjuku Station에서 도보 2 분 (150m)
JR Yamanote Line / Yoyogi Station 5 분 도보 (360m)
JR Yamanote Line / Shinjuku Station에서 도보로 7 분 거리 (530m)",예,"42 석
(28 테이블 좌석)","예
(카운터에서 14 석)",없음,,"[공식적인]
https://seafoodbaremitage-yoyogi.foodre.jp/
https://kokoroodoru-inc.co.jp/brand/",,,,,,"연회/음주 파티 소녀의 파티 생일 저녁 식사 점심 점심 식사 와인 연말 파티 새해 파티 날짜가 아닌 점심 날짜 급여 지불 지불 이용 가능 크리스마스 환영 파티 런치 세련된 성인 날짜 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,,예,03-6276-2628,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001169115/archive/3013787-641d2a693589c.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet","불가능합니다
(상점의 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
北京料理 玉蘭,베이징 요리 율란,https://retty.me/area/PRE13/ARE1/SUB104/100001339342/,050-5462-3020,이자카야,"[하루 종일]
 0:00-24:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
JCB",,"2-18-1 Kabukicho, 신주쿠-쿠, ​​도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 후쿠토신 라인 / 히가시-신주쿠 역에서 도보 3 분 (180m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 5 분 (400m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 8 분 (570m)",없음,80 석,없음,없음,예,"[공식적인]
https://gyokurann.foodre.jp/
https://gyokuran-kabuki.com/index.html",,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","우리는 고기 요리, 매우 매운 메뉴 품목, 매장 내에서 준비된 매우 매운 메뉴에 대해 특별합니다.","맥주, 사케, 쇼치, 위스키, 칵테일, 샤 옥싱 와인",사용 가능한 예약,"쌀, 점심, 흡연 허용, 심야, 급여표 포인트, 온라인 예약 가능, 연말 파티, 새해 파티, 점심, 저녁, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점
골목을 향합니다",배송 가능,예,불가능합니다,,없음,03-3205-6727,"중국인
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001339342/archive/3027166-642d4fb7130d8.jpg,Suica,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/gyokuran24/,,,없음,,,
ジンギスカンと蟹Caen,Genghis Khan과 Crab Caen,https://retty.me/area/PRE13/ARE1/SUB101/100001727040/,050-5462-5951,이자카야 해산물과 해산물 요리 야키 니쿠,"[월요일부터 금요일과 토요일]
 17:00-4:00",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F, 3 번째 Hirasawa Building, 2-46-7 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 1 분 (72m)
Jr Chuo / Sobu Line / Okubo (도쿄) 역에서 도보 5 분 (370m)
JR Yamanote Line / Shin-Okubo 역에서 도보로 5 분 (400m)",없음,34 석,예,"예
4 명
6 명",예,https://caen.foodre.jp/,,"6,000 엔에서 6,999 엔 코스, 8,000 엔 코스 이상으로 제공됩니다.",우리는 고기 요리와 생선 요리에 대해 특히 알고 있습니다,"술, 와인, 칵테일",사용 가능한 예약,"개인 객실 데이트 여자의 밤 식사 나일 저녁 식사 이용 가능 페이 페이 지불 가능 all-you-can-drink welcome party 세련
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성",,,,예,03-6709-6489,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001727040/archive/334161-6672b2c6f04e0.jpg,"Suica, Icoca, Nanaco, Rakuten Edy, Waon, Quicpay","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/caen_hokkaido/,,"전 만점 가격 : 3,000 엔 -4,999 엔",,,,
遊山 新宿店,유잔 신주쿠 지점,https://retty.me/area/PRE13/ARE1/SUB101/100001412269/,050-5462-7828,Izakaya 마름 고기 요리 일본 요리 kyushu cuisine teppanyaki sashimi,"[하루 종일]
 11:00-24:00 L.O. 23:00
*하루에 따라 일찍 문을 닫을 수 있으므로 방문시 확인을 위해 전화하십시오.
전화 : 050-5262-5112",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,PayPay,"3f, 3-34-11 신주쿠, 신주쿠-쿠, ​​도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (110m)
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (160m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (170m)",예,"130 석
(~ 지불 방법 ~ PayPay는 현재 사용할 수 없습니다. 불편을 끼쳐 드려 죄송합니다. 이해에 감사드립니다.)",없음,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 150 명",,"~ 지불 방법에 대해 ~
PayPay는 현재 사용할 수 없습니다.
불편을 드려 죄송합니다. 이로 인해 귀하의 이해에 감사드립니다.",,우리는 야채 요리와 고기 요리에 대해 특별합니다,"술, 쇼카, 와인, 칵테일",사용 가능한 예약,"작별 파티 점심 점심 개인 방 점심 마시는 저녁 식사 all-you-can-drink sake sake drink all-can-eat 엔터테인먼트 연말 파티 새해 파티를 마시는 와인을 마시는 아이들과 함께 즐거운 와인을 마시고 흡연 허용 개인 객실 점심 여자 파티
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성",예,,,예,080-3442-7306,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001412269/archive/3540192-67c9455add25f.jpg,,"예
완전히 흡연이 허용됩니다
(available 흡연 분리는 개인 실에서 이용할 수 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"2,999 엔 미만의 모든 링크, 3,000 ~ 3,999 엔을위한 all-you-can-drink, 4,000 ~ 4,999 엔을 포함하는 코스가 포함 된 코스가 포함되어있는 코스가 있습니다.",,,,
さかな日和 なみなみ,생선 날 나미나미,https://retty.me/area/PRE13/ARE1/SUB101/100001747463/,050-5462-6127,이자카야 해산물과 해산물,"[태양, 월요일부터 금요일, 토요일]
저녁 식사 18:00-8:00 L.O. 7:30
[축하/축하 전]
저녁 18 : 00-8 : 00","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-3-7 Kabukicho, Shinjuku-Ku, 도쿄, 신주쿠 카부 치치 레드 노렌 스트리트
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 4 분 (290m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 5 분 (330m)
JR Yamanote Line / Shinjuku Station에서 도보로 5 분 (330m)",없음,"20 석
(모든 좌석은 이용 가능합니다.)",없음,없음,예,https://nami-nami.foodre.jp/,*임대에 대한 정보는 전화로 문의하십시오.,,우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"날짜, 여자 밤이 열리고, 늦은 밤에 문을 열고, 저녁 식사, 흡연 허용, 연회 및 음주 파티, 파티, 파티, 첫 번째 열차까지, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 급여 포인트, 온라인 예약 가능
다른 사용 장면을 참조하십시오",활발한 상점,축하 가능성,,,,없음,03-4400-0088,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001747463/archive/3358712-6690cab784c5e.jpg,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/naminami_rednorengai/,,,,,,
イタリアンバル COCONEEL 新宿,이탈리아 바 Coconeel Shinjuku,https://retty.me/area/PRE13/ARE1/SUB101/100000050988/,050-5303-3197,이탈리아 바 미트 바 스페인 치즈,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-4:00 L.O. 3:00
[낮]
저녁 식사 17:00-23:00 L.O. 22:00","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Shimomura Building B1F, 1-23-13 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (240m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (260m)
JR Yamanote Line / Shinjuku Station에서 도보로 7 분 거리 (510m)","없음
근처 (할인 없음) 사용 가능",40 석,예,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 40 명을 임대 할 수 있습니다","[공식적인]
https://coconeel-shinjuku.foodre.jp/",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","우리는 야채 요리, 고기 요리, 식품 생산 공간, 유기농 야채, 주인 및 매장 준비에 특히 도움이됩니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"Farewell Party Meat Rice Private Room After-Party 생일 첫 번째 열차 날짜 새해 파티 환영 파티 기념일 쿠폰 이용 가능 연말 연말 파티 크리스마스 저녁 식사 이용 가능 PayPay Points 온라인 예약 가능
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
조용한 가게
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성",불가능합니다,"불가능합니다
상점 밖에서 사용할 수 있습니다",,예,03-3207-7020,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000050988/archive/586673-5bd6858a28868.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"3,000 엔에서 3,999 엔으로 인한 모든 코스가 포함 된 코스와 4,000 엔에서 4,999 엔을위한 모든 코스와 5,000 엔 이상을위한 모든 양식을 포함하는 코스, 2 시간 동안 2 시간 동안 2 시간 동안 올라간 링크를 포함하는 코스가 있습니다. 반",,,,
みつい,나는 할거야,https://retty.me/area/PRE13/ARE1/SUB101/100001278906/,03-6457-6906,카포/작은 레스토랑 이자카야 해산물/해산물 사시미,"[월요일부터 금요일, 토요일, 휴일 전]
저녁 식사 18 : 30-5 : 00 L.O. 4:00
[일요일과 휴일]
저녁 식사 18 : 30-3 : 00 L.O. 4:00",,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex",,"Atami Building B1F, 2-27-8 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 5 분 (350m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 7 분 거리 (530m)
도쿄 메트로 후쿠토신 라인 / 히가시-신주쿠 역에서 도보 8 분 (610m)",예,"16 석
(표 : 2-4 x 2 좌석 (Semi-Private Rooms에서 이용할 수있는 이음새))))))))","예
(카운터 : 8 석)",없음,,,,,,,,"저녁 식사, 늦은 밤, 흡연, 쌀, 엔터테인먼트, 음료수, 고기, 솔로, 환영 파티, 급여표, 온라인 예약, 연말 파티, 새해 파티, 작별 파티, 세련된 파티
다른 사용 장면을 참조하십시오",,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001278906/archive/15484-58b788bd20ea6.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/japanese cuisine bar-mitsui-694040040736453/,,,,,
KJミートダイニング 新宿西口店,KJ 고기 식당 신주쿠 웨스트 출구 지점,https://retty.me/area/PRE13/ARE1/SUB106/100001705428/,050-5462-8073,이자카야,"[하루 종일]
점심 11:00-15:00
저녁 식사 17:00-24:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F, 1-14-3 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (95m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (170m)
Toei Oedo Line / Tochomae 역에서 도보로 5 분 (340m)",없음,"80 석
(개인 객실, 몇 좌석 이용 가능)",,예,,"[공식적인]
https://kjmeatdining.foodre.jp/","이용 가능한 전자 자금 (운송 전자 자금 (예 : Suica), Nanaco, Waon, ID)
QR 코드 결제는 불가능합니다",,,,사용 가능한 예약,"점심, 저녁 식사, 쌀, 개인 실, 고기, 흡연 허용, 점심 음주, 파티, 후주, 지불금 지불 이용 가능, 연말 파티, 새해 파티, 모든 멍청한, 빠른 새해 파티, 요리, 연말 파티, 작별 파티, 환영 파티, all-you-can-eeat, 소녀의 파티, 쿠폰 이용 가능
다른 사용 장면을 참조하십시오",,,,,,예,080-4425-6661,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001705428/archive/3072868-647ec603ee7da.jpg,,"연기 분리
(흡연 부스가 가능합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
