식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,영상,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자,온라인 예약
セルリアンタワー東急ホテル 宴会場,Cerulean Tower Tokyu Hotel Banquet Hall,https://retty.me/area/PRE13/ARE8/SUB803/100000540324/,03-3476-3000,호텔 기타,,하루 종일 개점,"점심 : ~ 4,000 엔
저녁 식사 : ~ 60,000 엔","비자
마스터 카드
Amex
JCB",,"Cerulean Tower Tokyu Hotel, 26-1 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (230m)","예
특별 P 사용 가능",408 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,https://www.tokyuhotels.co.jp/cerulean-h/index.html,,,,,,사용 가능한 예약,"웨딩 기념일 개인 객실 약혼식 저녁 식사 파티 싱글 OK Entertainment Beautiful Night View 레스토랑 크리스마스 저녁 식사는 어린이와 함께 즐거운 주차장이 있습니다.
다른 사용 장면을 참조하십시오",,,,예,,,예,"영어 중국어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000540324/archive/1455401-5e460a2b21d2e.jpg,,,,,,,,,,
とんかつまい泉 渋谷ヒカリエ店,Tonkatsu Maizumi Shibuya Hikarie 지점,https://retty.me/area/PRE13/ARE8/SUB805/100000714362/,03-3486-2365,Tonkatsu 다른 쌀 그릇 햄버거,"[하루 종일]
 11:00-23:00 L.O. 22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",예,PayPay,"Shibuya Hikarie 6f, 2-21-1 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (12m)",,"32 석
(24 테이블 좌석)","예
(8 석)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 세련된, 저녁 식사, 금연, 세련된, 점심, 급여 지불 지불 가능",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16604134.jpg,,,,,,,,,,
飲み放題＆全席喫煙可 焼き鳥とおばんざい 四季折々 渋谷肉横丁店,All-You-Can-Drink & 흡연은 모든 좌석 Yakitori 및 Obanzai 계절 변화 시비야 Niku Yokocho Branch,https://retty.me/area/PRE13/ARE8/SUB802/100001720669/,080-1152-7746,이자카야 야키토리,"[하루 종일]
저녁 식사 16 : 00-25 : 00",명확하지 않습니다,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Chitose Kaikan 2f, 13-8 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)",예,42 석,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"우리는 고기 요리에 대해 특별히 있으며, 생산 구역에 대해 특히 매장 내에서 준비되어 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"소녀의 밤, 그룹 데이트, 연회 및 음주 파티, 솔로 음료, 음료수, 저녁 식사, 쌀, 고기, 흡연, 무료 와이파이, 점심 마시기, Shochu
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점",,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001720669/archive/3298727-662b620c05b7a.jpeg,,,,,,https://www.instagram.com/shikiori2929/,,,,
メルローズ・アベニュー,멜로즈 애비뉴,https://retty.me/area/PRE13/ARE8/SUB804/100000046319/,03-5458-5566,이자카야,"[월요일부터 금요일까지]
점심 11:30-14:30
[월요일부터 금요일과 토요일]
저녁 식사 18:00-28:00 L.O. 27:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"시부야 1f, 25-7 Maruyamacho, Shibuya-Ku, Tokyo의 Kikuya
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 2 분 (150m)
JR Yamanote Line / Shibuya 역에서 도보로 8 분 (590m)
Koio Inokashira Line / Komaba Higashidaimae Station에서 도보 11 분 (870m)",,60 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,점심은 첫 번째 열차 저녁 식사 흡연이 허용 될 때까지 늦은 밤 급여 지불 지불 이용 가능 캐주얼,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/6195999.jpg,,,,,,,,,,
銀座のステーキ 渋谷店,진 자 스테이크 시부야 지점,https://retty.me/area/PRE13/ARE8/SUB803/100001538625/,03-5422-3302,스테이크 스테피 파냐키,"[하루 종일]
점심 11 : 30-16 : 00 L.O. 15:15
저녁 식사 17:00-23:00 L.O. 21:45
*1 월 8 일부터 2 월 7 일까지의 개장 시간은 다음과 같습니다.
11 : 30-20 : 00 (L.O. 19:15) *마지막 항목 : 19:00","명확하지 않습니다
새해 휴일 (확인하십시오)","저녁 식사 : ~ 10,000 엔",Amex,PayPay,"2f Shibuya Granbell Hotel, 15-17 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (200m)",예,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,"점심으로 점심으로 먹는다 당신이 흠뻑 젖은 연회와 음주 파티 개인 방 선량 파티 작별 파티 파티 연말 파티 파티를 마시는 새해 파티 마시는 와인 저녁 식사를 마시는 사기꾼이 아닌 개인 방 점심 만약 전후 당신이-냉담한 wifi paypay 지불 가능한 고급 크리스마스.
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001538625/archive/1619152-5d7f8ae89ded4.png,,,,,,,,,,
SHIBUYA KALLAS,시부야 칼라스,https://retty.me/area/PRE13/ARE8/SUB806/100000700853/,03-3461-7833,바이자카야,"[하루 종일]
 20:00-5:00 L.O. 4:30
 19:00-5:00 L.O. 4:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,,"시부야 델리 타워 10f, 2-23-13도 텐자 카, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (280m)
Keio Inokashira Line / Shinsen Station에서 도보 6 분 (410m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,,,,,,,,개인 실은 첫 번째 열차 저녁 식사 흡연이 늦은 밤 허용 될 때까지 열립니다.,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3515370.jpg,,,,https://x.com/shibuya_kallas,,,,,,
居酒屋 すずめや,이자카야 수마야,https://retty.me/area/PRE13/ARE8/SUB803/100001249522/,03-645-3771,이자카야,,매주 일요일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔",,,"1-6-9 Dogenzaka, Shibuya-Ku, 도쿄, Ila Dogenzaka 건물, 1st Basement Floor
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (69m)",,,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,맛있고 저렴한 식당 흡연이 허용됩니다,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11467177.jpg,,,,,,,,,,
SHIBUYA KALLAS,시부야 칼라스,https://retty.me/area/PRE13/ARE8/SUB806/100000700853/,03-3461-7833,바이자카야,"[하루 종일]
 20:00-5:00 L.O. 4:30
 19:00-5:00 L.O. 4:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,,"시부야 델리 타워 10f, 2-23-13도 텐자 카, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (280m)
Keio Inokashira Line / Shinsen Station에서 도보 6 분 (410m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,,,,,,,,개인 실은 첫 번째 열차 저녁 식사 흡연이 늦은 밤 허용 될 때까지 열립니다.,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3515370.jpg,,,,https://x.com/shibuya_kallas,,,,,,
Living Bar M&W TOKYO,살아있는 바 M & W 도쿄,https://retty.me/area/PRE13/ARE8/SUB805/100000030504/,03-6427-4880,바 라운지,"[월요일부터 금요일과 토요일]
 18:00-3:00 L.O. 2:30","매주 일요일과 공휴일
월요일이 공휴일이라면, 우리는 일요일에 문을 열고 월요일에 문을 닫습니다.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3-7-6 시부야, 시부야-쿠, 도쿄, 야기 빌딩, B1F
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 도보 2 분 (150m)",,30 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://mwtokyo.owst.jp/,,,,,,,"날짜 연회 및 음주 파티 개인 방 싱글 룸 성인을위한 싱글 룸 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 와인 세련된 저녁 식사 쌀 흡연 허용 개인 방 날짜 세련된 개인 실
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/10070328.jpg,,,,,,,,,,
Cafe&Bar EIN,카페 & 바 아이 인,https://retty.me/area/PRE13/ARE8/SUB803/100000770756/,03-3462-1710,바 식당 바 라운지 파스타,"20:00-5:00 다음날 Lo 4:00 다음 날
마감 시간은 하루에 따라 다를 수 있습니다",불규칙한 휴일,"점심:-
저녁 식사 : ~ 3,000 엔",,,"Tsuda Social Building, 1-19-6 Dogenzaka, Shibuya-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 4 분 (260m)
JR Yamanote Line / Shibuya Station에서 도보 4 분 (300m)",,"16 석
(served 25 명이 스탠드 업 식사를 할 수 있습니다.","예
(7 석)","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://ameblo.jp/barandsoulein/,,,,,,,개인 객실 흡연이 허용됩니다,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/356821.jpg,,,,,,,,,,
とんかつまい泉 渋谷ヒカリエ店,Tonkatsu Maizumi Shibuya Hikarie 지점,https://retty.me/area/PRE13/ARE8/SUB805/100000714362/,03-3486-2365,Tonkatsu 다른 쌀 그릇 햄버거,"[하루 종일]
 11:00-23:00 L.O. 22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",예,PayPay,"Shibuya Hikarie 6f, 2-21-1 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (12m)",,"32 석
(24 테이블 좌석)","예
(8 석)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 세련된, 저녁 식사, 금연, 세련된, 점심, 급여 지불 지불 가능",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16604134.jpg,,,,,,,,,,
飲み放題＆全席喫煙可 焼き鳥とおばんざい 四季折々 渋谷肉横丁店,All-You-Can-Drink & 흡연은 모든 좌석 Yakitori 및 Obanzai 계절 변화 시비야 Niku Yokocho Branch,https://retty.me/area/PRE13/ARE8/SUB802/100001720669/,080-1152-7746,이자카야 야키토리,"[하루 종일]
저녁 식사 16 : 00-25 : 00",명확하지 않습니다,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Chitose Kaikan 2f, 13-8 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)",예,42 석,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"우리는 고기 요리에 대해 특별히 있으며, 생산 구역에 대해 특히 매장 내에서 준비되어 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"소녀의 밤, 그룹 데이트, 연회 및 음주 파티, 솔로 음료, 음료수, 저녁 식사, 쌀, 고기, 흡연, 무료 와이파이, 점심 마시기, Shochu
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점",,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001720669/archive/3298727-662b620c05b7a.jpeg,,,,,,https://www.instagram.com/shikiori2929/,,,,
渋谷レモンサワー酒場 博多商店 道玄坂店,Shibuya 레몬 사워 바 Hakata Shoten Dogenzaka 매장,https://retty.me/area/PRE13/ARE8/SUB803/100001457106/,080-2089-6630,이자카야 서부 푸드 미트 바 피자 이탈리아 바 파스타,"[선, 월요일부터 목요일, 휴일]
 16:00-24:00
[금과 앉았다]
 16:00-5:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Gloria Building 5F, 1-7-1 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (110m)","없음
근처 (할인 없음) 사용 가능",60 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
예약 할 수있는 제한된 수의 사람들 : 60 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명",https://sativa.owst.jp/,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","999 엔 미만의 모든 금액 가격, ALL-YOU-CAN-DRINK 가격 1000-1999 엔, ALL-YOU-CAN-DRINK 가격 2000-2999 엔, ALL-YOU-CAN-DRINK 3000-4999 YEN, 2999 얀, ALL-YOU-CAN-DRINK COSS는 3000-3999999999999999999999999999 년 미만의 모든 칸 드링크 가격입니다. 코스에는 1 시간 반, 2 시간 반, 3 시간 이상이 포함되어 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 요리사가 해외에서 훈련했으며, 요리사가 유명한 식당에서 훈련했으며, 요리사가 유명한 레스토랑에서 훈련했으며, 요리사가 요리하고, 매장에서 준비했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"솔로 손님을 대상으로 이용할 수있는 전적으로 당신이 먹을 수있는 싱크 파티를 환영합니다
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳
상단에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",예,,예,"영어 중국어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001457106/archive/1418505-5e31441094ad2.jpg,,,,,"프로젝터, TV 및 모니터 사용 가능",,,,,
Bar&dining Reality,바 및 식사 현실,https://retty.me/area/PRE13/ARE8/SUB806/100000002314/,03-3462-9909,이자카야 바 서쪽 음식 피자 바 커리 우동,"[하루 종일]
저녁 7:00 pm -5:00 pm",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Villa Frudery 2f, 2-18-7 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (280m)
Keio Inokashira Line / Shinsen 역에서 도보 4 분 (290m)","예
근처 (할인 없음) 사용 가능",50 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명",https://reality-shibuya.com/,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","전적으로 다루는 가격 : 2,000-2,999 엔, 전산 점수 가격 : 3,000-4,999 엔, 1 시간 반 동안 all-you-can-drink, 2 시간 동안 완전히 흠뻑 젖어 2 시간 반 동안 끊임",매장 내 준비,"맥주, 와인, 위스키, 칵테일, Awamori",사용 가능한 예약,"전산 된 링크 연회/음주 파티 개인 방 작별 파티를 환영 파티 연말 파티 새해 파티 주차 이용 가능 개인 공간 첫 번째 기차 저녁 식사 저녁 식사 흡연이 허용 될 때까지 밤 늦게까지 무료 Wi-Fi 오픈 Shochu 캐주얼
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",없음,불가능합니다,불가능합니다,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11357886.jpg,,,https://www.facebook.com/bardiningreality/,https://x.com/shibuya_reality,,https://www.instagram.com/bar.reality/,,,,
TOKYO KAKI STAND 渋谷道玄坂,도쿄 카키 스탠드 시부야 개 첸 자카,https://retty.me/area/PRE13/ARE8/SUB806/100001665484/,03-6427-8099,이자카야 해산물과 해산물 굴 바,"[월요일 ~ 목요일]
 18:00-24:00
[금요일, 토요일, 휴일 전]
 17:00-3:00
[일요일과 휴일]
 17:00-24:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"미노하나 빌딩 1f, 2-16-1 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)
Keio Inokashira Line / Shinsen Station에서 도보 6 분 (410m)","없음
근처 (할인 없음) 사용 가능","15 석
(4 개의 테라스 좌석이 있습니다.) 예약 상황에 따라 사용하려는 좌석을 보여줄 수 없습니다.)",예,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
흡연실 사용 가능
(상점에서 가열 된 담배에만 이용 가능하며 테라스 좌석에는 흡연이 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 12 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠딩 식사) 10 명
최대 20 명이 예약 할 수 있습니다 (스탠드 스탠딩 식사)",,하치파이,"5,000 ~ 5,999 엔 코스로 제공됩니다","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",우리는 생선 요리에 대해 특히 그렇습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"데이트 소녀의 밤 여자 야간 결혼식 기념일 연말 파티 새해 파티 술 마시기 와인 주차를 마시고 아이들과 함께 즐길 수 있습니다 테라스 저녁 식사와 함께 개인 공간 흡연 허용
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다
테라스가 있습니다","놀라운 응답 가능
축하 가능성",없음,"예
미취학 아동이 허용되며 초등학생은 허용됩니다","예
상점 밖에서 사용할 수 있습니다",예 (무료),예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001665484/archive/3348381-6667e906036.jpg,,,,,TV 및 모니터 사용 가능,https://www.instagram.com/tokyo_kaki_stand/,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet",,,
Cafe&Bar EIN,카페 & 바 아이 인,https://retty.me/area/PRE13/ARE8/SUB803/100000770756/,03-3462-1710,바 식당 바 라운지 파스타,"20:00-5:00 다음날 Lo 4:00 다음 날
마감 시간은 하루에 따라 다를 수 있습니다",불규칙한 휴일,"점심:-
저녁 식사 : ~ 3,000 엔",,,"Tsuda Social Building, 1-19-6 Dogenzaka, Shibuya-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 4 분 (260m)
JR Yamanote Line / Shibuya Station에서 도보 4 분 (300m)",,"16 석
(served 25 명이 스탠드 업 식사를 할 수 있습니다.","예
(7 석)","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://ameblo.jp/barandsoulein/,,,,,,,개인 객실 흡연이 허용됩니다,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/356821.jpg,,,,,,,,,,
ラ・ボデガ 渋谷ヒカリエ店,La Bodega Shibuya Hikarie 매장,https://retty.me/area/PRE13/ARE8/SUB805/100000704378/,03-6434-1480,스페인 바 스페인 바,"[하루 종일]
점심 11:00-16:00 L.O. 15:00
저녁 식사 16:00-23:00 L.O. 22:00","하루 종일 개점
마실 시간은 30 분 전에 문을 닫습니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔",예,PayPay,"Shibuya Hikarie 7f, 2-21-1 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (12m)","예
이웃 P (할인) 사용 가능",60 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"불가능합니다
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명",,,,,,,,"점심, 데이트, 소녀 파티, 모든 링크, 연회 및 음주 파티, 개인 객실, 약혼 저녁 식사, 싱글, 엔터테인먼트, 엔터테인먼트, 아름다운 야간 전망, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 와인은 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000704378/archive/195774-5f8406cc093d3.png,,,,,,,,,,
セルリアンタワー東急ホテル 宴会場,Cerulean Tower Tokyu Hotel Banquet Hall,https://retty.me/area/PRE13/ARE8/SUB803/100000540324/,03-3476-3000,호텔 기타,,하루 종일 개점,"점심 : ~ 4,000 엔
저녁 식사 : ~ 60,000 엔","비자
마스터 카드
Amex
JCB",,"Cerulean Tower Tokyu Hotel, 26-1 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (230m)","예
특별 P 사용 가능",408 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,https://www.tokyuhotels.co.jp/cerulean-h/index.html,,,,,,사용 가능한 예약,"웨딩 기념일 개인 객실 약혼식 저녁 식사 파티 싱글 OK Entertainment Beautiful Night View 레스토랑 크리스마스 저녁 식사는 어린이와 함께 즐거운 주차장이 있습니다.
다른 사용 장면을 참조하십시오",,,,예,,,예,"영어 중국어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000540324/archive/1455401-5e460a2b21d2e.jpg,,,,,,,,,,
