식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,영상,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
魚専門 漁十八番,낚시 18 번째 생선 전문가,https://retty.me/area/PRE13/ARE8/SUB806/100000448266/,03-6808-5175,이자카야 해산물과 해산물 사시미 쌀 그릇,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
[하루 종일]
저녁 식사 17:00-23:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"Dogenzaka Trower Building 2F, 2-6-12 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (50m)",,53 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,카드는 저녁 식사에만 사용할 수 있습니다,,,,,,"점심, 연회 및 음주 파티, 싱글 OK, FOREWELL PARTY, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 마시기, 와인, 세련된, 저녁, 쌀, 비영리, 세련된 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32025311.jpg,,,,,,,,,
渋谷カオマンガイ,Shibuya Khao Mangai,https://retty.me/area/PRE13/ARE8/SUB805/100001153300/,03-6805-1202,태국 음식은 캘리포니아 음식 테이크 아웃,"[하루 종일]
 11:00-22:00 L.O. 22:00","하루 종일 개점
∎ 매진 될 때 끝납니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,PayPay,"1f, 3-15-2 시부야, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (160m)",없음,20 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://shibuya-khaomankai.com/,,,,우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,이용 가능한 맥주,,"점심, 솔로, 어린이와의 재미, 세련된 저녁 식사, 비 조화, 세련된 점심, 주변, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오","차분한 분위기
골목을 향합니다","테이크 아웃 가능성
배송 가능",평상복,예,불가능합니다,불가능합니다,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3489448.jpg,,,https://www.ac,https://x.com/shibukhaomankai,,https://www.instagram.com/shibuya_khaomankai/,,,
串焼専門 佐五右衛門,꼬치의 전문가 인 Sagoemon,https://retty.me/area/PRE13/ARE8/SUB806/100000818416/,03-6455-0900,"야키토리, 쌀 그릇, 사시미, 오야 코돈","[하루 종일]
저녁 식사 17:00-23:30 L.O. 22:30","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 공휴일 동안 문을 닫았습니다","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"Dogenzaka Center Building 4F, 2-29-8 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (57m)
Keio Inokashira Line / Shinsen Station에서 도보 7 분 (520m)",,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"데이트 소녀의 밤 연회와 음주 파티 싱글 싱글 OK 작별 파티를 환영 파티 체리 꽃보기와 레스토랑 체리 블러스트 시청 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 새해 와인 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000818416/cover/3647-551ceea512862.jpg,,,,,,,,,
かにチャーハンの店 渋谷店,게 튀김 쌀 상점 시부야 지점,https://retty.me/area/PRE13/ARE8/SUB802/100000001187/,03-5784-2443,"중국 음식, 식사, 사시미, 게 요리","[하루 종일]
 11:30-15:45 L.O. 15:30
 17:00-22:00 L.O. 21:45",매월 첫 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,PayPay,"3F Shinoda Building, 31-4 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (220m)
Keio Inokashira Line / Shinsen Station에서 도보 8 분 (640m)",,20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.stride.co.jp/store-guide/shibuya-store/,,,,,,,"점심, 솔로, 세련된, 저녁 식사, 금연, 세련된, 점심, 급여 지불 지불 가능",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34082307.jpg,,,,,,,,,
肉のヒマラヤ 焚火家 渋谷店,고기 히말라야 BONFIRE HOUSE 시부야 지점,https://retty.me/area/PRE13/ARE8/SUB805/100000005573/,03-5778-3039,야키니쿠 이자카야 테이크 아웃,"[하루 종일]
점심 11:30-15:00 L.O. 14:30
[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
저녁 식사 15:00-23:00 L.O. 22:30","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"1f, Higashiguchi Futaba Building, 1-15-19 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (34m)",없음,55 석,예,"예
(흡연 분리기 *가열 담배 만 해당 (점심 시간 및 기타 시간에 따라 금연) *3 월 4 일부터 시간에 따라 Ploom Tech 만 사용할 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,임대 할 수있는 사람의 수는 당사에 문의하십시오.,"2,999 엔, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 8,000 ~ 8,000 엔 코스 이하","모든 금액 가격은 1,000 엔에서 1,999 엔, 4,000 엔에서 4,999 엔, 5,000 엔 이상, 1 시간 반 동안 온전한 링크를 위해 온전한 점수를 얻을 수 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"점심 모든-당신이 먹는 날짜 모든 날짜 전일 당신이 흠뻑 젖은 연회/음료 파티 개인 객실 약혼 저녁 식사 싱글 손님 엔터테인먼트 작별 파티를 환영 파티 크리스마스 저녁 파티 새해 파티 술 마시는 와인을 마시는 것과 함께 즐기십시오
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성
배송 가능",없음,예,불가능합니다,예 (무료),없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000005573/archive/1786580-5f290c17c8780.jpg,,,,https://x.com/takibiya_sibuya,,,"Suica, Quicpay",,
渋谷 個室で楽しむ肉とチーズ食べ放題&3H飲み放題 SAKURA GARDEN 渋谷本店,Shibuya 전용 방에있는 모든 고기 고기와 치즈 및 3 시간 동안 all-you-can-drink 사쿠라 정원 시부야 메인 스토어,https://retty.me/area/PRE13/ARE8/SUB802/100001440884/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
創作和食と美酒 うのさと,창조적 인 일본 요리와 아름다운 와인 우노 사사,https://retty.me/area/PRE13/ARE8/SUB802/100000002884/,03-3496-2087,Izakaya 일본 요리 창의 요리 요리 술 바 해산물 및 해산물 요리 카포/작은 요리,"[월요일부터 금요일까지]
저녁 식사 17:30-23:30 L.O. 22:30
[토양]
저녁 식사 17:00-23:30 L.O. 22:30
[일요일과 휴일]
저녁 식사 17:00-23:00 L.O. 22:00",월요일이 국경일이라면 우리는 문을 닫습니다.,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔",예,PayPay,"36-11 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya 역에서 도보로 8 분 (590m)
Keio Inokashira Line / Shinsen Station에서 도보 8 분 (610m)
도쿄 메트로 치 요다 라인 / 메이 지 징 우마 역에서 도보 15 분 (1.1km)",예,"50 석
(개인 실은 25 명 이상의 사람들과 파티를 할 수 있습니다)",예,"불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,불가능합니다,https://www.unosato.com,,,,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"음주 개인 방 환영 파티 파티 파티 저녁 식사 이용 가능한 연말-엔드 파티 작별 파티 성인 연말 파티 All-You-Can-Drink 성인 파티 세련된 성인 날짜 인기있는 상점 예약 가능 급여 판매 포인트
다른 사용 장면을 참조하십시오","차분한 분위기
단독 주택 레스토랑
숨는 곳",,,,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000002884/archive/3200165-65667a1971e17.jpg,,,,,,https://www.instagram.com/shibuya_unosato/,,,
和み屋 渋谷店,Wamiya Shibuya 상점,https://retty.me/area/PRE13/ARE8/SUB802/100001735491/,050-5462-7928,야키토리 해산물과 해산물 이자카야,"[월요일부터 금요일까지]
저녁 식사 15:00-0:00 L.O. 23:30
[태양, 토요일, 휴일]
 12:00-0:00 L.O. 23:30",,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"LU82 빌딩 4F-A, 26-4 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (35m)",예,50 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"[공식적인]
https://nagomiya-shibuya.foodre.jp/",,,,,,,"개인 룸 저녁 식사 쌀 점심 Shochu Drink Sake Paypay Points 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001735491/archive/3552940-67d81785cb83f.jpg,03-4216-0239,,,,,,,,
塩・酒・肴 中井商店,"소금, 알코올, 간식 Nakai Shoten",https://retty.me/area/PRE13/ARE8/SUB805/100001749920/,050-5462-7034,일본 요리 이자카야,"[월요일부터 금요일까지]
점심 11:00-15:00
저녁 15:00-22:00
[태양, 토요일, 휴일]
 11:00-22:00",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Shibuya Axch 2F, 2-17-1 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (180m)",예,46 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심 만세 연회/음료 작별 파티 Rice Dinner Entertainment 환영 파티 급여 지불 지불 이용 가능 Paypay Point 온라인 예약 이용 가능한 점심 마시는 캐주얼 개인 객실
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001749920/archive/344373-672c294f54d3a.jpg,03-6427-4558,,,,,,,,
シュラスコ 肉寿司食べ放題 夜景肉バル サルーテジャポン 渋谷店,churrasco all-you-can-eat 고기 초밥 야간보기 고기 바 경례 일본 시부야 지점,https://retty.me/area/PRE13/ARE8/SUB806/100001452682/,050-5462-6854,고기 바 이자카야 식당,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 15:00-24:00 L.O. 23:30
 11:00-24:00 L.O. 23:30
[축하 전]
 11:00-15:00 L.O. 14:30
 16:00-0:00 L.O. 23:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"2-28-2 Dogenzaka, Shibuya-Ku, 도쿄의 4 층
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (98m)
Keio Inokashira Line / Shinsen 역에서 도보 6 분 (480m)","없음
근처 (할인 없음) 사용 가능",80 석,없음,"불가능합니다
흡연실 사용 가능
(외부에 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 60 명
임대 가능 (좌석) : 80 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 60 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)","[공식적인]
https://salute-japon-shibuya.foodre.jp/","취소 수수료 : 전날 30%, 하루의 100%.
당일 의석 만 예약하고 취소하거나 사람의 수를 변경하는 경우, 당사는 1 인당 1,500 엔을 청구합니다.
*예약이 복제되면 전화를 통한 예약이 우선 순위가 부여됩니다.
*전화로 예약의 세부 정보를 확인하려면 연락 할 수 있습니다. 주문을 확인할 수 없으면 주문을 취소합니다. 이것을 미리주의하십시오.","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2,999 엔 미만의 all-you-can-drink, all-you-can-drink 코스, 3,000 엔 -3,999 엔, All-You-can-drink 코스를 이용할 수 있습니다. 2 시간, 2 시간 30 분 동안 all-you-can-drink, 3 시간 이상 동안 당신이 흠뻑 젖어","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 요리사가 해외에서 훈련을 받고, 요리사가 유명한 식당에서 훈련을 받고, 유명한 식당에서 훈련을 받았으며, 유명한 요리사, 주인 요리사, 주인 요리사가 만들어졌습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 개인 객실, 저녁 식사, 저녁 식사, 냉담한, 온전한, 온전한 파티, 고기, 개인 파티, 연회 및 음주 파티, 어린이와 함께 즐기기, 개인 객실 점심, 급여 매금 지불, 약혼 저녁 식사 파티, 연말 파티, 새해 파티, 술을 마시십시오.
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,"예
유아, 미취학 아동, 초등학생 어린이를 환영합니다",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001452682/archive/3430246-671730c48ce5d.jpg,03-6380-4854,,,,TV 및 모니터 사용 가능,,,,
焼き鳥食べ放題居酒屋 鳥物語 渋谷店,all-you-eat yakitori izakaya tori monogatari shibuya 지점,https://retty.me/area/PRE13/ARE8/SUB806/100001552105/,050-5462-7421,Izakaya Yakitori 일본 음식 닭 요리 Motsu 요리,"[하루 종일]
 12:00-23:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다","우리는 12 월 31 일, 1 월 1 일 및 2 일에 문을 닫습니다.","점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,PayPay,"4 층, 2-25-10 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (180m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (500m)",예,70 석,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 가능 (좌석) : 80 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",https://tori-monogatari.owst.jp,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","전적으로 마감 가격 : 2,000-2,999 엔, all-you-can-drink 가격 : 3,000-4,999 엔, 2 시간 동안 모두 당신이 싱글 링크, 2 시간 반 동안 싱글 링크, 3 시간 이상 싱글 링크","우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 쌀, 쌀 먹고, 날짜, 데이트, 욕망, 결혼 기념일, 연회 및 음주 파티, 개인 실, 솔로 손님, 작별 파티, 환영 파티, 새해 파티, 음료 와인, 아이들과 함께 즐기기, 영어를 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",,예,,예 (무료),예,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001552105/archive/3550081-67d413add4613.jpg,050-3773-4733,,,https://x.com/tori__story_/,프로젝터 포함,https://www.instagram.com/tori_monogatari_/,,,
UNTITLED,제목없는,https://retty.me/area/PRE13/ARE8/SUB802/100001184453/,050-5304-0926,이자카야 파스타 피자,"[월요일 ~ 목요일]
 17:00-24:00 L.O. 23:30
[금]
 15:00-24:00 L.O. 23:30
[태양, 토요일, 휴일]
 12:00-24:00 L.O. 23:00","새해 휴일 (확인하십시오)
*온라인 예약을 할 수 없더라도 언제든지 저희에게 연락하십시오 ^^
개장은 1 월 6 일 월요일에 시작됩니다. 매우 감사합니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Monostep II B1F, 3-12 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 7 분 거리 (520m)
Keio Inokashira Line / Shinsen 역에서 도보로 11 분 (830m)
도쿄 메트로 치 요다 라인 / 메이 지 징 투마 역에서 도보로 12 분 (930m)","없음
근처 (할인 없음) 사용 가능","26 석
(26 명 (앉을 때) 40 명 (서있을 때))",예,,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
최대 26 명까지 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠딩 식사) 10 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 35 명",https://www.diningingbar-untitled.com/,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","전산 점수 가격 : 2,000-2,999 엔, 전산 점수 가격 : 3,000-4,999 엔, 한 시간 반 동안 all-you-can-drink, 2 시간 동안 2 시간 반 동안 싱글 링크, 2 시간 반 동안 모두 3 시간 이상 링크","우리는 야채 요리, 고기 요리, 매장 내에서 준비된 것입니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 점심, 쌀, 저녁 식사, 점심 시간 음주, 생일, 솔로, 연말 파티, 고기, 와인, 연회 및 음주 파티, 작별 파티, 환영 파티, 날짜, 여자 밤, 결혼식, 후 파티, 성인 가두기, 점심 데이트
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.","불가능합니다
상점 밖에서 사용할 수 있습니다",예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001184453/archive/982720-5d0f750fc8ef6.jpeg,03-6416-3582,,,,"TV 및 모니터, 오디오 장비",,"Suica, Rakuten Edy, Quicpay, Au 지갑",,
HERO,영웅,https://retty.me/area/PRE13/ARE8/SUB802/100001256429/,050-5304-2242,스포츠 바,"[하루 종일]
 12:00-29:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"32-6 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 7 분 거리 (510m)
Keio Inokashira Line / Shinsen Station에서 도보 8 분 (590m)
도쿄 메트로 치 요다 라인 / 메이 지 징 우마 역에서 도보 15 분 (1.2km)",없음,80 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,"[공식적인]
https://hero.foodre.jp/",,,,,,사용 가능한 예약,"늦은 밤, 흡연 허용, 개인 객실, 연회 및 음주 파티, 개인 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 쿠폰 가능, 급여 판매점, 온라인 예약, 점심, 저녁 식사, 저녁 식사, 저녁 식사, 저녁 식사, 저녁 식사, 저녁 식사, 저녁 식사, 저녁 식사
다른 사용 장면을 참조하십시오",,,없음,불가능합니다,불가능합니다,불가능합니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001256429/archive/2401450-60cc868a6f0.jpg,080-4358-3281,,,,,,"Suica, Nanaco, Rakuten Edy, Quicpay",,
和牛食べ放題専門店 個室完備 焼肉サムライ 侍～SAMURAI～渋谷店,개인 실이있는 일본 쇠고기 전문점 야키니 쿠 사무라이 사무라이 ~ 사무라이 ~ 시부야 지점,https://retty.me/area/PRE13/ARE8/SUB802/100001716766/,050-5462-4162,야키니쿠 호르몬 이자카야,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"시부야 에메랄드 빌딩 4F, 12-7 우다 가와치, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (240m)","없음
근처 (할인 없음) 사용 가능","60 석
(두 사람을위한 개인 실은 이용할 수 없습니다.)",없음,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 60 명
최대 70 명을 임대 할 수 있습니다 (좌석)
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 70 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","전산 된 점점 : 2,000-2,999 엔, 2,999 엔 미만의 all-you-can-drink 코스, 3,000-3,999 엔 미만의 all-rink 코스, 4,000-4,999 엔, 5,000-wally yen 또는 all-you-can-drink courss at all-you-can-drink 코스. 2,55-you-can-drink 시간, 싱글 링크 시간 이상, 끊임없는 시간 이상, 시간이 지나면 시간이 지나면 시간 이상","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 채식 메뉴, 매우 매운 메뉴, 요리사는 해외 훈련 경험, 유명한 요리사의 요리, 주인 요리사 및 매장 내 준비에 대해 특히 알고 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"모든 고기 고기, 개인 실, 전산 된 링크, 지불금 지불 가능, 지불금 포인트, 온라인 예약 가능, 연말 파티, 새해 파티, 인기있는 레스토랑, 크리스마스 2024, 세련된, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",평상복,"예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",불가능합니다,예 (무료),예,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001716766/archive/3196743-655d7badd8248.jpg,03-6455-2390,,,,,,,,
