식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,주차,좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,QR 코드 결제,카운터 좌석,강의,당신이 마실 수있는 모든 것,IC 카드 지불,X (트위터),서비스,대기,발언,애완 동물,외국어 지원,전원 공급 장치 사용,드레스 코드,추가 장비,맥주 제작자
BAR DO-ZO,바 도조,https://retty.me/area/PRE13/ARE11/SUB1101/100001764712/,050-5462-7412,술집,"[월요일부터 금요일과 토요일]
 20:00-5:00",매주 일요일,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","2 층, Higashi Building, 3-7-3 Kanda Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (360m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (370m)","없음
근처 (할인 없음) 사용 가능",15 석,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,https://www.instagram.com/bar.do_zo,,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"늦은 밤에 문을 연, 개인 파티, 파티/음주 파티, 흡연 허용, 파티 후, 첫 번째 열차까지 문을 엽니 다",불가능합니다,예,03-3251-8531,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001764712/archive/3495208-6782019cd0b62.jpg,,예,,"모든 금액 가격 : 3,000-4,999 엔, 2 시간의 싱글 링크","Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet",,"놀라운 응답 가능
축하 가능성","개방성이 있습니다
활발한 상점",,불가능합니다,,,없음,"노래방, TV 및 모니터, 다트",
caiman table,카이만 테이블,https://retty.me/area/PRE13/ARE11/SUB1101/100001281891/,050-5303-6581,이탈리아 파스타 바,"[월요일부터 금요일까지]
점심 11:30-13:30
저녁 식사 18:00-23:00 L.O. 21:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Kadokura Building 1f, 4-5-15 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Kanda (도쿄) 역 3 분 (240m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (310m)","없음
근처 (할인 없음) 사용 가능","23 석
(카운터 좌석/17 석, 6 인 상자 좌석/1 좌석)","불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://caiman-table.foodre.jp/
https://www.caiman-table.com",,,"우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료 및 요리사가 유명한 레스토랑에서 훈련을 받았으며 매장 내에서 준비했습니다.",맥주와 와인이 있습니다,저녁 식사 시간에만 사용할 수 있습니다,"생일, 솔로 손님, 그룹 데이트, 저녁 식사, 점심 날짜, 맛있는 레스토랑 및 저렴한 레스토랑, 급여 지불 지불, 온라인 예약 가능, 연말 파티, 크리스마스 저녁 식사, 새해 파티, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",,예,03-3241-0151,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001281891/archive/940438-5ce7b97595a77.jpg,PayPay,예,"5,000 ~ 5,999 엔 코스로 제공됩니다","5,000 엔 이상을 사용할 수 있습니다",,,축하 가능성,"차분한 분위기
숨는 곳","∎ 점심 코스 만 예약 할 수 있습니다.
・ 금요일에 많은 예약이 있으므로 일찍 예약하십시오.",,,예 (무료),없음,,
ちょいす,조금,https://retty.me/area/PRE13/ARE11/SUB1101/100001050419/,050-5304-1121,이자카야 해산물과 해산물 요리 일본 음식,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30",매주 토요일마다 일요일 휴가,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔",예,"B1, 1-4 Y101 건물, Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 1 분 (72m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 1 분 거리 (79m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (420m)",,"35 석
(35 석 (카운터, 테이블, 반 개인 객실 포함)))))","예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://choice.foodre.jp/",,,,,,"저녁 식사, 연회 및 음주 파티, 술, 고기, 연말 파티, 새해 파티, 캐주얼, 세련된, 새해 파티, 신입생 파티, 성인 연말 파티, 빠른 새해 파티, 신속 새해 파티
다른 사용 장면을 참조하십시오",,,03-3256-3993,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001050419/archive/186501-58ee10dcbfeb9.jpg,,예,,,,,,,,,,,,,
そば千 東神田店,소바 센 히가시 칸다 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100000452524/,명확하지 않습니다,소바 (소바) 우동,"[월요일부터 금요일까지]
 2:00-19:00
[토양]
 3:00-13:00","매월 첫 번째 토요일 매주 일요일
첫 공휴일에 문을 닫았습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"Sankyo Building 1f, 1-17-4 Higashikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR SOBU 메인 라인 / 바쿠로 코 역에서 도보로 3 분 거리 (230m)
Jr Chuo / Sobu Line / Asakusabashi Station에서 도보로 5 분 (330m)
Toei Shinjuku Line / Bakuro Yokoyama Station에서 도보 5 분 (370m)",,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 첫 번째 기차, 저녁 식사, 쌀, 비 흡연, 세련된, 늦은 밤까지 문을 엽니 다.
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34252532.jpg,,예,,,,,,,,,,,,,
千代,치유,https://retty.me/area/PRE13/ARE11/SUB1101/100000032145/,03-3291-0990,이자카야 쌀 그릇 해산물과 해산물 세트 식사,"[월요일부터 금요일까지, 휴일 전]
점심 11:00-14:00
저녁 식사 17:00-22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"신와 건물, 1-8 칸다 니시 치코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 2 분 (140m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 2 분 거리 (140m)",,22 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 금연",,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/32743270.jpg,,"예
(4 석만.)",,,,,,,,,,,,,
名代カツ揚げ つらら,유명한 튀김 큐렛 ICilla,https://retty.me/area/PRE13/ARE11/SUB1101/100001770504/,050-5462-7952,이자카야는 식사 Tonkatsu Rice Bowl을 설정합니다,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-15:00
저녁 식사 17:00-22:00 L.O. 21:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드","Kanda Square 1f, 2-2-1 Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 3 분 거리 (240m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (240m)",없음,"48 석
(28 개의 카운터 좌석, 20 개의 테이블 좌석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://katsuage-tsurara.com/,https://www.instagram.com/katsuage_tsurara/,,,,사용 가능한 예약,"점심, 쌀, 저녁 식사, 급여 지불 지불 가능",,없음,03-6285-0800,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001770504/archive/3541415-67ca4cbddd585e.jpg,PayPay,예,,,,,,,,,,,,,
Big-Pig 神田カープ本店,Big-Pig Kanda 잉어 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100000026746/,03-3255-6262,Okonomiyaki Izakaya 현지 요리,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:15
[태양, 토요일, 휴일]
점심 13:00-16:00
저녁 식사 16:00-21:00 L.O. 20:15
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
https://bigpig-kanda.com/","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
프로 야구는 일요일과 공휴일에 문을 열 수 있으므로 확인하려면 저희에게 전화하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","후지 엘리베이터 빌딩 B1F, 3-4-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 거리 (200m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 (500m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 7 분 거리 (540m)","없음
근처 (할인 없음) 사용 가능",120 석,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,"[공식적인]
https://bigpigkandacarphonten.foodre.jp/
https://bigpig-kanda.com/",,https://www.facebook.com/bigpigkanda/,우리는 생산 영역에 대해 특히 그렇습니다. 매우 매운 메뉴가 있고 매장 내에서 준비된,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,올스 잉크 링크 식사 연말 파티 새해 파티 연회 및 음주 파티 급여 지불 지불 이용할 수있는 작별 파티를 환영 파티 개인 객실 저녁 식사,예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000026746/archive/2686295-6263cc08cac4a.jpg,PayPay,예,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔까지의 싱글 링크와 4,000 엔에서 4,999 엔까지의 코스가 포함 된 코스가 있습니다.",,,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능","개방성이 있습니다
천장이 높습니다
활발한 상점",,불가능합니다,"영어
언어 지원 메뉴가 있습니다",,,"TV 및 모니터, 오디오 장비",
天ぷら さいとう 神田本店,튀김 사이토 칸다 메인 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100001251204/,03-5207-2789,이자카야 템포라 일본 음식 세트 식사 식당 바,"[월요일부터 금요일까지]
점심 11:30-14:30
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","1 층, 타자와 칸다 빌딩, 28 Kanda Toyamacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (280m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (460m)","없음
근처 (할인 없음) 사용 가능","23 석
(15 개의 카운터 좌석/2 테이블)","예
(모든 좌석은 점심 시간에 담배를 피우지 않습니다 (11 : 00-15 : 00))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
최대 20 명까지 임대 할 수 있습니다",https://www.tenpura3110.jp/,,https://www.facebook.com/tenpura3110/,"우리는 야채 요리, 고기 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"점심으로 점심으로 마시는 연회와 음주 파티 싱글 싱글 OK 작별 파티를 환영 파티 연말 파티 새해 파티를 마시는 와인 마시는 와인을 마시는 것은 아이들과 함께 즐거운 주차장이 있습니다. 세련된 개인 저녁 식사
다른 사용 장면을 참조하십시오","예
유아, 유치원 어린이, 초등학생을 환영합니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32129530.jpg,PayPay,예,"2,999 엔 미만의 코스","999 엔 미만의 all-you-drink 가격, 2999 엔 미만의 싱크 링크, 1.5 시간 동안 모두-캔-링크, 2.5 시간 동안 모두 당신이 링크, 2.5 시간 동안 모두 당신을 다루는 링크, 3 시간 이상 싱글 링크",,,,"개방성이 있습니다
활발한 상점
차분한 분위기
골목을 향합니다",,불가능합니다,,불가능합니다,없음,,
本格タイ料理 サバイサバイ タイ屋台 神田東口店,정통 태국 음식 사바이 사바이 타이 음식 스톨 칸다 이스트 출구 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001474818/,03-3255-8814,이자카야 테이크 아웃 야키토리,"[하루 종일]
 11:30-15:00 L.O. 14:30
 17:30-23:30 L.O. 22:45",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","Hirano Building 1f, 2-8-1 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (120m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (410m)
Toei Shinjuku Line / Iwamotocho 역에서 도보 6 분 (420m)","예
근처 (할인 없음) 사용 가능","31 석
((개인 예약도 받아 들여 져","연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 31 명
최대 40 명을 임대 할 수 있습니다",,,,"우리는 야채 요리, 고기 요리, 수입 재료, 매운 메뉴 및 준비된 매장 내에서 특히 그렇습니다.","맥주, 쇼치, 칵테일",사용 가능한 예약,"점심으로 점심으로 마시는 연회와 음주 파티 싱글 싱글 OK 작별 파티를 환영 파티 연말 파티 새해 파티 와인을 마시는 주차장이 있습니다.
다른 사용 장면을 참조하십시오",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36735601.jpg,PayPay,"예
(한 사람은 환영합니다!)","2,999 엔 미만, 3,000 엔 ~ 3,999 엔","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 5,000 엔 또는 3,000 엔 -3,999 엔 -3,999 엔 all-you-can-drink 코스에는 4,000 엔 -4,999 엔, 5,000 잉크 (All-You-can-drink)를 포함하여 All-You-Can-Dink Cours를 포함합니다. 3 시간 이상 절반의 흠집",,,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성","활발한 상점
숨는 곳
골목을 향합니다",,불가능합니다,,예 (무료),없음,,
千代,치유,https://retty.me/area/PRE13/ARE11/SUB1101/100000032145/,03-3291-0990,이자카야 쌀 그릇 해산물과 해산물 세트 식사,"[월요일부터 금요일까지, 휴일 전]
점심 11:00-14:00
저녁 식사 17:00-22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"신와 건물, 1-8 칸다 니시 치코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 2 분 (140m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 2 분 거리 (140m)",,22 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 금연",,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/32743270.jpg,,"예
(4 석만.)",,,,,,,,,,,,,
ちょいす,조금,https://retty.me/area/PRE13/ARE11/SUB1101/100001050419/,050-5304-1121,이자카야 해산물과 해산물 요리 일본 음식,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30",매주 토요일마다 일요일 휴가,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔",예,"B1, 1-4 Y101 건물, Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 1 분 (72m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 1 분 거리 (79m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (420m)",,"35 석
(35 석 (카운터, 테이블, 반 개인 객실 포함)))))","예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://choice.foodre.jp/",,,,,,"저녁 식사, 연회 및 음주 파티, 술, 고기, 연말 파티, 새해 파티, 캐주얼, 세련된, 새해 파티, 신입생 파티, 성인 연말 파티, 빠른 새해 파티, 신속 새해 파티
다른 사용 장면을 참조하십시오",,,03-3256-3993,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001050419/archive/186501-58ee10dcbfeb9.jpg,,예,,,,,,,,,,,,,
名代カツ揚げ つらら,유명한 튀김 큐렛 ICilla,https://retty.me/area/PRE13/ARE11/SUB1101/100001770504/,050-5462-7952,이자카야는 식사 Tonkatsu Rice Bowl을 설정합니다,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-15:00
저녁 식사 17:00-22:00 L.O. 21:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드","Kanda Square 1f, 2-2-1 Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 3 분 거리 (240m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (240m)",없음,"48 석
(28 개의 카운터 좌석, 20 개의 테이블 좌석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://katsuage-tsurara.com/,https://www.instagram.com/katsuage_tsurara/,,,,사용 가능한 예약,"점심, 쌀, 저녁 식사, 급여 지불 지불 가능",,없음,03-6285-0800,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001770504/archive/3541415-67ca4cbddd585e.jpg,PayPay,예,,,,,,,,,,,,,
KARAKURI - Craft Beer・Sake・Natural Wine・Oden・Bottle Shop -,"카라쿠리 - 크래프트 맥주, 술, 천연 와인, 오덴, 병 상점 -",https://retty.me/area/PRE13/ARE11/SUB1101/100001436834/,03-6260-8185,이자카야 크래프트 맥주 바 와인 바,"[월요일부터 금요일까지]
 17:00-23:30 L.O. 23:00
[토양]
 15:00-23:00 L.O. 22:30
[낮]
 15:00-22:00 L.O. 21:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.","불규칙한 휴일
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","야코 빌딩 B1F, 3-7 Kanda Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (320m)","없음
근처 (할인 없음) 사용 가능",22 석,"불가능합니다
(상점 외부의 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 35 명",,https://www.instagram.com/karakuri.kanda/,https://www.facebook.com/karakuri.kanda/,"우리는 야채 요리, 수입 재료, 지역 생산 및 매장 내 준비에 대해 특히","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"혼자서 주차, 세련된, 개인, 저녁 식사, 저녁 식사, 무료 Wi-Fi, 크래프트 맥주, PayPay Payment 이용 가능
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/28147828.jpg,PayPay,예,,,"Suica, Toica, Icoca, Rakuten Edy, Quicpay, Au 지갑",,테이크 아웃 가능성,"천장이 높습니다
활발한 상점
차분한 분위기
숨는 곳",,,,,,TV 및 모니터 사용 가능,
魚匠屋 神田本店,Uoshoya Kanda 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100001630947/,03-5577-5749,이자카야,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
저녁 식사 17:00-23:00 L.O. 22:00
점심 L.O. 13:30
저녁 식사 L.O. 음식 22:00 음료 22:30",매주 일요일마다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","뉴 칸다 빌딩 B1F, 3-3 Kanda Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (98m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (380m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (380m)",없음,43 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,,https://www.facebook.com/gyoshouyakanda,"우리는 야채 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"급여 지불 지불, 싱글, 연말 파티, 새해 파티, 점심, 개인 실, 술 마시기, 와인 마시기, 어린이와 함께 즐기기, 개인 실, 쌀, 비 흡연, 개인 실, 점심, 세련된 개인 객실.
다른 사용 장면을 참조하십시오",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001630947/archive/2998906-6402feba62059.jpeg,PayPay,예,,,,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",차분한 분위기,"*매장은 금요일과 공휴일 전날에 문을 엽니 다.
임대에 대한 정보는 전화로 문의하십시오. 추정 임대료는 20 만 엔입니다.",불가능합니다,,예 (무료),없음,,
むさし乃,무사시노,https://retty.me/area/PRE13/ARE11/SUB1101/100000127250/,03-3864-8580,이자카야 일본 음식,"[월요일부터 금요일까지, 휴일]
점심 11:30-14:00
저녁 식사 17:00-23:30",매주 일요일마다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"2-6-9 Higashikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Bakurocho 역에서 도보로 5 분 (350m)
Jr Chuo / Sobu Line / Asakusabashi Station에서 도보 5 분 (370m)
Toei Shinjuku Line / Bakuro Yokoyama Station에서 도보 6 분 (480m)",,,,없음,,,,https://www.ac,,,,"점심, 솔로, 음료수, 세련된 저녁 식사, 저녁 식사, 세련된 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35647834.jpg,PayPay,없음,,,,,,,,,,,,,
