restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,pet_friendly,wifi_available,phone_number,foreign_language_support,video,twitter,remarks,power_supply_available,additional_equipment,facebook,ic_card_payment,instagram,beer_maker,온라인 예약
TOKYO豚骨BASE MADE by 一風堂 池袋,Ippudo Ikebukuro가 만든 도쿄 Tonkotsu 기지,https://retty.me/area/PRE13/ARE662/SUB66202/100000028073/,03-3983-7921,라면 Tsukemen Tonkotsu라면,"[월요일부터 금요일과 토요일]
 7:00-23:00
[일요일과 휴일]
 8:00-22:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1-28-2 Minami Ikebukuro, Toshima-Ku, Tokyo, Jr Ikebukuro Station 내부
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (94m)",,28 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"http://www.ippudo.com/index.html
https://shop.jr-cross.co.jp/eki/spot/detail?code=f15502",,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 저녁, 쌀, 맛있고, 저렴하고, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32735757.jpg,,,,,,,,,
酒・肴 おまた,알코올과 간식,https://retty.me/area/PRE13/ARE662/SUB66201/100000448044/,03-3986-7770,Izakaya 다른 Sashimi Rice Bowl Yakitori,"[월요일부터 금요일까지]
점심 11:30-13:30 L.O. 13:00
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00 L.O. 22:30","매월 매월 두 번째 수요일 매주 일요일 휴가
식사가 없으면 점심은 끝납니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"세키 빌딩 1f, 1-7-8 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (210m)",,20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.amy.hi-ho.ne.jp/omata/,,,,,,"점심, 데이트, 솔로, 크리스마스 저녁 식사, 음료수, 세련된, 저녁 식사, 쌀, 비 흡연, 점심 날짜, 세련된, 점심, 음료 Shochu, Paypay Paylains availy
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36990903.jpg,,,,,,,,,
麺や 寵児 池袋店,국수와 즐겨 찾기 Ikebukuro Branch,https://retty.me/area/PRE13/ARE662/SUB66201/100000020973/,03-5992-5504,"Tsukemen, Arisoba, Takeout, Tonkotsu Ramen, Ramen","[하루 종일]
 11:00-24:00 L.O. 23:00","하루 종일 개점
새해 연말 연시","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,PayPay,"Yajima Building New Wave 1f, 1-34-3 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (160m)",,18 석,"예
(8 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://cho-ji.jp/,,,,,,"점심, 연회 및 음주 파티, 싱글, 싱글, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 세련된, 저녁, 쌀, 금연, 세련된 점심, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17817740.jpg,,,,,,,,,
ひるだけや ミート次郎,그냥 고기 jiro,https://retty.me/area/PRE13/ARE662/SUB66201/100001446677/,03-5954-5580,파스타,"[월요일부터 금요일, 토요일, 휴일]
 11:00-14:00",매주 일요일,"점심 : ~ 2,000 엔
저녁:-","비자
마스터 카드
식당
JCB",,"Ikebukuro ys Stage Part 2, 1F, Nishi-Kikebukuro 1-38-1, Toshima-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (180m)",없음,"27 석
(테이블 좌석 : 20 석)","예
(카운터 좌석 : 7 석)","예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.ichi-ya.com/jiro.htm,,,,,,"점심, 쌀, 맛있고 저렴한 식당, 흡연 허용",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17936591.jpg,,,,,,,,,
クロス,십자가,https://retty.me/area/PRE13/ARE662/SUB66201/100000364985/,03-6914-0278,술집,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 18:00-2:00",매주 일요일,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"Umemoto Building B1F, 3-29-3 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 1 분 (18m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"저녁 식사, 흡연 허용, 늦은 밤에 문을 열고, 급여 지불 지불 허가",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/9658248.jpg,,,,,,,,,
舎鈴 池袋東口,Sharin Ikebukuro East 출구,https://retty.me/area/PRE13/ARE662/SUB66202/100001230788/,03-6914-2646,라면 수프,"[Sun, 화요일, 금요일, 토요일]
 11:00-23:00 L.O. 22:45",매주 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,PayPay,"청동기 건물 A, 1f, 1f3-3 미나미 이케부쿠로, 토시마 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 1 분 (66m)
도쿄 메트로 유라쿠코 라인 / 히가시-비스듬한 부쿠로 역에서 도보 8 분 (600m)",,"15 석
(15 개의 카운터 좌석, 10 개의 테이블 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.tsukemen-sharin.com/,,,,,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 맛있고, 싸고, 금연, 세련된, 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35856841.jpg,,,,,,,,,
PIZZA SALVATORE CUOMO 池袋西口,피자 살바토르 Cuomo Ikebukuro West 출구,https://retty.me/area/PRE13/ARE662/SUB66201/100000058788/,03-3981-9665,피자 이탈리아 파스타,"[월요일부터 금요일까지, 휴일 전]
점심 11:00-15:00
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
 11:00-23:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,,"웨스트 파크 타워 1F, 3-21-13 NISHI-KIKEBUKURO, TOSHIMA-KU, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (160m)",,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.salvatore.jp:443/404.html,,,,,,"점심, 데이트, 솔로, 크리스마스 저녁 식사, 음료 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 점심 날짜, 세련된, 점심, 빠른 연말 파티, 빠르고 상쾌한 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/5892178.jpg,,,,,,,,,
麺屋 KEMURI,Menya Kemuri,https://retty.me/area/PRE13/ARE662/SUB66201/100001305770/,명확하지 않습니다,"라면, 츠키멘, 훈제 바","[Sun, 화요일, 금요일, 토요일]
점심 11:30-15:00
[tue-thu]
저녁 식사 17:00-23:00 L.O. 22:30
[태양, 금요일, 토요일]
저녁 식사 17:00-24:00 L.O. 24:00","매월 첫 번째 화요일 매월 셋째 화요일마다 매월 다섯 번째 화요일마다 매주 월요일
봐라. 음료 21:30)","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"Horiguchi Building 1f, 5-22-2 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / 카나마 마치 역에서 도보로 4 분 거리 (280m)
Seibu Ikebukuro Line / Shiinacho 역에서 도보로 9 분 (660m)
JR Yamanote Line / Ikebukuro Station 10 분 도보 (790m)",,9 석,예,"불가능합니다
(흡연 없음 (상점 외부에 재떨이가 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 스타일리쉬, 저녁, 쌀, 맛있고, 싸고, 저렴하지 않은, 세련된, 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/10959206.jpg,https://x.com/menya_kemuri,,,,https://www.facebook.com/menya.kemuri,,,,
隠れ家個室ダイニング DOMO DOMO 池袋東口店,숨겨진 공간을위한 개인 식당 Domo Domo Ikebukuro East Exit Branch,https://retty.me/area/PRE13/ARE662/SUB66202/100001503926/,070-4449-4351,이자카야 고기 바,"[하루 종일]
 12:00-24:00 L.O. 23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드",PayPay,"1-28-4 Higashi-Kikebukuro, Toshima-Ku, 도쿄, 5 층, Kindai 건물
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / 히가시-비스듬한 부쿠로 (340m)에서 도보로 5 분
Jr Yamanote Line / Ikebukuro 역에서 도보로 6 분 (460m)
Toei Toen Arakawa Line / Toden Zoshigaya 역에서 도보로 8 분 (630m)","예
근처 (할인 없음) 사용 가능","70 석
((70 명의 소파 좌석, 4 명에서 70 명을위한 크고 작은 개인 실, ★ 소파 식당에는 큰 TV가 장착되어 있습니다)",없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
최대 70 명을 임대 할 수 있습니다 (좌석)",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","2,999 엔 미만의 싱글 링크, 3,000 ~ 3,999 엔을위한 all-can-drink, 4,000 ~ 4,999 엔을 포함한 코스, 5,000 yen 또는 2 시간 동안 모두를위한 모든 코스를 포함하는 코스를 포함하는 코스가 포함 된 코스가 포함되어 있습니다. 또는 그 이상","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간, 요리사가 해외에서 훈련했으며 요리사가 유명한 레스토랑에서 훈련했으며 요리사가 가게에서 훈련했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심으로 점심으로 먹는다 당신이 흠뻑 젖은 연회/음주 파티 개인 실
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,예,불가능합니다,예,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001503926/archive/3170824-652e486ec8dc2.jpg,,,사용 가능 (충전 가능),,,,,,
焼きとり 串焼き かめや 池袋店,구운 토리 꼬치 카메야 이케부쿠로 지점,https://retty.me/area/PRE13/ARE662/SUB66201/100000855354/,03-3982-9458,이자카야 야키토리 꼬치,"[tue-fri-sat]
 12:00-24:00 L.O. 23:20
[낮]
 12:00-22:00 L.O. 21:20",매주 월요일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,,"No.7 Mikei Building의 2F, 1-20-3 Nishiikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 1 분 (49m)",,50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심 연회 및 음주 파티 싱글 OK 작별 파티를 환영 파티 연말 파티 새해 파티 스타일리시 한 저녁 식사 주식 저녁 식사 식당과 저렴한 레스토랑은 점심을 마시는 세련된 점심을 먹지 않습니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30302739.jpg,,,,,,,,,
隠れ家個室ダイニング DOMO DOMO 池袋東口店,숨겨진 공간을위한 개인 식당 Domo Domo Ikebukuro East Exit Branch,https://retty.me/area/PRE13/ARE662/SUB66202/100001503926/,070-4449-4351,이자카야 고기 바,"[하루 종일]
 12:00-24:00 L.O. 23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드",PayPay,"1-28-4 Higashi-Kikebukuro, Toshima-Ku, 도쿄, 5 층, Kindai 건물
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / 히가시-비스듬한 부쿠로 (340m)에서 도보로 5 분
Jr Yamanote Line / Ikebukuro 역에서 도보로 6 분 (460m)
Toei Toen Arakawa Line / Toden Zoshigaya 역에서 도보로 8 분 (630m)","예
근처 (할인 없음) 사용 가능","70 석
((70 명의 소파 좌석, 4 명에서 70 명을위한 크고 작은 개인 실, ★ 소파 식당에는 큰 TV가 장착되어 있습니다)",없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
최대 70 명을 임대 할 수 있습니다 (좌석)",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","2,999 엔 미만의 싱글 링크, 3,000 ~ 3,999 엔을위한 all-can-drink, 4,000 ~ 4,999 엔을 포함한 코스, 5,000 yen 또는 2 시간 동안 모두를위한 모든 코스를 포함하는 코스를 포함하는 코스가 포함 된 코스가 포함되어 있습니다. 또는 그 이상","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간, 요리사가 해외에서 훈련했으며 요리사가 유명한 레스토랑에서 훈련했으며 요리사가 가게에서 훈련했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심으로 점심으로 먹는다 당신이 흠뻑 젖은 연회/음주 파티 개인 실
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,예,불가능합니다,예,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001503926/archive/3170824-652e486ec8dc2.jpg,,,사용 가능 (충전 가능),,,,,,
A PIZZA 池袋東通り本店,피자 이케부쿠로 Higashidori 메인 매장,https://retty.me/area/PRE13/ARE662/SUB66202/100000721942/,03-5953-2900,피자 이탈리아 음식 파스타 테이크 아웃,"[월요일, 수요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
[Sun, 월요일, 수요일, 금요일, 토요일, 휴일]
저녁 식사 17:00-20:00 L.O. 19:00
[태양, 토요일, 휴일]
점심 12:00-15:00 L.O. 14:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3-18-30 Minamiikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 6 분 (420m)
도쿄 메트로 유라쿠코 라인 / 히가시-비스듬한 부쿠로 스테이션에서 도보 6 분 (430m)
TOEI TODEN ARAKAWA LINE / TODEN ZOSHIGAYA 역에서 도보 6 분 (440m)",예,30 석,예,"불가능합니다
(흡연 없음 (입구에 흡연 공간이 있음))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 여자 파티, 모든 링크, 연회 및 음주 파티, 솔로, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 점심, 여자 파티, 세련된 점심, 무료 Wifi
다른 사용 장면을 참조하십시오",,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000721942/archive/241794-60e51163af4.jpg,,"id, paypay, dpay, line pay, au pay, merpay, alipay, wechat pay",,,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",,,
蔵元居酒屋 清龍 南池袋店,양조장 Izakaya Seiryu Minami Ikebukuro 지점,https://retty.me/area/PRE13/ARE662/SUB66202/100000121167/,03-3985-6344,이자카야 소바 (소바) 카레,"[하루 종일]
 16:00-24:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔",불가능합니다,PayPay,"2-27-18 Minamiikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 유라쿠코 라인 / 히가시-비스듬한 부쿠로 스테이션에서 도보 6 분 (440m)
Toei Toen Arakawa Line / Toden Zoshigaya 역에서 도보로 8 분 (630m)",,280 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.seiryu-syuzou.co.jp/sakagura/brand/seiryu.html,,,,,,싱글 OK-sake 음료 저녁 식사 저녁 식사 맛/저렴한 레스토랑 비 흡연 페이 페이 지불 가능,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/10383855.jpg,,,,,,,,,
カフェ・ベローチェ 南池袋二丁目店,Cafe Veloce Minamiikebukuro 2-Chome,https://retty.me/area/PRE13/ARE662/SUB66202/100000840144/,03-5960-6899,"카페, 커피 숍, 과자, 아이스크림","[월요일부터 금요일과 토요일]
 7:00-22:00
[일요일과 휴일]
 7:00-21:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",Amex,PayPay,"미나미 니폰 빌딩 1f, 2-25-6 미나미 이케부쿠로, 토시마 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (200m)
도쿄 메트로 유라 커코 라인 / 히가시 비크 부쿠로 역에서 도보로 7 분 거리 (520m)
Toei Toden Arakawa Line / Toden Zoshigaya 역에서 도보로 9 분 (670m)",,93 석,예,"연기 분리
흡연실 사용 가능
(모든 좌석은 금연 및 흡연 부스 (개인 실) 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://c-united.co.jp/store/detail/000330/,,,,,,"점심, 연회 및 음료, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 브런치, 아침 식사, 저녁 식사, 흡연 허용, 무료 와이파이, 파워 카페, 나이트 카페, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/24049252.jpg,,,예 (무료),,,,,,
バーガーキング 池袋立教通り店,버거 킹 Ikebukuro Rikkyodori 매장,https://retty.me/area/PRE13/ARE662/SUB66201/100001095419/,03-6673-8182,햄버거 체인 테이크 아웃,"[하루 종일]
 7:00-22:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,PayPay,"후쿠리 건물 1f, 3-29-9 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 1 분 (49m)",,56 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.burgerkingjapan.co.jp/,,,,,,점심 브런치 아침 식사 저녁 식사 흡연 무료 와이파이 지불 가능,,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28858297.jpg,,,,,,,,,
ブランジェ浅野屋 池袋西口店,Blange Asanoya Ikebukuro West Exit Branch,https://retty.me/area/PRE13/ARE662/SUB66201/100001294264/,050-3797-2772,베이커리 카페,"[하루 종일]
 7:00-22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,,"11-25 Ikebukuro, Toshima-Ku, 도쿄 지하, Jr Ikebukuro Station West Exit
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro Station에서 1 분 도보 (12m)",,26 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://b-asanoya.com/,,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 저녁, 쌀, 비 조화, 세련된 점심, 이브닝 카페
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/8228234.jpg,,,,,,,,,
マクドナルド 池袋東口店,맥도날드의 Ikebukuro East Exit 매장,https://retty.me/area/PRE13/ARE662/SUB66202/100000120256/,03-3988-0218,햄버거 체인 테이크 아웃,"[하루 종일]
 0:00-24:00
 5:00-10:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,PayPay,"선 팰리스 빌딩, 1-27-8 미나리 미주 부쿠로, 토시마 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (110m)
도쿄 메트로 유라 커코 라인 / 히가시-비스듬한 부쿠로 스테이션에서 도보 8 분 (590m)",,108 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심 브런치 아침 식사 이용 가능한 첫 번째 기차 저녁 식사 저녁 식사가 없어지지 않아도 금연이 늦게 열린 금액 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36500733.jpg,,,,,,,,,
クロス,십자가,https://retty.me/area/PRE13/ARE662/SUB66201/100000364985/,03-6914-0278,술집,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 18:00-2:00",매주 일요일,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"Umemoto Building B1F, 3-29-3 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 1 분 (18m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"저녁 식사, 흡연 허용, 늦은 밤에 문을 열고, 급여 지불 지불 허가",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/9658248.jpg,,,,,,,,,
