식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,사용 장면,Wi-Fi 사용,전화 번호,영상,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,대기,서비스,예약,아이들이 들어 오세요,드레스 코드,애완 동물,외국어 지원,전원 공급 장치 사용,추가 장비,IC 카드 지불,인스 타 그램,쇼핑 직무 정보,페이스 북,X (트위터),맥주 제작자
肉と日本酒 いぶり 有楽町店,고기와 사케 Iburi Yurakucho 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001528260/,03-4531-0156,Izakaya Sukiyaki Sake Bar Shabu Shabu Seafood 및 Seafood,"[월요일부터 금요일, 토요일, 휴일 전]
 16:00-23:30 L.O. 22:30
[일요일과 휴일]
 16:00-23:00 L.O. 22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
새해 휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Kokonoe Kaikan Building 5F, 2-3-6 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (15m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (18m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보 1 분 (43m)",없음,90 석,없음,"예
완전히 흡연이 허용됩니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,,,"여자 파티 전후 당신이 마시는 연회/음주 파티 솔로 작별 파티를위한 개인 실
다른 사용 장면을 참조하십시오",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001528260/archive/141168-5e2ac8b53686.jpg,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전산 점수 가격 : 2,000-2,999 엔, 4,000-4,999 엔, 5,000 엔 (5,000 엔)을위한 전 ALL-YOU-CAN DRINK, 한 시간 동안 ALL-YOU-CAN-DRINK, ALL-YOU-CAN-DRINK, ALL-YOU-CAN-DRINK. 3 시간 넘게 만약을 만듭니다","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간, 유기농 야채 및 매장 내 준비에 특히","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",사용 가능한 예약,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,불가능합니다,,,,,,,,,
タイ屋台999 日比谷店,태국 음식 스톨 999 Hibiya 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001549619/,03-6550-9390,태국 음식 카레,개막 시간 : 11:30,명확하지 않습니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",,PayPay,"Hibiya Gourmet 1-7 Uchisai-Cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 (240m)
JR Yamanote Line / Yurakucho 역에서 도보로 3 분 거리 (240m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 4 분 (270m)",,,,,,,https://www.thailand999.com/,,"혼자, 크리스마스 저녁 식사, 세련된, 슈퍼 매운, 급여 지불 지불 가능, 세련된, 캐주얼, 성인 연말 파티, 퀵 엔드 파티, 성인 새해 파티, 퀵 엔드 파티, 퀵 엔드 파티, 퀵 엔드 파티
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36027221.jpg,,,,,,,,,,,,,,,https://www.instagram.com/999thaiyathai/,,https://www.facebook.com/thaiyatai999/,https://x.com/999thaiyathai,
鮮魚と信州蕎麦 個室居酒屋 二代目八兵衛 有楽町本店,신선한 물고기와 신슈소 개인 이자카야 2 세대 야베이 유라 커코 메인 스토어,https://retty.me/area/PRE13/ARE2/SUB202/100001648052/,03-6206-1201,이자카야 소바 (Soba),,,,,PayPay,"난초 광장 건물, 1-2-11 유라 커코, Chiyoda-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (150m)
JR Yamanote Line / Yurakucho 역에서 도보로 2 분 거리 (150m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (230m)",,,,,,,,,PayPay 지불 가능,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29964064.jpg,,,,,,,,,,,,,,,,,,,
牛タン料理×本格和食 完全個室居酒屋 吉蔵 有楽町日比谷店,"쇠고기 혀 요리 x 정통 일본 요리, 완전 개인 이자카야 요시마 유르라쿠초 히비야 지점",https://retty.me/area/PRE13/ARE2/SUB202/100001652213/,080-9013-2702,이자카야 야키토리 해산물과 해산물 요리 스시 해산물 그릇 사시미,"[하루 종일]
 11:00-24:00",,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
식당
JCB",,"Yurakucho Ogawa Building, 3F, 1-2-9 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (130m)
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (130m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (200m)",예,60 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,"개인 객실, 흡연 허용, 마시는 점심, 엔터테인먼트, 개인 실, 술 마시기, 냉담한, 점심, 연말 파티, 새해 파티, 캐주얼, 성인 새해 파티, Quick-End Party, Adult Year-End Party, Quick-End Party, Farewell Party, 환영 파티
다른 사용 장면을 참조하십시오",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001652213/archive/27593-62B3C62FD2914.JPG,,,,,,,,,,,,,,,,,,,
かき小屋 新橋,오두막 신 바시를 흔들었다,https://retty.me/area/PRE13/ARE2/SUB202/100000747881/,050-3184-3545,해산물과 해산물 굴 바이자카야 바베큐,"[월요일부터 금요일까지]
저녁 식사 16:00-23:00 L.O. 22:00
[토양]
 12:00-23:00 L.O. 22:00
[일요일과 휴일]
 12:00-22:00 L.O. 21:00
영업 시간은 하루에 따라 다를 수 있습니다
영업 시간은 변경 될 수 있습니다.",하루 종일 개점,"점심 : ~ 4,000 엔
저녁 식사 : ~ 6,000 엔","비자
JCB",PayPay,"1-6-1 Uchisai-Cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (140m)
Toei Mita Line / Uchisaicho 역에서 도보로 4 분 거리 (300m)
Toei Oedo Line / Shiodome 역에서 도보로 4 분 거리 (320m)",없음,"80 석
(소파 좌석 이용 가능)",없음,"불가능합니다
(흡연은 상점 내부에서 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 가능 (좌석) : 80 명","https://r.gnavi.co.jp/g203630/
https://tabelog.com/tokyo/a1301/a130103/13149468/","*상점 전화가 현재 깨졌습니다.
문의 사항이 있으시면 본사에 문의하십시오.
본사 : 03-3413-9555 (주중 11 : 00-18 : 00)

가져올 수 있습니다
전자 돈을 사용할 수 없습니다","점심 모든 당신이 먹는 린 링크 연회 및 음주 파티를 환영 파티 연말 파티 새해 파티 술 마시기 와인을 마시는 아이들과 함께 사용 가능하게 사용할 수 있습니다.
다른 사용 장면을 참조하십시오",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000747881/archive/168529-5ec8e00498cd8.jpg,"3,000 엔에서 3,999 엔으로 제공됩니다",,우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 칵테일",숨는 곳,음료를 가져올 수 있습니다,사용 가능한 예약,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",,불가능합니다,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",,,,,,,https://x.com/kaki_shinbashi,
ロッキーカナイ 有楽町店,Rocky Kanai Yurakucho 매장,https://retty.me/area/PRE13/ARE2/SUB202/100001231294/,03-6273-4980,이자카야 호르몬 창의 요리,"[하루 종일]
저녁 식사 14:00-23:30 L.O. 22:30","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"Yurakucho Electric Building B1F, 1-7-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (58m)
JR Yamanote Line / Yurakucho Station에서 도보로 1 분 (60m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (190m)","예
근처 (할인 없음) 사용 가능",90 석,없음,"불가능합니다
(시설의 같은 층에 공유 건물을위한 흡연 드문이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 70 명
최대 90 명까지 임대 할 수 있습니다 (좌석)",https://www.spice-works.co.jp/,,"싱글 링크 연회와 음료 파티 싱글 싱글 파티 싱글 파티 환영 파티 연말 파티 연말 파티를 마시는 새해 파티를 마시는 주차를 마시는 주차 이용 가능한 주차를 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27517134.jpg,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.",,고기 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",,놀라운 응답 가능,사용 가능한 예약,"예
초등학생들은 환영합니다",없음,불가능합니다,,예 (무료),,,,,,,
釜焼鳥本舗 おやひなや 有楽町店,Kamayakitori Honpo Oyahinaya Yurakucho 지점,https://retty.me/area/PRE13/ARE2/SUB202/100000076851/,03-6268-8456,이자카야 야키토리 치킨 요리,"[하루 종일]
저녁 식사 17:00-24:00 L.O. 23:30",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"5 층, 1-2-9 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (120m)
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (130m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (200m)","없음
근처 (할인 없음) 사용 가능",38 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,,,"싱글 링크 연회/음주 파티 싱글을위한 개인 실
다른 사용 장면을 참조하십시오",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000076851/archive/1361866-5e05b400e7821.jpg,,,,,,,사용 가능한 예약,,,,,,,,,,,,
豚の中西 有楽町産直横丁,돼지 고기 Nakanishi Yurakucho Direct Yokocho,https://retty.me/area/PRE13/ARE2/SUB202/100001522241/,03-6807-3355,돼지 고기 요리,"[하루 종일]
 0:00-24:00
점심 11 : 00-15 : 00",하루 종일 개점,,,,"Yurakucho 내부 2-1-1, Chiyoda-Ku, 도쿄, Yurakucho Direct Yokocho
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Yurakucho Station에서 도보로 3 분 거리 (200m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (220m)",,,,,,,https://www.hamakura-style.com/works/yurakuchosanchokoyokocho/,,"점심 브런치 아침 식사 이용 가능한 첫 번째 기차 저녁 식사 쌀 고기가 늦은 밤에 문을 엽니 다.
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/24167516.jpg,,,,,,,,,,,,,,,,,,,
トラットリアチャオ,Trattoria chao,https://retty.me/area/PRE13/ARE2/SUB202/100001405526/,03-3506-0035,이탈리아 요리 이자카야,"[Sun, 화요일, 금요일, 토요일 및 휴일]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00
카페 시간이 없습니다",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex",,"2-1-13 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (55m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (58m)
도쿄 메트로 진 자 라인 / Ginza Station에서 도보 2 분 (110m)",없음,100 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명",,,"점심, 데이트, 여자 파티, 전산, 연회, 연회 및 음주 파티, 개인 객실, 싱글, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인을 마시고, 아이들과 함께 즐기고, 스타일리쉬, 영어를 사용하는 이용 가능
다른 사용 장면을 참조하십시오",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001405526/archive/223751-602e143b5bd25.jpg,"5,000 ~ 5,999 엔 코스로 제공됩니다","4,000 엔에서 4,999 엔까지 이용할 수 있습니다",,와인과 칵테일이 있습니다,"개방성이 있습니다
활발한 상점","놀라운 응답 가능
축하 가능성",사용 가능한 예약,예,평상복,불가능합니다,"영어
언어 지원 메뉴가 있습니다",불가능합니다,,,,,,,
シュマッツ・ビア・ホール 日比谷グルメゾン,Schmatz Beer Hall Hibiya Gourmetson,https://retty.me/area/PRE13/ARE2/SUB202/100001549580/,03-6811-1185,맥주 바 크래프트 맥주 바,"[월요일부터 금요일까지]
 17:00-23:00
[태양, 토요일, 휴일]
 11:30-23:00",・ 시설과 동일합니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",,PayPay,"1-7-18 Uchisai-Cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 4 분 거리 (250m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 4 분 (250m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 4 분 거리 (290m)",,,,,,,,,"점심, 저녁 식사, 쌀, 급여 지불 지불 가능, 캐주얼",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36217766.jpg,,,,,,,,,,,,,,,,,,,
マイアミガーデン 有楽町店,마이애미 가든 유라쿠코 매장,https://retty.me/area/PRE13/ARE2/SUB202/100000078296/,03-3215-2211,이탈리아 음식 파스타 피자,"[하루 종일]
 11:00-22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,,"도쿄 교통 홀 B1F, 2-10-1 유라 커코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (44m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (51m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보 2 분 (110m)",,70 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://miami-garden.jp/index.html,,"점심, 솔로, 저녁 식사, 금연, 캐주얼, 바삭 바삭한, 연말 파티, 바삭 바삭한 새해 파티",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25359497.jpg,,,,,,,,,,,,,,,,,,,
マイアミヴィッラ イトシアプラザ店,마이애미 빌라 itosia plaza,https://retty.me/area/PRE13/ARE2/SUB202/100000465993/,03-3211-0541,이탈리아 요리 서부 요리,"[하루 종일]
 10:00-23:00",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",Amex,,"Yurakucho Itsia Plaza Store, 2-7-1 Yurakucho, Chiyoda-Ku, 도쿄 1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 2 분 거리 (89m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (90m)
도쿄 메트로 진 자 라인 / Ginza Station에서 도보 2 분 (110m)",,60 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://miami-garden.jp/,,"점심, 연회 및 음주 파티, 싱글, 싱글, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인 음료, 브런치, 세련된, 쌀, 흡연 허용, 세련된 점심, 캐주얼, 요리, 새해 파티, 새해 파티, 새해 파티
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35325954.jpg,,,,,,,,,,,,,,,,,,,
DIYA 東京ミッドタウン日比谷店,디야 도쿄 미드 타운 히비야 매장,https://retty.me/area/PRE13/ARE2/SUB202/100001410966/,050-5462-2505,인도 요리 인도 카레 닭 요리,"[하루 종일]
 11:00-22:30 L.O. 21:30","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",예,PayPay,"도쿄 미드 타운 Hibiya, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (73m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (76m)",,60 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://diya-midtownhibiya.foodre.jp/
https://www.hibiya.tokyo-midtown.com/jp/restaurants/22000/",,"작별 파티, 여자 밤, 점심, 세련된 점심, 세련된 점심, 크리스마스 저녁 식사, 크래프트 맥주, 급여 지불 지불, 새해 파티, 점심 시간 음주, 빠르고 쉬운 연말 파티, 빠르고 쉬운 새해 파티, 캐주얼
다른 사용 장면을 참조하십시오",,03-6550-8765,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001410966/archive/2356296-609e16e862e62.jpeg,,,,,,,,,,,,,,,,,,,
京都石塀小路 豆ちゃ 有楽町,교토 Ishibei Koji Mamecha Yurakucho,https://retty.me/area/PRE13/ARE2/SUB202/100001175830/,03-6267-4775,교토 요리 일본 요리 반자이 카페,"[하루 종일]
 11:00-22:00",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,,"8F 루민 1, 2-5-1 유라쿠치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 1 분 (58m)
JR Yamanote Line / Yurakucho Station에서 도보로 2 분 거리 (100m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (110m)",예,122 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.dd-holdings.jp/shops/mamecha/yurakucho#/,,"점심, 여자 밤, 개인 실, 약혼 저녁 식사 파티, 솔로 손님, 엔터테인먼트, 크리스마스 저녁 식사, 세련된, 저녁 식사, 비 흡연, 개인 실, 점심, 여자 밤, 세련된 점심, 세련된 개인 실, 개인 실, 엔터테인먼트
다른 사용 장면을 참조하십시오",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31153390.jpg,,,,,,,,,,,,,,,,,,,
やさいの王様 日比谷シャンテ店,쉬운 Hibiya Chante 상점의 왕,https://retty.me/area/PRE13/ARE2/SUB202/100000039293/,050-5461-4357,야채 요리 창의적인 요리,"[하루 종일]
 11:00-22:00 L.O. 21:00
바이러스의 확산이 증가함에 따라 업무 시간은 3 월 22 일부터 오후 11시 ~ 10시 00 시가되며 알코올은 재개됩니다!","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔",예,PayPay,"Toho Hibiya 건물 1-2-2 Yurakucho, Chiyoda-Ku, 도쿄 (Hibiya Chante) 본관 B2F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (110m)
JR Yamanote Line / Yurakucho 역에서 도보로 6 분 (450m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 6 분 (460m)",,58 석,없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://yasai-no-ohsama.com/,,"점심, 여자 밤, 싱글 OK, 저녁 식사, 저녁 식사, 점심 날짜, 세련된 점심, 모든 흠집, 새해 파티, 환영 파티, 금연, 지불금 지불 가능, 점심 음주, 크리스마스 2024, 성인 연말 파티, 스타일리쉬
다른 사용 장면을 참조하십시오",,03-5501-9881,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000039293/archive/1891137-5f7543a687ab0.png,,,,,,,,,,,,,,,,,,,
板前バル LIVE FISH MARKET 日比谷グルメゾン店,Hibiya Gourmet Bar Live Fish Market Hibiya Gourmet 매장,https://retty.me/area/PRE13/ARE2/SUB202/100001547324/,03-6807-5780,스시 소바 (소바) 이자카야,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-23:30 L.O. 22:30
[토양]
 11:00-23:30 L.O. 22:30
[일요일과 휴일]
 11:00-23:00 L.O. 22:00
점심
(우리는 주말과 휴일에 점심 메뉴를 제공하지 않습니다. 하루 종일 저녁 식사 메뉴 만 제공됩니다.)
저녁
(주말과 휴일에는 유휴 시간이 없으므로 언제든지 먹을 수 있습니다.)","하루 종일 개점
(우리는 1/1/12에만 문을 닫습니다)","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Hibiya Gourmet, 1-7-21 Uchisai-Cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 5 분 (340m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (340m)
JR Yamanote Line / Shinbashi Station에서 도보로 5 분 거리 (340m)",없음,"56 석
(카운터의 6 석, 30 개의 테이블, 20 개의 개인 실 (개인 실에 대한 최소 보장 수수료는 점심 시간 10 만 엔, 저녁 식사 시간에는 250,000 엔입니다. 자세한 내용은 전화로 문의하십시오.)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,,,"점심 모든 당신이 점화 된 연회와 음주 파티 싱글 OK Entertainment Farewell 파티 환영 파티 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인 저녁 식사 쌀 지불금 지불 이용 가능한 세련된 성인 연말-엔드 파티
다른 사용 장면을 참조하십시오",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001547324/archive/2109724-5fbcae91af8d8.jpg,,,,,,,사용 가능한 예약,,,,,,,,https://www.instagram.com/itamaebarhibiya/,,,,
Q CAFE by Royal Garden Cafe 東京ミッドタウン日比谷,로얄 가든 카페 도쿄 미드 타운 히비야 (Midtown Hibiya)의 Q 카페,https://retty.me/area/PRE13/ARE2/SUB202/100001410925/,050-5303-0417,카페 과자 카페 햄버거,"[월요일부터 금요일까지]
 10:00-22:00
[태양, 토요일, 휴일]
 11:00-22:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6 층, 도쿄 미드 타운 Hibiya, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (72m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (75m)",예,144 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 제한된 수의 사람들 : 60 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명","[공식적인]
https://qcafebyroyalgardencafe.foodre.jp/
https://royal-gardencafe.com/",예약 : 밤에만 가능합니다,"점심, 저녁, 저녁, 점심, 어린이와 함께 즐기십시오 무료 와이파이, 개인 공간, 마시는 와인, 고기, 파워 카페, 아름다운 야간보기, 생일, 공예 맥주 마시기, 지불금 지불 가능
다른 사용 장면을 참조하십시오",예,03-6205-7206,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001410925/archive/2786963-62d8d0c034968.jpg,,"4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크를 포함하는 코스가 포함 된 코스가 있습니다.",야채 요리 전문,"맥주, 와인, 위스키, 칵테일","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
나이트 뷰를 볼 수 있습니다
상단에 있습니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성",사용 가능한 예약,예,,불가능합니다,,사용 가능 (충전 가능),,"Suica, Rakuten Edy, Quicpay, Au 지갑",,,,,
