식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,영상,인스 타 그램,외국어 지원,QR 코드 결제,발언,페이스 북,X (트위터),추가 장비,온라인 예약,맥주 제작자
SAMURAI dos Premium Steak House 八重洲鉄鋼ビル店,사무라이 도스 프리미엄 스테이크 하우스 Yaesu Steel Building Store,https://retty.me/area/PRE13/ARE15/SUB1504/100001287004/,03-6256-0805,스테이크 햄버거,자세한 내용은 공식 웹 사이트를 확인하십시오.,"하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
시설과 동일합니다","점심 : ~ 8,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"강철 건물 B1F, 1-8-2 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 2 분 (110m)
JR Yamanote Line / 도쿄 역에서 도보 2 분 (140m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 3 분 거리 (210m)",예,50 석,없음,"불가능합니다
흡연실 사용 가능
(상점 안에는 흡연실이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",불가능합니다,https://samurai-dos-yaesu.owst.jp/,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 2 시간 전후 2 시간, 2 시간 30 분 만에 다소 링크, 3 시간 이상","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 알레르기가있는 고객을 수용 할 수 있으며 어린이를위한 메뉴를 수용 할 수 있으며 매장 내에서 준비 할 수 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"결혼 기념일 연회/음주 파티 개인 방 약혼 저녁 식사 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 어린이와 함께 즐거운 와인을 마시는 세련된 유기농 요리
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001287004/archive/1555462-5e7d8b44149ff.jpg,,"영어
직원과 함께 언어 지원 메뉴가 있습니다",,,,,,,
Wattle Tokyo,와틀 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000001069/,03-5288-7828,호주 요리,"[tue-fri/전 휴일 전]
점심 11:00-15:00 L.O. 14:00
[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
저녁 식사 17:00-20:00 L.O. 19:00
[태양, 토요일, 휴일]
점심 11:00-15:30 L.O. 14:30
영업 시간은 하루에 따라 다를 수 있습니다","매주 월요일
Shinmaru 건물과 동일합니다
∎ 초등학교 시대의 고객은 주말과 휴일을 제외하고는 매장을 방문 할 수 없습니다 (※ 어린이는 평일 오후 1시 이후에 허용됩니다)","점심 : ~ 5,000 엔
저녁 식사 : ~ 10,000 엔",예,,"신 마루치 건물 건물 6f, 1-5-1 마루치치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (60m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (180m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (210m)","예
이웃 P (할인) 사용 가능",85 석,없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.marunouchi.com/tenants/4602/,"5,000 ~ 5,999 엔 코스가 있으며 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 한 시간 반 동안 온전한 링크",우리는 고기 요리에 대해 특별히 알고 있으며 재료를 생산합니다,"맥주, 와인, 위스키",,"점심, 데이트, 여자 야간 파티, 결혼 기념일, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사, 싱글, 엔터테인먼트, 엔터테인먼트, 아름다운 야간보기, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인을 마시는 와인
다른 사용 장면을 참조하십시오","천장이 높습니다
상업용 시설에 위치합니다",축하 가능성,없음,"예
초등학생들은 환영합니다",불가능합니다,불가능합니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000001069/archive/2005933-5f8e912111c41.jpg,https://www.instagram.com/wattle.tokyo/,,,,,,,,
ローストビーフ&グリル ロッシニ,로스트 비프 및 그릴 로시니,https://retty.me/area/PRE13/ARE15/SUB1504/100001461410/,050-3134-4890,프랑스 요리,"[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
점심 11:30-14:30
저녁 식사 17:30-22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","매주 수요일
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : ~ 15,000 엔
저녁 식사 : ~ 20,000 엔","비자
마스터 카드
JCB",,"1F, 3-2-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (57m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (80m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 2 분 거리 (110m)",예,56 석,없음,"불가능합니다
흡연실 사용 가능
(건물에 흡연 부스가 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,,,,,,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 저녁 식사, 쌀, 비 조화, 개인 객실, 세련된 점심, 세련된 개인 실, 개인 실, 무료 Wi-Fi, 급여 지불 지불, 럭셔리 크리스마스, 크리스마스 2024
다른 사용 장면을 참조하십시오",,복장 규정 포함,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36314134.jpg,,,PayPay,"・ 이사시 그릴 레스토랑으로 개조했습니다

[전화 리셉션 시간] 10 : 00-20 : 00
[드레스 코드] 스마트 캐주얼",,,,,
est,est,https://retty.me/area/PRE13/ARE15/SUB1504/100001579594/,03-6810-0655,프랑스 요리,"[Sun, 화요일, 금요일, 토요일]
점심 12:00-15:30 L.O. 13:30
저녁 식사 18:00-22:00 L.O. 20:00
점심 12:00-15:00 코스 LO 13:30
저녁 18:00-22:00 코스 LO20 : 00",매주 월요일,"점심 : ~ 20,000 엔
저녁 식사 : ~ 60,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Four Seasons Hotel Toyo Otemachi 39F, 1-2-1 Otemachi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (41m)
도쿄 메트로 토 자이 라인 / 테이크 바시 스테이션에서 도보로 5 분 (340m)","예
특별 P 사용 가능",72 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,https://www.est-tokyo.com/,,,"우리는 야채 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.",와인이 있습니다,사용 가능한 예약,"점심, 개인 객실, 소녀의 밤, 저녁 식사, 생일, 엔터테인먼트, 싱글 OK, 마시는 와인, 세련된, 고급스러운 크리스마스, 크리스마스 2024, 성인의 연말 파티, 성인 새해 파티, 아름다운 나이트 뷰 레스토랑
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
호텔에 있습니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다
복장 규정 포함
테이크 아웃 가능성",평상복,불가능합니다,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001579594/archive/3511902-67a09444f2978.jpg,https://www.instagram.com/esttokyo/,,,"출구 C4 및 C5의 지하 통로를 통해 Otemachi 역에 직접 연결
(Marunouchi Line, Tozai Line, Chiyoda Line, Hanzomon Line, Toei Subway Mita Line)

● 복장 규정
스마트 캐주얼 마모를 권장합니다.
*우리는 티셔츠, 반바지, 탱크 탑, 샌들 등과 같은 가벼운 옷을 허용하지 않습니다. 미리 이해해 주셔서 감사합니다.
● 아이들과 함께
모든 시간 동안 12 세 이상의 고객에게 개방되어 있습니다.",https://www.facebook.com/fourseasonshoteltokyootemachi/,,,,
すき焼き十二天 丸の内ブリックスクエア,Sukiyaki 12 Ten Marunouchi Bricks Square,https://retty.me/area/PRE13/ARE15/SUB1504/100001535158/,03-6259-1595,"수키 야키, 쇠고기 요리, 야키니 쿠, 샤무 사부","[하루 종일]
 11:00-15:00 L.O. 14:00
 17:00-23:00 L.O. 22:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 10,000 엔",,,"브릭 스퀘어 3F, 2-6-1 마루치치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (42m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (180m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 거리 (210m)",,,,,,,https://www.innocent-carvery.jp/sukiyaki-jyuniten/,,,,,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁, 세련된 저녁, 저녁, 쌀, 고기, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33136846.jpg,,,,,https://www.facebook.com/s.jyuniten/,,,,
今よし鮨,저는 요시사시입니다,https://retty.me/area/PRE13/ARE15/SUB1504/100000047825/,03-3231-6007,초밥 쌀 그릇,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11 : 30-14 : 00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 21:30","일요일마다 불규칙한 휴일, 공휴일","점심 : ~ 5,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Sankei Building B2, 1-7-2 Otemachi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (6m)
JR Yamanote Line / 도쿄 역에서 도보로 5 분 (380m)",,30 석,예,"연기 분리
(ted 흡연은 개인 실에서만 허용됩니다. 수동 흡연 조치에 관한 법 (Advanced Health Promotion Act)은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,https://imayoshi.jp/,,,우리는 생선 요리에 대해 특히 그렇습니다,"맥주, 사케, 쇼치",사용 가능한 예약,"점심 모든 당신이 흠뻑 젖은 연회/음주 파티 개인 방 약혼 저녁 식사 싱글 게스트 엔터테인먼트 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 음료 음료 와인 어린이와 함께 즐기십시오.
다른 사용 장면을 참조하십시오",,,없음,예,불가능합니다,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000047825/cover/1193-54197b4e1be0c.jpg,,,PayPay,,,,,,
アルカナ東京,아르카나 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000797272/,03-6833-4139,프랑스 스테이크,"[하루 종일]
점심 11:00-15:30 L.O. 14:00
저녁 식사 17 : 30-22 : 00 L.O. 20:00",불규칙한 휴일,"점심 : ~ 5,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",Suica,"6f, 2-7-2 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (68m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (310m)","예
이웃 P (할인) 사용 가능",152 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 1 명
임대 가능 (좌석) : 80 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 120 명","https://arcana.co.jp/
http://arcana.co.jp/tokyo/other/reservation.html","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전산 점수 가격 : 3,000-4,999 엔, 모든 링크 코스에는 5,000 엔 이상, 2 시간 동안 2 시간 동안 2 시간 동안, 2 시간 동안, 2 시간 동안, 3 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안 모두-싱글 링크를 포함합니다. 3 시간 반 동안 만약을 모두 마시십시오","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 알레르기, 채식 메뉴, 어린이 메뉴, 요리사가 해외에서 훈련을 받고, 요리사가 유명한 식당에서 훈련 경험을 가지고 있으며, 식당에서 훈련 경험이 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 데이트, 여자 파티, 모든 링크, 결혼 기념일, 연회 및 음주 파티, 개인 객실, 약혼 저녁, 싱글, 엔터테인먼트, 엔터테인먼트, 아름다운 야간 전망, 작별 파티, 크리스마스 저녁, 새해 파티, 새해 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
테라스가 있습니다
정원이 있습니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
휴대품 룸이 있습니다
소믈리에가 있습니다",없음,"예
아이들은 환영합니다, 유치원 어린이는 환영 받고, 초등학생을 환영하고, 이유식을 가져오고, 어린이 메뉴를 이용할 수 있고, 알레르기 음식을 수용 할 수 있습니다",불가능합니다,예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000797272/archive/94193-583eda276d209.jpg,,"영어 프랑스어
직원과 함께 언어 지원 메뉴가 있습니다",,,https://www.facebook.com/arcanatokyokarato,https://x.com/arcana_tokyo,"프로젝터, TV 및 모니터, 오디오 장비, 휴대품 회의실",,
レストラン ロゼット (Restaurant Rosette)レストラン ロゼット　センチュリーコート丸の内,레스토랑 로제트 레스토랑 Rosette Court Court Marunouchi,https://retty.me/area/PRE13/ARE15/SUB1504/100000019357/,03-3213-1711,프랑스 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-14:30 L.O. 14:00
저녁 식사 18 : 00-21 : 30 L.O. 21:00",매주 토요일마다 일요일 휴가,"점심 : ~ 6,000 엔
저녁 식사 : ~ 15,000 엔",예,,"Meiji Seimeikan Century Court Marunouchi B1F, 2-1-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 1 분 (50m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (80m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (80m)",,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 결혼 기념일, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 세련된, 저녁, 쌀, 비 흡연, 개인 객실 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000019357/archive/1832628-5f509587d374.jpg,,,,,,,,,
ブラッスリー・ポール・ボキューズ 大丸東京,Brasserie Paul Bocus Daimaru 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000745950/,03-5218-2211,프랑스 요리 서부 요리 스테이크,"[하루 종일]
 11:00-23:00 L.O. 22:00","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔",,,"다이 마루 도쿄 스토어 12f, 1-9-1 마루치, 키 요다 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (50m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 4 분 거리 (270m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 5 분 거리 (370m)",,,,,,,https://www.hiramatsurestaurant.jp/paulbocuse-daimarutokyo/,,,,,,"점심, 데이트, 여자 야간 파티, 결혼 기념일, 싱글 OK, 아름다운 야간보기 레스토랑, 와인, 세련된 저녁 식사, 쌀, 고기, 생일, 점심 데이트, 여자 야간 파티, 세련된 점심을 즐기십시오.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31641799.jpg,,,,,,,,,
うなぎ 成田新川 東京駅グランルーフ店,장어 나리타 신카와 도쿄 역 그랜드 루프 스토어,https://retty.me/area/PRE13/ARE15/SUB1504/100001579981/,03-5962-9722,뱀장어,"[태양, 월요일부터 금요일, 토요일]
 11:00-22:00 L.O. 21:00",하루 종일 개점,"점심 : ~ 6,000 엔
저녁 식사 : ~ 6,000 엔",,,"그랜드 루프 B1F, 1-9-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (23m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (380m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 6 분 거리 (430m)",,,,,,,,,,,,,"점심, 솔로 엔터테인먼트, 크리스마스 저녁 식사, 저녁 식사, 저녁, 쌀, 세련된, 메리 쿠리, 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27045227.jpg,,,,,,,,,
SÉZANNE,세잔,https://retty.me/area/PRE13/ARE15/SUB1504/100001585623/,03-522-5810,프랑스 요리,"[Sun, 수요일, 금요일, 토요일 및 휴일]
점심 12:00-13:30
저녁 18 : 00-20 : 00
점심 : 12 : 00-14 : 00 LO13 : 45
저녁 식사 : 18 : 00-22 : 30 LO21 : 00",매주 화요일 매주 월요일,"점심 : ~ 15,000 엔
저녁 식사 : ~ 60,000 엔",,,"태평양 세기 장소, 1-11-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (61m)
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome Station에서 도보 5 분 (330m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (340m)",,42 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.sezanne.tokyo/,,,,,사용 가능한 예약,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 개인 실, 럭셔리 크리스마스를 즐기십시오.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34517459.jpg,,,,서비스 요금 15%,,,,,
すし青柳,스시 아오야 지,https://retty.me/area/PRE13/ARE15/SUB1504/100000839529/,03-6269-9428,초밥 일본 요리,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:30-22:00 L.O. 21:30",매주 일요일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 20,000 엔",예,,"도쿄 역 호텔 2F, 1-9-1 마루치치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (77m)
도쿄 메트로 마루치 노선 / 오타 마시 (도쿄) 역에서 도보로 4 분 거리 (250m)",,28 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 실, 약혼 저녁 식사, 싱글 게스트, 엔터테인먼트, 크리스마스 저녁 식사, 세련된, 저녁 식사, 쌀, 비 흡연, 개인 점심, 세련된, 개인 실, 개인 실,
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30529531.jpg,,,,,,,,,
真夜中の太陽,자정 태양,https://retty.me/area/PRE13/ARE15/SUB1504/100001483246/,03-6206-3255,스페인 바이자 카야 스페인어 바,"[하루 종일]
 11:30-21:00 L.O. 20:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"3-7-6 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (63m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 거리 (170m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보로 3 분 거리 (180m)",없음,24 석,예,"예
완전히 흡연이 허용됩니다
(흡연은 모든 좌석에서 허용됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,,,,,,사용 가능한 예약,"점심, 데이트, 소녀의 밤, 연회 및 음주 파티, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 저녁 식사, 흡연 허용, 점심 소녀 밤
다른 사용 장면을 참조하십시오",,,,,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001483246/archive/132906-5dea3d957eaa.jpg,,,PayPay,,,,,,
エノテカノーリオ,enotecanorio,https://retty.me/area/PRE13/ARE15/SUB1504/100000729429/,03-6269-9582,이탈리아 와인 바 파스타 카페,"[하루 종일]
 11:30-15:00
[월요일부터 금요일과 토요일]
 17:30-22:30
[일요일과 휴일]
 17:00-21:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔",예,,"도쿄 역 호텔 B1F, 1-9-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (54m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 5 분 거리 (380m)",,35 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://vinvino-to.jp/norio/,,,,,,"점심, 데이트, 연회 및 음주 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 저녁 식사, 쌀, 비영리, 점심 날짜, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29666210.jpg,,,,,,,,,
THE UPPER,상단,https://retty.me/area/PRE13/ARE15/SUB1504/100001560831/,050-5462-8058,프랑스 요리,"[월요일부터 금요일까지]
점심 11:00-15:30 L.O. 14:00
저녁 식사 17 : 30-23 : 00 L.O. 22:00
[토양]
 11:00-23:00 L.O. 22:00
[일요일과 휴일]
 11:00-22:00 L.O. 21:00","불규칙한 휴일
시설과 동일합니다","점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Marunouchi Terrace, 1-3 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (49m)
JR Yamanote Line / 도쿄 역에서 도보 3 분 (210m)",예,"170 석
(10 층, 74 석 + 9 층, 56 석 + 테라스에 40 석))",,"불가능합니다
(흡연실은 현장에서 이용 가능합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://the-upper.jp/,,,,,,"점심으로 점심, 저녁 식사, 점심, 여자 야간, 솔로 손님, 엔터테인먼트, 체리 꽃보기, 체리 꽃보기가있는 레스토랑, 크리스마스 저녁 식사, 와인, 세련된 점심 데이트, 여자 밤.
다른 사용 장면을 참조하십시오",,,,,,,예,03-5962-9909,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001560831/archive/359649-67dfb15bf33b7.jpg,https://www.instagram.com/theuppertokyo/,,,,,,,온라인 예약,
