식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,인스 타 그램,페이스 북,X (트위터),IC 카드 지불,발언,서비스,드레스 코드,애완 동물,전원 공급 장치 사용,추가 장비,외국어 지원
立呑み晩杯屋 田町店,서서 저녁 식사 아침 식사 타마치 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100001533913/,명확하지 않습니다,이자카야,"[월요일부터 금요일까지]
 15:00-23:30
[태양, 토요일, 휴일]
 13:00-22:00",하루 종일 개점,,,,"5-26-4 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (140m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (280m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (660m)",,,,,,,,,,,,,"점심, 저녁 식사, 캐주얼, 요리, 요리, 요리, 새해 파티",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35336740.jpg,,,,,,,,,,,
ONIQUE TOKYO,오니 니크 도쿄,https://retty.me/area/PRE13/ARE16/SUB1302/100001436249/,03-6271-9655,야키니쿠,"[하루 종일]
점심 11:30-14:30
저녁 식사 17:30-22:30
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다

폐쇄 : 불규칙한 휴일","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
상점이 웹에 가득 찬 경우에도 직접 문의하십시오.
우리는 정보를 제공 할 수 있습니다.

정오 11 시부 터 전화로 예약 할 수 있습니다.","점심 : ~ 6,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Katsubunkan Kyodo Building 8f, 5-31-24 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita 라인 출구 A3, 왼쪽에 1 분 거리 (150m)
Toei Asakusa Line의 Mita 역의 왼쪽에서 도보 1 분 (150m)
Jr Yamanote 라인 타마 치 역 미타 구치 (West Exit)
땅으로 내려 가지 않고 보행자 다리를 똑바로 내려 가서 계단을 내려 가서 좌회전 한 다음 3 분 동안 걸어갑니다.

■ 버스 정류장에서 접근
Toei Bus Anti-90 Mitazo 4 분 도보 (260m)
Toei Bus Ta87 Keio University 6 분 도보 (430m)
도쿄 버스/도쿄 트랜스 히가시 98 Keio University Mae 6 분 (430m)","없음
근처 (할인 없음) 사용 가능","30 석
(8 석, 8 석, 4 개의 테이블, 4 개의 테이블, 4 개의 테이블, 최대 12 명, 객실 1 개, 개인 실, 최대 8 명, 개인 객실, 개인 실, 최대 8 명, 개인 실, 4 ~ 8 명을 수용 할 수 있습니다. 개인 실을 사용하는 경우 음식과 음료 수수료에 대한 최소 수수료와 10% 개인 실용 수수료가 포함됩니다. 저녁 10% 저녁 식사, 음식 및 음료 수수료 : 55,000 엔 (세금 포함) ~ + 개인 실 사용 요금 : 10%)","예
(최대 8 명이 4 그룹으로 휴식을 취할 수 있습니다)",,"예
7 명 이상",예,https://onique-tokyo.com,"4,000 엔에서 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스, 8,000 엔 이상이 있습니다.",,우리는 고기 요리에 대해 특별히 알고 있으며 재료를 생산합니다,"맥주, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"아름다운 나이트 뷰 레스토랑 생일 점심 저녁 식사 날짜 결혼식 기념일 그룹 데이트 저녁 식사 개인 객실 엔터테인먼트 비 흡연 음료 점심 개인 객실 엔터테인먼트 마시는 와인 급여 지불 지불 이용 가능 PayPay Points 온라인 예약 가능
다른 사용 장면을 참조하십시오","보기가 좋습니다
개방성이 있습니다
차분한 분위기
숨는 곳","불가능합니다
알레르기 음식을 사용할 수 있습니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001436249/archive/3091238-649c319B075B7.JPG,,,,,"개인 실을 사용하는 경우 10% 개인 실 사용 수수료를 청구합니다. 개인 실은 최대 4-8 명을 수용 할 수 있습니다. 3 명 이하로 사용하면 다음과 같은 최소 요금이 청구됩니다.
[점심] ¥ 25,000 (세금 포함) + 10% 개인 실 사용 요금
[저녁] ¥ 55,000 (세금 포함) + 10% 개인 실 사용 요금

예약 상태에 따라 아동이 가게에 들어가기를 거부 할 수 있습니다. 자세한 내용은 전화로 문의하십시오. 온라인 예약은 어린이와의 예약에 대해서는 허용되지 않습니다. *우리는 어린이를위한 의자가 없습니다.","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",없음,불가능합니다,예 (무료),,
OSTERIA RADICI,Osteria radici,https://retty.me/area/PRE13/ARE16/SUB1302/100001324087/,050-5304-4401,이탈리아 요리 스테이크 파스타 테스파 냐키,"[월요일부터 금요일까지]
저녁 식사 18 : 00-24 : 00 L.O. 23:00
[토요일/휴일]
저녁 식사 17 : 30-23 : 00 L.O. 22:00
영업 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 FB를 확인하십시오.","매주 일요일
가게가 닫히면 상점에 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Wako Mita Mansion 101, 4-9-9 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보 5 분 (360m)
Toei Mita Line / Shibakoen Station 7 분 도보 (520m)
JR Yamanote Line / Tamachi (도쿄) 역 8 분 도보 (610m)","없음
근처 (할인 없음) 사용 가능","18 석
(8 개의 카운터 좌석, 10 개의 테이블 좌석)","예
(부엌의 파노라마 전망을 가진 높은 카운터 좌석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://osteriaradici.foodre.jp/
https://osteria-radici.com/","5,000 ~ 5,999 엔 코스, 7,000 ~ 7,999 엔 코스로 제공됩니다.",,"우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 요리사가 해외에서 훈련했으며 요리사가 유명한 식당에서 훈련했으며 요리사가 가게에서 훈련했습니다.","맥주, 와인, 위스키",사용 가능한 예약,"저녁 식사, 저녁, 저녁 식사, 데이트, 엔터테인먼트, 고기, 생일, 연회 및 음주 파티, 어린이, 작별 파티, 비영리, 파티, 환영 파티, 급여 지불 포인트, 온라인 예약, 연말 파티
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
골목을 향합니다",예,없음,03-6809-4025,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001324087/archive/444961-5b10e8b03390d.jpg,,https://www.facebook.com/osteriaradici2016/,,,Daiichi Keihin 지역을 따라 위치하고 있습니다.,"축하 가능성
소믈리에가 있습니다",평상복,불가능합니다,,,"영어 이탈리아어
직원과 함께 언어 지원 메뉴가 있습니다"
焼鳥 嘉とう,야키토리 카토,https://retty.me/area/PRE13/ARE16/SUB1302/100001270415/,03-6722-0977,"야키토리, 닭 요리, 와인 바, 일본 요리","[Tue-Fri, Sat, Holidays, 축하 전]
저녁 식사 18:00-22:00 L.O. 21:00
팔리 자마자 끝납니다
자세한 내용은 공식 FB를 확인하십시오.","매주 일요일마다
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2 층, Mita Toyota Building, 3-3-2, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 4 분 거리 (300m)
JR Yamanote Line / Tamachi (도쿄) 스테이션 6 분 (460m)
Toei Oedo Line / Akabanebashi Station 11 분 도보 (840m)",없음,15 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"4,000 엔에서 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스, 8,000 엔 이상이 있습니다.",,"우리는 야채 요리, 고기 요리, 수입 재료 및 현지에서 생산 된 재료에 대해 특히 그렇습니다. 요리사는 유명한 레스토랑, 주인 요리사 및 매장 내 준비에서 훈련을 받았습니다.","맥주, 사케, 쇼치, 와인",사용 가능한 예약,"날짜, 약혼식 저녁 식사, 솔로 손님, 엔터테인먼트, 크리스마스 저녁 식사, 음료, 와인, 세련된, 저녁 식사, 쌀, 흡연, 세련된 데이트, 성인 연말 파티, 성인 새해 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
조용한 가게
차분한 분위기",불가능합니다,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001270415/archive/163818-5e9a5db2192dd.jpeg,https://www.instagram.com/yakitorikato,https://www.facebook.com/yakitorikato/,,,,음료를 가져올 수 있습니다,,불가능합니다,불가능합니다,,
銀座 みやちく 竹芝店,Ginza Miyachiku Takeshiba 매장,https://retty.me/area/PRE13/ARE16/SUB1302/100001554619/,050-5304-1241,테파 냐키,"[하루 종일]
 11:00-20:00",,"점심 : ~ 5,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-10-30 Kaigan, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Yurikamome / Takeshiba 역에서 도보 4 분 (310m)
JR Yamanote Line / Hamamatsucho Station 7 분 도보 (510m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 7 분 거리 (530m)","예
이웃 P (할인) 사용 가능","57 석
(4 개의 개인 실)",예,,예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠딩 식사) 10 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.",,"우리는 야채 요리, 고기 요리, 생선 요리, 알레르기가있는 고객을 수용 할 수 있고, 요리사는 해외에서 훈련을 받고, 요리사는 유명한 식당에서 훈련 경험을 가지고 있으며 요리사는 식당에서 훈련 경험을 가지고 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"날짜, 세련된, 기념일, 성인 은신처, 저녁 식사, 점심, 연말 파티, 새해 파티, 점심 시간 음주, 성인 새해 파티, 크리스마스 2024, 성인 연말 파티, 고급스러운 크리스마스, 개인 실
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
나이트 뷰를 볼 수 있습니다
나는 바다를 볼 수있다
테라스가 있습니다
정원이 있습니다
호텔에 있습니다
상업용 시설에 위치합니다","예
허용, 미취학 아동이 허용, 초등학교 어린이 허용, 기저귀 사용 가능, 이유식을 가져올 수 있으며 알레르기 음식을 수용 할 수 있습니다.",예,03-6402-4129,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001554619/archive/2168406-5fe45d324856a.jpeg,,,,"Suica, Quicpay",,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",평상복,불가능합니다,예 (무료),,"영어
직원과 함께 언어 지원 메뉴가 있습니다"
焼肉にくがとう33895 田町・三田店,Yakiniku Nikugato 33895 Tamachi/Mita 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100001405392/,03-6435-2983,야키니쿠 쇠고기 요리,"[Sun, 화요일, 금요일, 토요일 및 휴일]
 16:30-20:00 L.O. 19:00",매주 월요일,"점심:-
저녁 식사 : ~ 6,000 엔",Amex,PayPay,"Kazor Mita 1f, 5-12-7 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 4 분 거리 (270m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (400m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (570m)",,"46 석
(VIP 카드 소지자 만 개인 실을 예약 할 수 있습니다.)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,http://www.nikugatou.com/,,,,,,"전산 된 링크 연회/음주 파티 개인 실
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001405392/archive/215045-5fd6eb9e5aff9.png,,,,,,,,,,,
ばさら,바사라,https://retty.me/area/PRE13/ARE16/SUB1302/100000004595/,03-5444-6700,"Sukiyaki, 일본 요리, Kaiseki 요리, Shabu-Shabu, Hotpot","[월요일부터 금요일과 토요일]
점심 11 : 30-15 : 00 L.O. 14:00
[월요일부터 금요일까지]
저녁 식사 17 : 30-23 : 00 L.O. 21:30
[토요일/휴일]
저녁 식사 17:30-22:30 L.O. 21:00
[낮]
저녁 식사 17:30-22:00 L.O. 21:00","불규칙한 휴일
새해 공휴일 동안의 업무 시간에 관한

이 매장은 2016 년 12 월 30 일부터 2017 년 1 월 5 일까지 문을 닫습니다.

우리는 2017 년 1 월 6 일 오전 11시 30 분에 문을 열 것입니다.
유지 보수 등으로 인해 영업 시간이 변경 될 수 있습니다.","점심 : ~ 3,000 엔
저녁 식사 : ~ 15,000 엔","Amex
JCB",,"1st Bardement Floor, KDX Mita Building, 3-43-16 Shiba, Minato-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보 6 분 (450m)
Toei Oedo Line / Akabanebashi Station 6 분 도보 (460m)
Toei Mita Line / Shibakoen Station 7 분 도보 (510m)",없음,"58 석
(개인 실을 사용하는 경우 별도의 객실 요금이 청구됩니다. ■ 반-프라이버시 룸 : 객실당 3.000 엔 ■ 완전히 개인 실 : 5.000 엔 점심, 8.000 엔 저녁 식사)",없음,"불가능합니다
(완전히 금연 (흡연 구역 이용 가능))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",https://mita-basara.com/,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.",,,"술, 쇼카, 와인, 칵테일",사용 가능한 예약,"점심, 데이트, 결혼 기념일, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 체리 꽃보기, 체리 꽃의 전망, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 술을 마실 수 있습니다.
다른 사용 장면을 참조하십시오",숨는 곳,"예
초등학생들은 환영합니다",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000004595/archive/123580-5884955ca068f.png,,,https://x.com/mitabasara,,"개인 실을 사용하는 경우 별도의 객실 요금이 청구됩니다.

■ 반 개인 객실 : 객실당 3.000 엔

■ 완전히 개인 실 : 점심 5.000
저녁 식사 ¥ 8.000",음료를 가져올 수 있습니다,,,,,
日本酒バル ゆすら堂,Sake Bar Yusurado,https://retty.me/area/PRE13/ARE16/SUB1302/100001528060/,03-6435-4753,일본 술 바 해산물과 해산물 일본 요리 카포/작은 레스토랑,"[월요일부터 금요일, 토요일, 휴일]
저녁 식사 17:00-22:00 L.O. 21:00
・ 요리 : L.O. 22:00 (식사를하고 싶은 레스토랑에 마지막으로 입장하는 것은 21:45입니다)
*식품 인벤토리 및 기타 문제에 따라 마감 시간 (최종 입장 시간)이 일찍있을 수 있습니다.","일요일마다 불규칙한 휴일
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.
일요일에 문을 닫았습니다. 한 달에 하루, 월요일과 토요일은 불규칙적으로 폐쇄됩니다. Instagram과 Facebook에서 발표되었습니다. 새해, Golden Week 및 Obon Holidays의 Instagram 및 Facebook을 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3-7-15-8f Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (280m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보 6 분 (410m)
Yurikamome / Shibaura Pier Station에서 도보로 12 분 (950m)","없음
근처 (할인 없음) 사용 가능","26 석
(6 명, 전적으로 개인 실 1 개, 2 ~ 3 명, 반 개인 객실 2 개, 4 명을위한 2 개의 테이블, 카운터에서 6 석)","예
(카운터에서 6 석)","불가능합니다
(모든 좌석은 금연이며 흡연 구역은 발코니에서 이용할 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명",불가능합니다,https://yusuradou.com/,,,,"맥주, 사케, 쇼치, 와인",사용 가능한 예약,"연회 및 음주 파티 개인 객실 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인 주차장 이용 가능한 세련된 저녁 식사
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",불가능합니다,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001528060/archive/2079378-5facbe763d6b6.jpg,https://www.instagram.com/yusuradou/,https://www.facebook.com/yusuradou,,,"*개인 실 사용 수수료로서, 우리는 [2 명] 및 [완전히 개인 실]에 대한 예약에 대해 10%를 청구합니다.
*우리는 480 엔을 좌석 수수료와 물 수수료 (요금 수수료)로 청구합니다.
*우리는 초등학생의 어린이들에게 알려주지 않을 것입니다.",,,불가능합니다,,,
喜代寿司,키요 초밥,https://retty.me/area/PRE13/ARE16/SUB1302/100000525495/,03-3455-8707,초밥 해산물 그릇,"[월요일부터 금요일과 토요일]
 11:30-14:00
 17:30-23:00",매주 일요일과 공휴일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 15,000 엔",예,,"3-41-8 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 5 분 거리 (330m)
Toei Mita Line / Shibakoen Station에서 도보 5 분 (400m)
JR Yamanote Line / Tamachi (도쿄) 역 7 분 (510m)",,25 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 실, 저녁 식사, 저녁 식사, 비 흡연, 개인 실, 점심, 세련된, 성인 연말 파티, 성인 새해 파티",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14012272.jpg,,,,,,,,,,,
酒ありき肴与一,"Yoichi, 간식",https://retty.me/area/PRE13/ARE16/SUB1302/100000827087/,03-3451-5000,Kaiseki 요리 일본 요리 Sashimi Kappo/한국 레스토랑 Tempura Soba (Soba),"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 17:00-24:00 L.O. 23:30
예약은 전날 만 예약 할 수 있으며 하루에 최대 두 그룹을 만들 수 있습니다.
우리는 계속해서 테이크 아웃 음식을 제공하고 있습니다. (식사는 음식의 구매 및 준비로 인한 것이므로 전날까지 예약이 이루어집니다.)
우리는 또한 감염 통제 조치에 대해 더 조심할 것입니다. 협력 해 주셔서 감사합니다.
{정상 시간}
■ 달",매주 일요일,"점심 : ~ 8,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Mizen Building B1, 5-29-2 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (150m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (310m)
Toei Mita Line / Shibakoen Station에서 도보로 11 분 (810m)","없음
근처 (할인 없음) 사용 가능","29 석
(소파 좌석 이용 가능)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","3,000 엔에서 3,999 엔, 4,000 엔에서 4,999 엔, 3 시간 이상 싱글 링크를 포함하는 코스가 있습니다.","우리는 야채 요리, 생선 요리 및 채식 메뉴에 대해 특별합니다.","맥주, 사케, 쇼치",사용 가능한 예약,"연회 및 음주 파티 개인 방 약혼 저녁 파티 싱글 OK Entertainment Farewell 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시려면 어린이 개인 저녁 식사
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",예,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000827087/archive/1869219-5f6a599fba6a6.jpeg,,https://www.facebook.com/yoichi1221,,,,"놀라운 응답 가능
축하 가능성",평상복,,예 (무료),,
焼鳥とワイン ソバヤノニカイ,야키토리와 와인 소바야 노니 니카이,https://retty.me/area/PRE13/ARE16/SUB1302/100001524151/,03-6271-9628,야키토리,"[월요일부터 금요일과 토요일]
저녁 식사 18 : 00-24 : 00 L.O. 23:00
자세한 내용은 공식 웹 사이트를 확인하십시오.
토요일에 불규칙한 휴일","매주 일요일과 공휴일
자세한 내용은 공식 웹 사이트를 확인하십시오.
토요일에 불규칙한 휴일","점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F, Shinozaki Building, 5-26-10 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역 (98m)에서 도보 2 분
JR Yamanote Line / Tamachi (도쿄) 역 3 분 (210m)
Toei Mita Line / Shibakoen Station에서 도보로 8 분 (610m)",예,"8 석
(2 카운터 x 3 좌석, 4 개의 테이블 x 1 좌석)","예
(이용 가능한 커플 좌석, L 자형 코너 좌석 이용 가능)","연기 분리
흡연실 사용 가능
(상점 밖에서 이용 가능한 흡연 공간)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"연회 및 음주 파티 참여 저녁 식사 파티 싱글 OK Entertainment Farewell Party 파티 크리스마스 저녁 식사 연말 파티 새해 파티 세련된 저녁 식사 흡연 허용 무료 Wi-Fi 크래프트 맥주 이용 가능
다른 사용 장면을 참조하십시오",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001524151/archive/2572167-61b2feba07279.jpeg,,,,,,,,,,,
eos,EOS,https://retty.me/area/PRE13/ARE16/SUB1302/100001646730/,070-8492-2771,프랑스 요리,"[Sun, 화요일, 금요일, 토요일 및 휴일]
점심 11:30-13:00
저녁 18 : 00-20 : 00
점심 11:30-13:00 L.O (화요일, 수요일 및 목요일에만 예약)
저녁 식사 18 : 00-20 : 00 L.O.",매주 월요일에 불규칙한 휴일,"점심 : ~ 5,000 엔
저녁 식사 : ~ 15,000 엔",,,"3-27-1 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Akabanebashi Station에서 도보로 5 분 거리 (360m)
Toei Mita Line / Shibakoen Station 6 분 도보 (410m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보 6 분 (470m)",,"16 석
(1 층 / 4 개의 카운터 좌석, 6 개의 테이블 시트, 2 층 (반-프라이버시 룸) / 6 테이블 시트)",예,,,,https://restaurant-eos.com/,,,,,,"점심, 저녁, 쌀, 럭셔리 크리스마스, 크리스마스 2024",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32181055.jpg,,,,,,,,,,,
焼肉処 精香園,야키니 쿠틴 세이 카엔,https://retty.me/area/PRE13/ARE16/SUB1302/100000001552/,03-3452-2540,Yakiniku Korean Food Hormones,"[월요일부터 금요일, 토요일, 휴일]
 17:00-23:00",매주 일요일,,Amex,PayPay,"4-9-12 시바 바라, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 8 분 도보 (600m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 9 분 (660m)
Toei Asakusa Line / Sengakuji Station에서 도보로 9 분 (720m)",,48 석,없음,,예,,,,,,,,"개인 실, 솔로, 스타일리시, 저녁 식사, 저녁 식사, 세련된, 개인 실, 급여 지불 제공, 고급 크리스마스, 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/24704912.jpg,,,,,,,,,,,
コート ドール,코트 인형,https://retty.me/area/PRE13/ARE16/SUB1302/100000027278/,03-3455-5145,프랑스 요리 담배,"[Sun, 화요일, 금요일, 토요일]
점심 12:00-14:00
저녁 18 : 00-20 : 30","매월 두 번째 화요일 매주 월요일
여름 방학 (8 월 중순), 새해 공휴일","점심 : ~ 15,000 엔
저녁 식사 : ~ 30,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Mita House 1f, 5-2-18 Mita, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 Namboku 라인 / 시로 카나와 스테이션 6 분 (470m)
도쿄 메트로 Namboku Line / Azabu Juban Station에서 도보 9 분 (720m)
Toei Asakusa Line / Sengakuji 역에서 도보로 12 분 (920m)",,34 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,사용 가능한 예약,"점심, 데이트, 결혼 기념일, 싱글 OK, 엔터테인먼트, 체리 꽃보기, 체리 꽃보기, 크리스마스 저녁 식사, 와인, 세련된 저녁 식사, 쌀, 스모킹, 점심 날짜, 세련된 점심.
다른 사용 장면을 참조하십시오",정원이 있습니다,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34983373.jpg,,,,,,,,,,,
