식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,인스 타 그램,페이스 북,X (트위터),IC 카드 지불,발언,서비스,드레스 코드,애완 동물,전원 공급 장치 사용,추가 장비,외국어 지원,지역,온라인 예약,맥주 제작자,쇼핑 직무 정보
かず家,카즈 하우스,https://retty.me/area/PRE13/ARE11/SUB1101/100001034430/,03-5577-6156,이자카야 해산물과 해산물,"[월요일부터 금요일까지, 휴일]
 16:30-23:30",매주 일요일마다,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,,"1-7-7 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (340m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (420m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 6 분 (430m)",,12 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"저녁 식사, 금연, 캐주얼",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35689228.jpg,,,,,,,,,,,,칸다,,,
だるま酒場,다 루마 바,https://retty.me/area/PRE13/ARE11/SUB1101/100001591678/,050-5462-3067,이자카야 해산물과 해산물 사시미,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 11:30-23:30 L.O. 22:30
[폐쇄 일]
일요일",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Kohara Building B1F-A, 1-11-10 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 5 분 (340m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (340m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 5 분 거리 (340m)",없음,33 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://darumasakaba.foodre.jp/
https://darumasakaba.com/","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 이상을위한 모든 싱크 링크를 포함하는 코스가 포함 된 코스가 포함되어 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료 및 주인 요리사 및 매장 준비에 특히 도움이됩니다.","맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"싱글 OK 라이스 디너 흡연 허용 고기 엔터테인먼트를 이용할 수있는 고기 엔터테인먼트 전부-마시는 파티 및 음주 파티 지불 지불 지불 이용 가능한 점심 온라인 예약 이용 가능 연말 파티 파티 캐주얼 세련된 성인 새해 파티
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
숨는 곳","예
유아, 유치원 어린이, 초등학생을 환영합니다",예,03-5577-7057,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001591678/archive/3453888-673709d891fc6.png,https://www.instagram.com/darumasakaba/,,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet","[QR 코드]
 PayPay, Rakuten Pay, DPay, Line Pay, AU Pay, Merpay, Famipay, Alipay, Wechat Pay","놀라운 응답 가능
축하 가능성",없음,불가능합니다,예 (무료),,,칸다,,,
神田 鮨ひで,칸다 초밥 가죽,https://retty.me/area/PRE13/ARE11/SUB1101/100001425468/,03-3525-4385,초밥,"[월요일부터 금요일까지]
점심 11:30-14:30
저녁 식사 17:00-22:30 L.O. 22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"1-3-10 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
Jr Sobu 메인 라인 / 신-니혼 바시 (Shin-Nihonbashi Station)에서 도보로 3 분 (240m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 5 분 (390m)",,31 석,예,,없음,,https://gg4t200.gorp.jp/,,,,,,"점심, 저녁 식사, 저녁 식사, 맛있고 저렴한 레스토랑 지불금 지불 이용 가능 세련, 캐주얼, 성인 연말 파티, 퀵 엔드 파티, 성인의 새해 파티, 퀵 엔드 파티, 퀵 엔드 파티
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16544931.jpg,,,,,,,,,,,,칸다,,,
串カツあらた 神田店,Kushikatsu Arata Kanda 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100001410427/,03-6260-8896,이자카야 해산물과 해산물 요리 쇠고기 혀,"[월요일부터 금요일까지]
저녁 식사 15 : 00-23 : 30 L.O. 23:00
[토양]
 13:00-23:30 L.O. 23:00
[낮]
저녁 식사 13 : 00-23 : 30 L.O. 23:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.","매주 일요일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"1F Kanda Kitaguchi Ekimae Building, 3-19-7 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (34m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (440m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 역에서 도보 6 분 (440m)","없음
근처 (할인 없음) 사용 가능",65 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://kushikatsuarata.com/,,,,,,"점심 All-You-Can Eat Date Girls 'Party all-you-can-drink 결혼 기념일 기념일 싱글 OK 작별 파티 환영 파티 새해 파티 마시는 와인 주차 가능 영어 이용 가능 저녁 식사 없음 생일 점심 날짜
다른 사용 장면을 참조하십시오",,"불가능합니다
유아, 유치원 어린이, 초등학생을 환영합니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001410427/archive/3088626-649931cf55050.jpg,,,,,송장 시스템을 지원하는 상점,,,,,,영어,칸다,,,
角打いながき,코너 히트 타임,https://retty.me/area/PRE13/ARE11/SUB1101/100001594371/,03-3526-2336,이자카야,"[하루 종일]
 11:00-14:00
 17:00-23:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",,PayPay,"2-9-18 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 거리 (380m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (450m)",,,,,,,,,,,,,"점심, 저녁, 쌀, 급여 지불 지불 가능, 캐주얼, 바삭 바삭한, 연말 파티, 바삭 바삭한, 새해 파티",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3508807.jpg,,,,,,,,,,,,칸다,,,
四国郷土活性化 藁家88 神田店,Shikoku 지역 활성화 Waraya 88 Kanda Store,https://retty.me/area/PRE13/ARE11/SUB1101/100001405813/,03-3254-5655,이자카야 해산물과 해산물 요리 현지 미식가,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:30","매주 일요일
일요일이 공휴일이라면 영업일이 변할 수 있습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Kyoshinkaikan, 2-2-9 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
jr 山手線 ／ 山手線 神田 (東京) 駅 徒歩 徒歩 1 分 分 (63m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 (350m)
東京メトロ銀座線 東京メトロ銀座線 東京メトロ銀座線 三越前駅 ／ 7 分 + (490m)",예,130 석,예,,"예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 21 명
최대 70 명을 임대 할 수 있습니다 (좌석)
예약 할 수있는 제한된 수의 사람들 (독점 식사) 110 명",,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 이상을위한 모든 싱크 링크를 포함하는 코스가 포함 된 코스가 포함되어 있습니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"당신이 온전한 싱글 링크 연회/음료 파티 개인 실
다른 사용 장면을 참조하십시오",,예,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001405813/archive/472056-5b3f302ca2cb1.jpg,,,,,,축하 가능성,,불가능합니다,불가능합니다,,,칸다,,,
日本酒原価酒蔵 神田店,Sake Cost Sake Brewery Kanda Branch,https://retty.me/area/PRE13/ARE11/SUB1101/100001509411/,03-6384-0422,Izakaya Sushi Motsunabe Bar 일본 요리 카포/작은 레스토랑 Sake Bar Seafood/Seafood Dishes Yakitori,"[월요일부터 금요일까지]
 15:00-23:00 L.O. 23:00
[태양/토요일]
 14:00-23:00 L.O. 23:00",명확하지 않습니다,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",PayPay,"2-8-5 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (270m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (510m)",예,"40 석
(10 개의 카운터 좌석, 30 개의 테이블 좌석)","예
(10 카운터 좌석)","불가능합니다
(모든 좌석은 흡연으로 금지되어 맛과 향기를 완전히 즐길 수 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://sakae-genkabar.com/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 한 시간 반 동안 만 살해, 2 시간 동안 모두 싱글 링크",우리는 생선 요리에 대해 특히 그렇습니다,이용 가능한 맥주,,"전산 된 링크 연회 및 음료 파티 싱글 OK farewell 파티 환영 파티 술 마시기 어린이와 함께 즐길 수있는 즐거움
다른 사용 장면을 참조하십시오",,예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001509411/archive/1351264-5dfc9f49ca5c5.jpg,https://www.instagram.com/nihonshugenka/,https://www.facebook.com/nihonshugenkasakagura0401/,https://x.com/nihonshu_genka/,,,,,불가능합니다,,,,칸다,,,
のむず 神田店,Nomuzu Kanda 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100000078642/,03-3256-0360,이자카야 쿠시 카츠 일본 음식 야키토리 햄버거,"[하루 종일]
 11:30-24:30
*Gurunavi, Tabelog 및 Hot Pepper가 최신 비즈니스 상황입니다. 확인하십시오.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"White Ekimae Building 2F, 3-18-8 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (68m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (450m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (460m)",없음,65 석,없음,"연기 분리
(흡연 좌석이 있습니다. 자세한 내용은 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명",,,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 또는 그 이상을위한 모든 코스를 포함하는 코스가 포함 된 코스가 있습니다.",야채 요리 전문,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"점심 모든 란드 링크 연회와 음주 파티 싱글 OK 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 와인을 마시는 세련된 개인 방 저녁 식사 쌀 흡연 허용
다른 사용 장면을 참조하십시오",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000078642/archive/1838033-5f535aa92c864.jpeg,,,,,,,,,,,,칸다,,,
meat&wine BACCHUS,고기와 와인 바쿠스,https://retty.me/area/PRE13/ARE11/SUB1101/100001474753/,03-5289-9323,이자카야,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:30
[토요일/휴일]
 16:00-23:00 L.O. 22:00","매주 일요일
월요일이 공휴일이라면 월요일에 문을 닫고 일요일에는 문을 엽니 다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"49 Kanda Higashimatsushitacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 (190m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 3 분 거리 (240m)
JR Yamanote Line / Akihabara 역에서 도보로 6 분 (420m)",없음,"28 석
(1 층, 2 층 및 2 층을 사용하는 경우 2 명, 4 명, 6 명, 8 명, 10 명, 20 명, 30 명 이상, 30 명 이상을 사용할 수 없습니다.",없음,"불가능합니다
(입구에 재떨이가 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 16 명
최대 25 명까지 임대 할 수 있습니다",,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink 코스에는 5,000 엔세를위한 All-You-Can-Drink가 포함되어 있습니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 여자 파티, 모든 링크, 연회 및 음주 파티, 싱글, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 아이들과 함께 즐기기, 영어 사용 가능, 개인 공간
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기","예
유아, 유치원 어린이, 초등학생을 환영합니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001474753/archive/953975-5cf70103e0163.jpg,,,,,신용 카드 : 저녁 식사 만 가능합니다,"축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",없음,,,,"영어
직원과 함께 언어 지원 메뉴가 있습니다",칸다,,,
はしや 岩本町店,Hashiya Iwamotocho 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100000830506/,03-3865-4180,"돼지 고기 커틀, 서양 음식, 카레","[월요일부터 금요일까지, 휴일 전]
 11:00-20:00","매주 토요일마다 일요일 휴가
공휴일 전날","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1-14-3 Iwamotocho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR SOBU 메인 라인 / 바쿠로 코 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 히비야 라인 / 코 덴 마흐 코 스테이션에서 도보로 4 분 거리 (270m)
Toei Shinjuku Line / Bakuro Yokoyama Station에서 도보 5 분 (400m)",,24 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된, 점심",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35600717.jpg,,,,,,,,,,,,칸다,,,
個室会席北大路 日本橋茶寮 神田駅店,개인 룸 카이세키 키타 오지 니혼 바시 사리 오 칸다 스테이션 스토리,https://retty.me/area/PRE13/ARE11/SUB1101/100001440476/,03-3257-0257,"일본 요리, 사시미, 푸구 요리, 일본 요리","[월요일부터 금요일까지]
저녁 식사 17:00-22:30 L.O. 21:00
*주말과 공휴일에는 인근 교오바시 사리오 도쿄 스테이션 매장을 사용하십시오.","매주 토요일마다 일요일 휴가
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔",,PayPay,"1-5-6 Kajicho, Chiyoda-Ku, 도쿄, Daito Building, B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 (140m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 3 분 (180m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 5 분 (340m)",예,,,,,,https://www.kitaohji.co.jp/kandauruwashi/,"7,000 엔 ~ 7,999 엔 코스, 8,000 엔 코스 이상으로 구입할 수 있습니다.","5,000 엔 이상의 모든 금액 가격, 2.5 시간의 모든 링크",우리는 생산 구역에 대해 특히 알고 있으며 알레르기가있는 고객과 채식 메뉴를 수용 할 수 있습니다.,"맥주, 사케, 쇼치, 와인",,"all-you-can-drink 연회 및 음주 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 와인 마시는 와인을 마시는 와인 저녁 식사 무료 Wi-Fi 마시는 Shochu
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001440476/archive/57728-5BC9377C8E1B1.JPG,,,,,,축하 가능성,,불가능합니다,,,,칸다,,,
神田 鮨 近松,칸다 스시 치카 마츠,https://retty.me/area/PRE13/ARE11/SUB1101/100001624387/,03-3526-6924,초밥,"[하루 종일]
점심 11:30-14:00
저녁 식사 17:00-23:30",,"점심 : ~ 4,000 엔
저녁 식사 : ~ 15,000 엔",예,,"3F-E, 2-1-6 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (55m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 (340m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 7 분 거리 (490m)",예,25 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 연회 및 음주 파티, 개인 실, 엔터테인먼트, 연말 파티, 새해 파티, 마시기, 저녁 식사, 쌀, 쌀, 비 연소, 개인 실, 점심, 세련된 점심, 세련된 개인 실, 개인 실, 무료 와이파이
다른 사용 장면을 참조하십시오",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001624387/archive/2878176-634ba66f8c159.jpeg,https://www.instagram.com/sushi_chikamatsu/,,,,,,,,,,,칸다,,,
神田 鮨 まつもと,칸다 스시 마츠모토,https://retty.me/area/PRE13/ARE11/SUB1101/100001601753/,050-5570-8531,초밥,,,"점심 : ~ 4,000 엔
저녁 식사 : ~ 15,000 엔",,,"3F-B, 2-1-6 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (59m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 (340m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 7 분 거리 (490m)",,,,,,,,,,,,,엔터테인먼트 크리스마스 저녁 식사에는 혼자 괜찮습니다,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28850244.jpg,,,,,,,,,,,,칸다,,,
和バル KO‐IKI 神田店,일본 바 코이키 칸다 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100001344819/,03-5296-9117,식당 바,"[Sun, 월요일부터 목요일, 토요일 및 휴일]
 16:00-1:00
[금요일/휴가 전]
 16:00-29:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 6,000 엔",예,PayPay,"산시야 빌딩, 1-6-5 카지 코, 키 요다 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (98m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (230m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 5 분 거리 (380m)",,196 석,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://ko-iki.owst.jp/,,,,,,"개인 룸 성인 숨겨져있는 첫 번째 열차 저녁 식사 흡연이 허용 될 때까지 세련된 개인 실 엔터테인먼트 늦은 밤 급여 지불 지불 이용 가능한 세련된 성인 데이트 세련된 Merikuri 크리스마스 2024 성인 연말대 파티
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35682490.jpg,,,,,,,,,,,,칸다,,,
オステリア シヴァ,오스테리아 시바,https://retty.me/area/PRE13/ARE11/SUB1101/100001602723/,03-6822-7401,이탈리아 바,"[월요일부터 금요일과 토요일]
 12:00-21:30 L.O. 21:00
 22:00-26:00 L.O. 25:30",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",,"1f Moriyama Building, 3-21-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (68m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (400m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (400m)","없음
근처 (할인 없음) 사용 가능",6 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"5,000 ~ 5,999 엔 코스가 있으며 8,000 엔 코스가 있습니다.",,"우리는 생산 구역에 대해 특히 알고 있으며, 알레르기가있는 고객을 수용하고 매장 내에서 준비 할 수 있습니다.","맥주, 와인, 위스키",,"점심, 주차, 어린이와 함께 즐기기, 저녁 식사, 비 흡연, 심야, 고급스러운 크리스마스, 크리스마스 2024, 스타일리쉬
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳
골목을 향합니다",예,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001602723/archive/2608483-61f51653e632a.jpg,,,,"Suica, Quicpay",,,없음,불가능합니다,예 (무료),,,칸다,,,
ゆかり酉,유카리 수탉,https://retty.me/area/PRE13/ARE11/SUB1101/100001339011/,03-5577-4230,Yakitori Izakaya Kappo/작은 레스토랑,"[월요일부터 금요일까지]
저녁 식사 18:00-4:00 L.O. 3:00
[토양]
저녁 식사 18:00-22:00 L.O. 21:00","매주 일요일과 공휴일
[개막 시간]
영업 시간 및 L.O. 상황에 따라 시간이 약간 다를 수 있습니다. 주목하십시오.
[폐쇄 일]
새해 공휴일 및 여름 방학과 같은 긴 휴일에 대해 미리 연락하는 것이 안전합니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"신와 건물 1f, 1-8 칸다 니시 치코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 2 분 (140m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 2 분 거리 (140m)",,12 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"약혼 저녁 식사 파티, 솔로 손님, 크리스마스 저녁 식사, 음료수, 첫 번째 열차, 저녁 식사, 쌀, 흡연, 늦은 밤에 오픈, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001339011/archive/209283-5923d6b4eb0a7.jpg,,https://www.facebook.com/yukari tori-842485722455638/,,,,,,,,,,칸다,,,
