식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,주차,좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,QR 코드 결제,카운터 좌석,강의,당신이 마실 수있는 모든 것,발언,애완 동물,IC 카드 지불,X (트위터),서비스,대기,외국어 지원,드레스 코드,전원 공급 장치 사용,추가 장비,맥주 제작자
神田江戸ッ子寿司 スマートレーン北口店,칸다 에도코 스시 스마트 레인 북부 출구 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001664864/,03-3258-1217,초밥,"[월요일부터 금요일까지]
 11:00-23:00 L.O. 22:30
[토양]
 11:00-21:30 L.O. 21:00",매주 일요일과 공휴일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔",,"사쿠라이 빌딩 1f, 3-19-8 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (19m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (450m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 6 분 (460m)",,,,,,https://edokko.co.jp/b/mise/smart-kitaguchi/smart-kitaguchi.htm,,,,,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 급여 지불 지불 가능",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34931425.jpg,PayPay,,,,,,,,,,,,,,
鉄板焼 お好み焼 花子 神田店,테파 냐키 오코노미 야키 한나코 칸다 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001692166/,03-5244-4808,Okonomiyaki,,,"점심:-
저녁 식사 : ~ 4,000 엔",,"Hanakiku Building 2F, 3-22-4 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (400m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (400m)",,,,,,,,,,,,PayPay 지불 가능,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33116772.jpg,PayPay,,,,,,,,,,,,,,
開運いなり 板忠,행운을 빕니다 Itachu,https://retty.me/area/PRE13/ARE11/SUB1101/100000080392/,03-3271-9939,카포/작은 레스토랑 계절 요리 일본 음식,"[월요일부터 금요일까지]
점심 11:00-13:30 L.O. 13:00
저녁 식사 17:00-23:00 L.O. 21:00
자세한 내용은 공식 FB를 확인하십시오.",매주 토요일마다 일요일 휴가,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","4-5-16 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 3 분 (200m)
JR Yamanote Line / Kanda (도쿄) 역 4 분 (250m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (320m)","예
근처 (할인 없음) 사용 가능","19 석
(Covid-19의 확산을 막는 동안 좌석 수를 8로 줄였습니다.)","예
완전히 흡연이 허용됩니다
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었으며 최신 정보는 최신 정보와 다를 수 있으므로 방문하기 전에 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,https://www.instagram.com/itachu17,https://www.facebook.com/itachu17,"주인 요리사, 매장 내 준비",사케와 쇼치,,"점심, 솔로, 성인 은신처, 크리스마스 저녁 식사, 주차, 저녁 식사, 쌀, 흡연, 무료 와이파이, 세련된, 캐주얼
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000080392/archive/2453473-611a2d8d442ca.jpg,,예,,,,,,,,차분한 분위기,,,,,
香港厨房,홍콩 주방,https://retty.me/area/PRE13/ARE11/SUB1101/100001148962/,03-3255-5551,이자카야 중국 요리 딤섬 / 딤섬 Xiaolongbao Gyoza,"[하루 종일]
점심 11:30-14:30
저녁 식사 17:00-24:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB","3-3-2 Kanda Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (380m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (380m)",예,80 석,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
제한된 수의 사람들이 임대 할 수있는 제한된 수 (좌석) : 45 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 45 명",https://localplace.jp/t200318633/,,,,,사용 가능한 예약,"점심 모든 당신이 먹는 린 링크 연회/음료 파티 솔로 작별 파티에 이용할 수있는 개인 객실을 환영합니다.
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001148962/archive/950539-5cf4e54bcc593.jpg,PayPay,없음,,,,,,,,,,,,,
神田 鮨ひで,칸다 초밥 가죽,https://retty.me/area/PRE13/ARE11/SUB1101/100001425468/,03-3525-4385,초밥,"[월요일부터 금요일까지]
점심 11:30-14:30
저녁 식사 17:00-22:30 L.O. 22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"1-3-10 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
Jr Sobu 메인 라인 / 신-니혼 바시 (Shin-Nihonbashi Station)에서 도보로 3 분 (240m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 5 분 (390m)",,31 석,,없음,,https://gg4t200.gorp.jp/,,,,,,"점심, 저녁 식사, 저녁 식사, 맛있고 저렴한 레스토랑 지불금 지불 이용 가능 세련, 캐주얼, 성인 연말 파티, 퀵 엔드 파티, 성인의 새해 파티, 퀵 엔드 파티, 퀵 엔드 파티
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16544931.jpg,PayPay,예,,,,,,,,,,,,,
Spice Box,향신료 상자,https://retty.me/area/PRE13/ARE11/SUB1101/100001254682/,03-5577-3909,인도 요리 인도 카레 카레 야채 요리,"[월요일부터 금요일과 토요일]
점심 11:00-14:00
저녁 식사 17:30-22:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",예,"1f, 1-15-12 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 3 분 거리 (230m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 3 분 거리 (230m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (230m)",없음,17 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://spicebox.gorp.jp/,,,,,,"점심, 솔로, 세련된, 저녁 식사, 비 흡연, 세련된, 점심, 바삭 바삭한, 연말 파티, 바삭 바삭한, 새해 파티
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32057675.jpg,,예,,,,,,,,,,,,,
飛鳥くら田,아스카 쿠라 다,https://retty.me/area/PRE13/ARE11/SUB1101/100001702100/,03-3518-5860,치킨 접시 야키토리,,,,,"Kanda Misu Building 2F, 1-7-5 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (62m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (260m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (410m)",,,,,,,,,,,,와인을 마실 수 있습니다,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36684618.jpg,,,,,,,,,,,,,,,
日本酒原価酒蔵 神田店,Sake Cost Sake Brewery Kanda Branch,https://retty.me/area/PRE13/ARE11/SUB1101/100001509411/,03-6384-0422,Izakaya Sushi Motsunabe Bar 일본 요리 카포/작은 레스토랑 Sake Bar Seafood/Seafood Dishes Yakitori,"[월요일부터 금요일까지]
 15:00-23:00 L.O. 23:00
[태양/토요일]
 14:00-23:00 L.O. 23:00",명확하지 않습니다,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB","2-8-5 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (270m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (510m)",예,"40 석
(10 개의 카운터 좌석, 30 개의 테이블 좌석)","불가능합니다
(모든 좌석은 흡연으로 금지되어 맛과 향기를 완전히 즐길 수 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://sakae-genkabar.com/,https://www.instagram.com/nihonshugenka/,https://www.facebook.com/nihonshugenkasakagura0401/,우리는 생선 요리에 대해 특히 그렇습니다,이용 가능한 맥주,,"전산 된 링크 연회 및 음료 파티 싱글 OK farewell 파티 환영 파티 술 마시기 어린이와 함께 즐길 수있는 즐거움
다른 사용 장면을 참조하십시오",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001509411/archive/1351264-5dfc9f49ca5c5.jpg,PayPay,"예
(10 카운터 좌석)","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 한 시간 반 동안 만 살해, 2 시간 동안 모두 싱글 링크",,불가능합니다,,https://x.com/nihonshu_genka/,,,,,,,
生ラム専門店 肉汁屋 神田店,생 양고기 스페셜티 스토어 고기 주스 상점 칸다 스토어,https://retty.me/area/PRE13/ARE11/SUB1101/100001696579/,03-5244-4155,징지수 칸,"[월요일부터 금요일과 토요일]
 17:00-23:30",매주 일요일과 공휴일,,,"1-2-16 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 (160m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (270m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (410m)",,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,저녁 식사 용기 비 흡연,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32035181.jpg,,예,,,,,,,,,,,,,
鳥文,조류,https://retty.me/area/PRE13/ARE11/SUB1101/100000080990/,03-3241-4563,야키토리,"[월요일부터 금요일까지]
점심 11:30-13:30 L.O. 13:30
저녁 식사 17:00-23:00
저녁
요리 L.O. 22:00 음료 L.O. 22:30",매주 토요일마다 일요일 휴가,"저녁 식사 : ~ 4,000 엔",Amex,"4-5-11 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 3 분 (170m)
JR Yamanote Line / Kanda (도쿄) 역 3 분 거리 (220m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (300m)",,54 석,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 저녁, 흡연 허용, 캐주얼, 바삭 바삭한, 연말 파티, 바삭 바삭한, 새해 파티",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34851205.jpg,,예,,,,,,,,,,,,,
肉の万世 神田駅前店,고기 mansei 칸다에 키마 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100000251499/,03-3256-2981,"햄버거, 서양 음식, 스테이크, 샤브 샤무","[월요일부터 금요일까지]
 11:00-23:00
[태양, 토요일, 휴일]
 11:00-21:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",Amex,"1f, 2-13-25 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (34m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 거리 (380m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 7 분 거리 (530m)",,50 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.niku-mansei.com/,,,,,,"점심, 솔로, 저녁 식사, 쌀, 고기, 비 흡연, 세련된 점심, 급여 지불 지불, 캐주얼
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33984635.jpg,PayPay,없음,,,,,,,,,,,,,
Uo魚 魚串酒場 神田南口店,Uo 생선 꼬치어 바 Kanda Minamiguchi Branch,https://retty.me/area/PRE13/ARE11/SUB1101/100000818352/,03-3270-5511,해산물과 해산물 요리 야키토리 이자카야 꼬치,자세한 내용은 공식 웹 사이트를 확인하십시오.,매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","No. 5 Sun Building의 1F, 4-2-17, Murachi, Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 2 분 (150m)
JR Yamanote Line / Kanda (도쿄) 역 3 분 (180m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (300m)",없음,60 석,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://ramla-washoku.com/uo-kanda-minami/,,,"우리는 야채 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"어린이와 함께 즐거운 아이들과 함께 즐거운 영어 흡연 허용 무료 Wi-Fi 캐주얼 요리를위한 빠른 연말 파티 요리를위한 빠른 새해 파티
다른 사용 장면을 참조하십시오",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000818352/archive/2320720-6073e1ac8a51b.jpg,,예,,,"Pasmo, Kitaca 지불 가능",불가능합니다,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca",,테이크 아웃 가능성,"개방성이 있습니다
골목을 향합니다","영어 중국어
언어 지원 메뉴가 있습니다",평상복,,,
串カツあらた 神田店,Kushikatsu Arata Kanda 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100001410427/,03-6260-8896,이자카야 해산물과 해산물 요리 쇠고기 혀,"[월요일부터 금요일까지]
저녁 식사 15 : 00-23 : 30 L.O. 23:00
[토양]
 13:00-23:30 L.O. 23:00
[낮]
저녁 식사 13 : 00-23 : 30 L.O. 23:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.","매주 일요일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB","1F Kanda Kitaguchi Ekimae Building, 3-19-7 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (34m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (440m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 역에서 도보 6 분 (440m)","없음
근처 (할인 없음) 사용 가능",65 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://kushikatsuarata.com/,,,,,,"점심 All-You-Can Eat Date Girls 'Party all-you-can-drink 결혼 기념일 기념일 싱글 OK 작별 파티 환영 파티 새해 파티 마시는 와인 주차 가능 영어 이용 가능 저녁 식사 없음 생일 점심 날짜
다른 사용 장면을 참조하십시오","불가능합니다
유아, 유치원 어린이, 초등학생을 환영합니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001410427/archive/3088626-649931cf55050.jpg,PayPay,예,,,송장 시스템을 지원하는 상점,,,,,,영어,,,,
APRON The Diner,미리 식당,https://retty.me/area/PRE13/ARE11/SUB1101/100001404526/,03-3525-4990,바 커리 파스타,"[하루 종일]
아침 7:00-10:00 L.O. 9:30
[월요일부터 금요일까지, 휴일 전]
점심 11:30-14:30 L.O. 14:00
[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:00
[축하 전]
저녁 식사 17:00-23:00 L.O. 22:30
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
*새로운 코로나 바이러스의 영향에 따라 영업 시간이 바뀔 수 있습니다. 방문 할 때는 사전에 상점에 확인하십시오.","매주 토요일마다 일요일 휴가
아침 식사는 일년 내내 영업합니다. *우리는 아침 식사 예약을 허용하지 않습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","2-10-3 Kajicho, Chiyoda-Ku, 도쿄, 1F, APA Hotel Kanda Ekimae
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 (210m)
Toei Shinjuku Line / Iwamotocho 역에서 도보 4 분 (280m)
JR Yamanote Line / Akihabara 역에서 도보로 7 분 거리 (490m)","없음
근처 (할인 없음) 사용 가능",28 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠딩 식사) 10 명
최대 40 명이 임대 할 수 있습니다 (스탠드 스탠딩 식사)",,,,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 수입 재료, 수입 재료, 현지 재료를 생산하고, 알레르기가있는 고객을 수용 할 수 있으며, 매장 내에서 준비 할 수 있습니다.","맥주, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 여자 파티, 모든 링크, 연회 및 음주 파티, 솔로 손님, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 주차, 어린이와 함께 즐거운, 스타일리쉬, 개인, 아침 식사 이용 가능
다른 사용 장면을 참조하십시오","예
아이들은 환영합니다, 유치원 어린이는 환영합니다, 초등학생은 환영 받고, 기저귀를 이용할 수 있으며, 아기 음식을 당신과 함께 가져갈 수 있습니다.",예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001404526/archive/2664279-6246a3f6df255.jpeg,PayPay,없음,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔을위한 All-You-Can-Drink가 포함되며, 싱글 링크 코스에는 5,000 엔 또는 그 이상으로 All-You-Can-Drink가 포함됩니다.",,불가능합니다,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet",,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성","천장이 높습니다
차분한 분위기
호텔에 있습니다",,,불가능합니다,,
土鍋ごはんと和酒の店 おてだま,점토 냄비 쌀과 일본인을 제공하는 일본 술 가게 오테마,https://retty.me/area/PRE13/ARE11/SUB1101/100001313081/,03-3252-1277,이자카야,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:30-13:30
저녁 식사 17:00-23:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",,"2f Kotobuki Building, 2-9-17 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (150m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 (360m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (450m)",,,,,,,,https://www.facebook.com/otedama.kanda/,,,,점심 식사 저녁 식사 저녁 식사,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36096585.jpg,,,,,,,,,,,,,,,
博多もつ鍋・九州料理 月光食堂 神田,Hakata Motsunabe/Kyushu Cuisine Gekko Shokudo Kanda,https://retty.me/area/PRE13/ARE11/SUB1101/100000077299/,03-3293-5177,Izakaya 일본 요리 해산물 및 해산물 요리 Motsunabe Kyushu Cuisine,"[월요일부터 금요일과 토요일]
점심 11 : 30-13 : 45 L.O. 13:45
[월요일부터 금요일까지]
저녁 식사 17:00-23:30 L.O. 22:30
[토양]
저녁 식사 17:00-23:00 L.O. 22:00","매주 일요일과 공휴일
일요일과 휴일에 문을 닫습니다. (Yushima 매장은 밤 4 시부 터 밤에 영업합니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB","Dcube Building 1f, 2-9-2 Kanda Tsukacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (170m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 3 분 거리 (170m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 3 분 거리 (170m)",없음,55 석,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,,https://www.ac,"우리는 고기 요리, 생선 요리, 재료 생산, 그리고 매운 메뉴에 대해 특별히 제공되며 매장 내에서 준비된 매우 매운 메뉴가 있습니다.","맥주, 사케, 쇼치, 위스키, 칵테일, awamori",저녁 식사 시간에만 사용할 수 있습니다,"점심 모든 당신이 먹을 수있는 싱글 링크 개인 룸 싱글 사용 크리스마스 저녁 식사 세련된 영어를 사용하는 개인 실 저녁 식사 흡연 흡연 허용 전용 객실 점심 만해도 모든 곳에서 당신을 먹는다.
다른 사용 장면을 참조하십시오","불가능합니다
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000077299/archive/73826-5804a74be3b50.jpg,PayPay,예,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.",2 시간 동안 당신이 다루는 것,,불가능합니다,,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성","활발한 상점
숨는 곳
테라스가 있습니다",영어,없음,예 (무료),,
