restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,ic_card_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,instagram,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,wifi_available,phone_number,foreign_language_support,video,pet_friendly,power_supply_available,remarks,twitter,facebook,additional_equipment,beer_maker,쇼핑 직무 정보,온라인 예약
框家 恵比寿店,Kakuya ebisu 상점,https://retty.me/area/PRE13/ARE7/SUB701/100000025247/,03-5457-7887,이자카야 Robatayaki Yakitori,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00
[월요일 ~ 목요일]
저녁 식사 18 : 00-24 : 00 L.O. 23:00
[금요일/휴가 전]
저녁 식사 18:00-27:00 L.O. 26:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"1f Blossom West Building, 1-14-9 Ebisu Nishi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (150m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (490m)
JR Yamanote Line / Shibuya 역에서 도보로 12 분 (960m)",,34 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.wid.co.jp/,,,,,,,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 엔터테인먼트, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 저녁 식사, 흡연 허용, 밤 늦게 문을 엽니 다
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3760424.jpg,,,,,,,,,
福はうち,행운은 우리입니다,https://retty.me/area/PRE13/ARE7/SUB701/100000709708/,03-5721-2980,이자카야 오덴 테이크 아웃,"[하루 종일]
저녁 식사 17:00-24:00 L.O. 23:00
thing 날에는 일부 좌석이있을 수 있습니다.
직접 전화하십시오 ♪ (050-5461-6269)",,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Quicpay","Keyaki Building B1, 1-4-5 Ebisu Minami, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (70m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (670m)
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 15 분 (1.1km)",없음,"40 석
(현재, 우리는 공간이있는 좌석을 제공 할 때 그룹에 좌석을 제공하지 못할 수 있습니다.)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"3,000 엔에서 3,999 엔으로 제공됩니다",,,,사용 가능한 예약,"데이트 연회 및 음주 파티 싱글 싱글 OK 성인 은신처 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 와인을 마시는 와인 세련된 저녁 식사
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","소믈리에가 있습니다
테이크 아웃 가능성",없음,"예
초등학생들은 환영합니다",예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000709708/archive/1825139-5f4ceca679771.jpeg,불가능합니다,예 (무료),,,https://www.facebook.com/fukuwauchionimouchi/,,,,
Duo DOMO,듀오 도모,https://retty.me/area/PRE13/ARE7/SUB701/100000030217/,03-3280-1717,이탈리아 프랑스 요리,"[하루 종일]
 11:00-20:00",매월 두 번째 목요일,"점심 : ~ 15,000 엔
저녁:-",,,,"4-19-20 Ebisu, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 6 분 (440m)
JR Yamanote Line / Meguro Station 14 분 도보 (1.1km)
도쿄 메트로 히비야 라인 / 히로 스테이션 16 분 도보 (1.2km)",,,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 저녁 식사, 저녁 식사, 금연",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/892740.jpg,,,,,,,,,
框家 恵比寿店,Kakuya ebisu 상점,https://retty.me/area/PRE13/ARE7/SUB701/100000025247/,03-5457-7887,이자카야 Robatayaki Yakitori,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00
[월요일 ~ 목요일]
저녁 식사 18 : 00-24 : 00 L.O. 23:00
[금요일/휴가 전]
저녁 식사 18:00-27:00 L.O. 26:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"1f Blossom West Building, 1-14-9 Ebisu Nishi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (150m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (490m)
JR Yamanote Line / Shibuya 역에서 도보로 12 분 (960m)",,34 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.wid.co.jp/,,,,,,,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 엔터테인먼트, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 저녁 식사, 흡연 허용, 밤 늦게 문을 엽니 다
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3760424.jpg,,,,,,,,,
Duo DOMO,듀오 도모,https://retty.me/area/PRE13/ARE7/SUB701/100000030217/,03-3280-1717,이탈리아 프랑스 요리,"[하루 종일]
 11:00-20:00",매월 두 번째 목요일,"점심 : ~ 15,000 엔
저녁:-",,,,"4-19-20 Ebisu, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 6 분 (440m)
JR Yamanote Line / Meguro Station 14 분 도보 (1.1km)
도쿄 메트로 히비야 라인 / 히로 스테이션 16 분 도보 (1.2km)",,,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 저녁 식사, 저녁 식사, 금연",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/892740.jpg,,,,,,,,,
福はうち,행운은 우리입니다,https://retty.me/area/PRE13/ARE7/SUB701/100000709708/,03-5721-2980,이자카야 오덴 테이크 아웃,"[하루 종일]
저녁 식사 17:00-24:00 L.O. 23:00
thing 날에는 일부 좌석이있을 수 있습니다.
직접 전화하십시오 ♪ (050-5461-6269)",,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Quicpay","Keyaki Building B1, 1-4-5 Ebisu Minami, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (70m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (670m)
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 15 분 (1.1km)",없음,"40 석
(현재, 우리는 공간이있는 좌석을 제공 할 때 그룹에 좌석을 제공하지 못할 수 있습니다.)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"3,000 엔에서 3,999 엔으로 제공됩니다",,,,사용 가능한 예약,"데이트 연회 및 음주 파티 싱글 싱글 OK 성인 은신처 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 와인을 마시는 와인 세련된 저녁 식사
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","소믈리에가 있습니다
테이크 아웃 가능성",없음,"예
초등학생들은 환영합니다",예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000709708/archive/1825139-5f4ceca679771.jpeg,불가능합니다,예 (무료),,,https://www.facebook.com/fukuwauchionimouchi/,,,,
恵比寿 ハジカミ,ebisu Hajikami,https://retty.me/area/PRE13/ARE7/SUB701/100001566312/,03-6427-8755,이자카야 돼지 요리 요리 일본 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
저녁 식사 15:00-23:00 L.O. 22:30",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"타나카 빌딩 1f, 1-3-9 에비 수 니시, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (160m)
도쿄 도요 코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (550m)
JR Yamanote Line / Shibuya Station 12 분 도보 (910m)","없음
근처 (할인 없음) 사용 가능",34 석,예,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(가열 된 담배를 이용할 수 있고 금연 카운터 시트를 사용할 수 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
최대 40 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,,"2,999 엔 미만의 코스","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스를 이용할 수 있습니다.","우리는 고기 요리, 생산 공간에 중점을두고, 매운 메뉴에 중점을두고, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, awamori",사용 가능한 예약,"점심 만세 연회/음료 작별 파티 새해 파티 주차 이용 가능 개인 공간 저녁 식사 흡연 허용 지불금 지불 가능
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점","테이크 아웃 가능성
배송 가능",없음,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001566312/archive/264323-622871ada6ae2.jpeg,불가능합니다,예 (무료),,,,TV 및 모니터 사용 가능,,,
ヤミツキヤ,야 미츠키 야,https://retty.me/area/PRE13/ARE7/SUB701/100001275589/,03-6277-5139,이자카야,"[하루 종일]
저녁 식사 16:00-5:00 L.O. 4:00",명확하지 않습니다,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔",예,PayPay,,"Roob6, 3f, 1-13-3 Ebisu Nishi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (120m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (520m)
JR Yamanote Line / Shibuya Station 13 분 도보 (1.0km)",,100 석,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,개인 객실은 첫 번째 기차 저녁 식사 저녁 식사 저녁 식사 식당/저렴한 레스토랑 흡연까지 늦은 밤 지불이 가능합니다.,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36035176.jpg,,,,,,,,,
框家 恵比寿店,Kakuya ebisu 상점,https://retty.me/area/PRE13/ARE7/SUB701/100000025247/,03-5457-7887,이자카야 Robatayaki Yakitori,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00
[월요일 ~ 목요일]
저녁 식사 18 : 00-24 : 00 L.O. 23:00
[금요일/휴가 전]
저녁 식사 18:00-27:00 L.O. 26:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"1f Blossom West Building, 1-14-9 Ebisu Nishi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (150m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (490m)
JR Yamanote Line / Shibuya 역에서 도보로 12 분 (960m)",,34 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.wid.co.jp/,,,,,,,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 엔터테인먼트, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 저녁 식사, 흡연 허용, 밤 늦게 문을 엽니 다
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3760424.jpg,,,,,,,,,
Duo DOMO,듀오 도모,https://retty.me/area/PRE13/ARE7/SUB701/100000030217/,03-3280-1717,이탈리아 프랑스 요리,"[하루 종일]
 11:00-20:00",매월 두 번째 목요일,"점심 : ~ 15,000 엔
저녁:-",,,,"4-19-20 Ebisu, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 6 분 (440m)
JR Yamanote Line / Meguro Station 14 분 도보 (1.1km)
도쿄 메트로 히비야 라인 / 히로 스테이션 16 분 도보 (1.2km)",,,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 저녁 식사, 저녁 식사, 금연",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/892740.jpg,,,,,,,,,
SPANISH LOUNGE PARADOR パラドール,스페인 라운지 파라더,https://retty.me/area/PRE13/ARE7/SUB701/100000698188/,050-5303-0354,스페인 요리,"[월요일부터 금요일까지, 휴일 전]
점심 12:00-15:00 L.O. 14:30
저녁 식사 17:00-23:30 L.O. 22:30
[태양, 토요일, 휴일]
점심 12:00-14:00 L.O. 14:00
저녁 식사 18 : 00-23 : 30 L.O. 22:30
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.
평일 및 토요일, 일요일 및 휴일 (개인적으로 개방되면 시간이 바뀔 수 있습니다. 직접 문의하십시오.)","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Icoca, Hayakaken, Nanaco, Rakuten Edy, Waon, Quicpay","Paiza Ebisu Building, 2F, 2-3-1 Ebisu Minami, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보 4 분 (290m)
도쿄 도요코 라인 / 도이키 야마 역에서 도보로 8 분 (580m)
도쿄 메트로 히비 야 라인 / 나카 메 구로 스테이션 13 분 (1.0km)",예,90 석,없음,"불가능합니다
(상점의 모든 좌석은 금연이 아닙니다. 상점 외부에 재떨이가 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 70 명
최대 70 명을 임대 할 수 있습니다 (좌석)
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 60 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 120 명","https://parador.foodre.jp/
https://renovationplanning.co.jp/",,"2,999 엔 미만의 코스","5,000 엔 이상의 링크, 2 시간 동안 온 All-You-Can-Drink, 2 시간 반 동안 온 All-You-Can Drink가 포함 된 코스가 있습니다.","우리는 고기 요리, 수입 성분, 알레르기가있는 고객을 수용 할 수 있으며 매장 내에서 준비 할 수 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"소녀의 밤, 어린이와의 즐거움, 점심, 쌀, 결혼 기념일, 점심 음주, 싱글 확인, 데이트, 그룹 데이트, 성인 은신처, 흡연 허용, 생일, 점심 날짜, 점심 소녀 밤, 연말 파티, 크리스마스 저녁, 새해 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
개방성이 있습니다","축하 가능성
소믈리에가 있습니다
테이크 아웃 가능성",,예,예,03-6412-8077,"영어 프랑스어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000698188/archive/40449-5ac8ac3463921.jpg,불가능합니다,불가능합니다,<서비스 충전/충전> 300 엔 (Appliment 포함)을 사용하기 위해,,,프로젝터 및 사운드 장비,,,
框家 恵比寿店,Kakuya ebisu 상점,https://retty.me/area/PRE13/ARE7/SUB701/100000025247/,03-5457-7887,이자카야 Robatayaki Yakitori,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00
[월요일 ~ 목요일]
저녁 식사 18 : 00-24 : 00 L.O. 23:00
[금요일/휴가 전]
저녁 식사 18:00-27:00 L.O. 26:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"1f Blossom West Building, 1-14-9 Ebisu Nishi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (150m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (490m)
JR Yamanote Line / Shibuya 역에서 도보로 12 분 (960m)",,34 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.wid.co.jp/,,,,,,,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 엔터테인먼트, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 저녁 식사, 흡연 허용, 밤 늦게 문을 엽니 다
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3760424.jpg,,,,,,,,,
ヤミツキヤ,야 미츠키 야,https://retty.me/area/PRE13/ARE7/SUB701/100001275589/,03-6277-5139,이자카야,"[하루 종일]
저녁 식사 16:00-5:00 L.O. 4:00",명확하지 않습니다,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔",예,PayPay,,"Roob6, 3f, 1-13-3 Ebisu Nishi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (120m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (520m)
JR Yamanote Line / Shibuya Station 13 분 도보 (1.0km)",,100 석,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,개인 객실은 첫 번째 기차 저녁 식사 저녁 식사 저녁 식사 식당/저렴한 레스토랑 흡연까지 늦은 밤 지불이 가능합니다.,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36035176.jpg,,,,,,,,,
たまきんち,타마킨치,https://retty.me/area/PRE13/ARE7/SUB701/100000009161/,03-3496-1770,이자카야 카레 테이크 아웃 사시미 바 카페,"[월요일부터 금요일까지]
점심 11 : 30-16 : 00
[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 18 : 00-29 : 00
[낮]
저녁 식사 17:00-24:00
[축하 전]
점심 11:30-17:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다","불규칙한 휴일
새해 휴일 (확인하십시오)
점심은 토요일과 일요일에 문을 닫습니다. 오후 6 시부 터 오후 11 시까 지 저녁 식사 시간에만 열립니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1f, 1-3-5 Ebisu Nishi, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (140m)
도쿄 도요코 라인 / 도이키 야마 역에서 도보로 8 분 (590m)
JR Yamanote Line / Shibuya 역에서 도보로 12 분 (940m)",예,24 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔, 4,000 엔에서 4,999 엔, 2 시간 동안 싱글 링크를 포함하는 코스가 있습니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"점심, 여자 파티, 모든 링크, 연회 및 음주 파티, 솔로 손님, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 와인, 개인 용도, 첫 번째 기차, 저녁 식사, 저녁 식사까지 개장합니다.
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다","축하 가능성
테이크 아웃 가능성",없음,불가능합니다,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000009161/archive/296710-59e3410b9a9f8.jpg,불가능합니다,,PayPay 사용 가능,,https://www.facebook.com/tamakinchi,,,,
恵比寿 ハジカミ,ebisu Hajikami,https://retty.me/area/PRE13/ARE7/SUB701/100001566312/,03-6427-8755,이자카야 돼지 요리 요리 일본 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
저녁 식사 15:00-23:00 L.O. 22:30",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"타나카 빌딩 1f, 1-3-9 에비 수 니시, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (160m)
도쿄 도요 코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (550m)
JR Yamanote Line / Shibuya Station 12 분 도보 (910m)","없음
근처 (할인 없음) 사용 가능",34 석,예,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(가열 된 담배를 이용할 수 있고 금연 카운터 시트를 사용할 수 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
최대 40 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,,"2,999 엔 미만의 코스","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스를 이용할 수 있습니다.","우리는 고기 요리, 생산 공간에 중점을두고, 매운 메뉴에 중점을두고, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, awamori",사용 가능한 예약,"점심 만세 연회/음료 작별 파티 새해 파티 주차 이용 가능 개인 공간 저녁 식사 흡연 허용 지불금 지불 가능
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점","테이크 아웃 가능성
배송 가능",없음,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001566312/archive/264323-622871ada6ae2.jpeg,불가능합니다,예 (무료),,,,TV 및 모니터 사용 가능,,,
