restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,store_website,remarks,lecture,available_drinks,cooking_specialties,drinking_specialties,usage_scenes,waiting,service,child_friendly,pet_friendly,power_supply_available,wifi_available,phone_number,foreign_language_support,video,private,reservation,dress_code,twitter,facebook,additional_equipment,ic_card_payment,instagram,beer_maker
築地鮮魚居酒屋 八四六,Tsukiji 신선한 생선 이자카야 야시 바로쿠,https://retty.me/area/PRE13/ARE11/SUB1102/100001407613/,03-3834-9555,이자카야,"[월요일부터 금요일과 토요일]
 11:00-13:30
 17:30-22:00","매주 일요일과 공휴일
(SAT) 예약이 필요합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",,,"5-2-10 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 4 분 거리 (320m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 5 분 (360m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://mcf.cn/~846/,,,,,,"점심, 저녁, 쌀, 흡연 허용",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14982645.jpg,,,,,,,,,
神田 煉,칸다 렌,https://retty.me/area/PRE13/ARE11/SUB1102/100001122986/,03-5289-7630,이자카야 B 등급 국수 요리 소바 (Soba),"[월요일부터 금요일과 토요일]
 11:30-14:30
 17:30-23:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔",Amex,PayPay,"Kanda Suda-Cho, Chiyoda-Ku, 도쿄, Arvail Kanda East 1F 2-13-10
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Iwamotocho 역에서 도보로 1 분 (69m)
JR Yamanote Line / Akihabara 역에서 도보 2 분 (140m)
JR Yamanote Line / Kanda (도쿄) 스테이션 6 분 (450m)",,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 저녁 식사, 저녁, 쌀, 비 흡연, 개인 실, 세련된 점심, 세련된 개인 실, 개인 객실, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/12763057.jpg,,,,,,,,,
牛たん焼きと伊達ごはん だてなり屋 秋葉原UDX店,구운 쇠고기 혀와 데이트 쌀 datenariya akihabara udx 매장,https://retty.me/area/PRE13/ARE11/SUB1102/100001388811/,03-3525-4013,이자카야,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-22:00 L.O. 21:00","새해 휴일 (확인하십시오)
시설과 동일합니다
매장은 12/30에서 1/3까지 폐쇄되었습니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Akihabara UDX Building 3F, 4-14-1 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 4 분 (250m)
도쿄 메트로 긴자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 4 분 거리 (270m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 7 분 거리 (550m)",예,40 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"https://datenariya-akihabara.foodre.jp/
https://www.datenariya.jp/",,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",,"맥주, 사케, 위스키, 칵테일","점심, 여자의 밤, 모든 링크, 작별 파티, 연말 파티, 새해 파티, 음료수, 와인, 아이들과 함께 즐기기, 영어를 사용하는 저녁 식사, 쌀, 비 흡연, 점심, 여자 밤, 점심, 후 파티, 음료 쇼치, 음료 쇼치
다른 사용 장면을 참조하십시오",상업용 시설에 위치합니다,테이크 아웃 가능성,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,,예,,"영어 중국어 한국
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001388811/archive/31749-6539fae015a5b.jpeg,불가능합니다,사용 가능한 예약,없음,,,,"Suica, Icoca, Nanaco, Rakuten Edy, Waon, Quicpay",https://www.instagram.com/datenari3udx,
叙香苑 秋葉原店,Jokoen Akihabara 상점,https://retty.me/area/PRE13/ARE11/SUB1102/100001209748/,03-5817-8123,중국 요리 딤섬 / 딤섬 뜨기,"[하루 종일]
점심 11:00-23:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,"1-8-2 Taito, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara Station 4 분 도보 (260m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 7 분 거리 (530m)
도쿄 메트로 긴자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 7 분 거리 (540m)",,130 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 흡연 허용, 개인 실 점심",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3728443.jpg,,,,,,,,,
神田 煉,칸다 렌,https://retty.me/area/PRE13/ARE11/SUB1102/100001122986/,03-5289-7630,이자카야 B 등급 국수 요리 소바 (Soba),"[월요일부터 금요일과 토요일]
 11:30-14:30
 17:30-23:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔",Amex,PayPay,"Kanda Suda-Cho, Chiyoda-Ku, 도쿄, Arvail Kanda East 1F 2-13-10
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Iwamotocho 역에서 도보로 1 분 (69m)
JR Yamanote Line / Akihabara 역에서 도보 2 분 (140m)
JR Yamanote Line / Kanda (도쿄) 스테이션 6 분 (450m)",,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 저녁 식사, 저녁, 쌀, 비 흡연, 개인 실, 세련된 점심, 세련된 개인 실, 개인 객실, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/12763057.jpg,,,,,,,,,
個室と和食 和菜美 秋葉原店,개인 실과 ​​일본 요리 와나미 아키하바라 지점,https://retty.me/area/PRE13/ARE11/SUB1102/100001394024/,03-4405-1304,이자카야 일본 음식,"[Sun, 월요일부터 목요일, 토요일 및 휴일]
 16:00-24:00
[금]
 16:00-4:30",불규칙한 휴일,"점심:-
저녁 식사 : ~ 3,000 엔",예,,"Kawahatsu Building 10f, 1-15 Kanda Sakumacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 1 분 (74m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 3 분 거리 (210m)
JR Yamanote Line / Kanda (도쿄) 역 7 분 (560m)",,110 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,개인 객실은 첫 번째 기차 저녁 식사 저녁 식사 저녁 식사/저렴한 레스토랑이 아닌 밤 늦게까지 열리지 않을 때까지 열립니다.,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14023803.jpg,,,,,,,,,
LOOP,고리,https://retty.me/area/PRE13/ARE11/SUB1102/100000016925/,03-3252-0310,바 다트 바 식당 바,"[tue-fri/전 휴일 전]
 18:00-24:00 L.O. 23:00
[태양, 토요일, 휴일]
 17:00-24:00 L.O. 23:00","매주 월요일
새해 휴일 (확인하십시오)
(새해 휴가 사용 가능)","점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3F Meiji Building, 3-1-2 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 5 분 거리 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (400m)
JR Yamanote Line / Akihabara 역에서 도보로 6 분 (410m)","예
근처 (할인 없음) 사용 가능","40 석
(테이블 시트 사용 가능)","예
(카운터에서 6 석)","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","https://www.loop-spacecafediner.co.jp/
http://loopspacediner.favy.jp/","시간당 한 주문
서비스 요금 15% 추가","2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, 전 ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, 3,000-3,999 엔 ALL-YOU-CAN-DRINK 코스에는 2 시간, 2 시간, 3 시간 동안 완전히 흠집이 나옵니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일","전산 된 사냥개 개인 실 결혼식 후 파티 애프터 웰 파티를 환영 파티 연말 파티 술을 마시는 와인을 마시는 가라오케 시설 주차장 이용 가능 영어 사용 가능한 개인 파티 저녁 식사
다른 사용 장면을 참조하십시오",,"축하 가능성
음료를 가져올 수 있습니다",,,예 (무료),예,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000016925/archive/3185331-654855efd9a6a.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 40 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 45 명",사용 가능한 예약,없음,,,"가라오케, TV 및 모니터, 오디오 장비, 다트, 놀이",,,
パセラリゾーツ 秋葉原電気街店,Pasela Resorts Akihabara Electric Town Store,https://retty.me/area/PRE13/ARE11/SUB1102/100000062212/,03-5256-7900,이자카야,"[태양, 월요일부터 금요일, 토요일]
 11:30-7:00 L.O. 6:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"Usuya Building, 1-13-2 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역에서 도보 6 분 (420m)
Toei Shinjuku Line / Iwamotocho 역에서 도보 6 분 (450m)",예,"330 석
(완전히 금연 또는 별도의 흡연 유형 중에서 선택할 수 있습니다. *우리는 1 ~ 50 명을 수용 할 수있는 다양한 개인 실이 있습니다.)",없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",https://www.pasela.co.jp/shop/akiba_denki/,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","2,999 엔 미만의 싱글 링크가 포함 된 코스와 3,000 엔에서 3,999 엔, 1.5 시간 동안 전세계 점점, 2.5 시간 동안 만약, 3 시간 이상 싱글 링크를 포함하는 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 알레르기가있는 고객을 수용 할 수 있으며 어린이 메뉴, 슈퍼 매운 요리 및 매장 내 준비를 제공 할 수 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","점심 모든 당신이 먹을 수있는 사다
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
골목을 향합니다
테라스가 있습니다","놀라운 응답 가능
축하 가능성","예
어린이는 환영합니다, 유치원 어린이는 환영 받고, 초등학생은 환영 받고, 기저귀를 기저귀로 가져갈 수 있고, 어린이 메뉴, 알레르기 음식을 이용할 수 있습니다.",불가능합니다,예 (무료),예,,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36223706.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
임대 가능 (좌석) : 80 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명",사용 가능한 예약,없음,https://x.com/paselaakibadenk,https://www.facebook.com/akihabara Pasera Electric Street Store-207896655910557/,"가라오케, 프로젝터, TV 및 모니터, 오디오 장비, 다트",,,
銀座ライオン 秋葉原ラジオ会館店,Ginza Lion Akihabara 라디오 Kaikan 매장,https://retty.me/area/PRE13/ARE11/SUB1102/100001160407/,03-5298-5155,맥주 홀 서양식 음식,"[월요일부터 금요일, 토요일, 휴일 전]
 11:30-23:30
[일요일과 휴일]
 11:30-22:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Akihabara 라디오 홀 B1F, 1-15-16 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 1 분 (80m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 거리 (330m)
JR Yamanote Line / Kanda (도쿄) 스테이션 5 분 도보 (390m)",,125 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,"점심, 개인 객실, 싱글 룸, 크리스마스 저녁 식사, 세련된 저녁 식사, 저녁 식사, 쌀, 흡연, 전용 객실 점심, 세련된 점심, 세련된 개인 실, 개인 객실 엔터테인먼트, Paypay 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25283791.jpg,,,,,,,,,
すき家 岩本町三丁目店,Sukiya Iwamotocho 3-Chome 매장,https://retty.me/area/PRE13/ARE11/SUB1102/100000880426/,0120-498-007,쇠고기 그릇 테이크 아웃 햄버거,"[하루 종일]
 0:00-24:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"3-3-5 Iwamotocho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Iwamotocho 역에서 도보로 1 분 (78m)
JR Yamanote Line / Akihabara Station 3 분 도보 (210m)
도쿄 메트로 히비야 라인 / 코 덴 마흐코 역에서 도보로 7 분 거리 (510m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.sukiya.jp/,,,,,,점심 브런치 아침 식사 이용 가능 첫 번째 기차 저녁 식사 저녁 식사가 없어지지 않아도 늦은 밤에 흡연,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34602155.jpg,,,,,,,,,
焼鳥・おでん　一会,Yakitori와 Oden One Club,https://retty.me/area/PRE13/ARE11/SUB1102/100001045977/,03-5295-1300,Yakitori Oden은 식사를 설정합니다,"[월요일부터 금요일까지]
점심 11 : 30-14 : 00 L.O. 13:45
저녁 식사 17:00-23:00 L.O. 21:45
[토양]
저녁 식사 16 : 30-22 : 00 L.O. 21:00","매주 일요일과 공휴일
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"4-8-5 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 1 분 거리 (76m)
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 6 분 (440m)
JR Yamanote Line / Akihabara 역에서 도보로 6 분 (460m)",,36 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"점심, 저녁, 저녁 식사, 금연, 급여 지불 지불 가능",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001045977/archive/1901249-5f78000bac493.jpg,,,,,,,,,
築地鮮魚居酒屋 八四六,Tsukiji 신선한 생선 이자카야 야시 바로쿠,https://retty.me/area/PRE13/ARE11/SUB1102/100001407613/,03-3834-9555,이자카야,"[월요일부터 금요일과 토요일]
 11:00-13:30
 17:30-22:00","매주 일요일과 공휴일
(SAT) 예약이 필요합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",,,"5-2-10 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 4 분 거리 (320m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 5 분 (360m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://mcf.cn/~846/,,,,,,"점심, 저녁, 쌀, 흡연 허용",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14982645.jpg,,,,,,,,,
バーガーキング 秋葉原昭和通り店,버거 킹 아키하바라 쇼 아도리 매장,https://retty.me/area/PRE13/ARE11/SUB1102/100000752810/,03-3256-3655,햄버거 체인 테이크 아웃,"[하루 종일]
 7:00-23:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,PayPay,"토리야마 빌딩, 1-21 Kanda Sakumacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 1 분 (33m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 3 분 거리 (210m)
JR Yamanote Line / Kanda (도쿄) 역 8 분 (630m)",,99 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://www.burgerkingjapan.co.jp/,,,,,,점심 브런치 아침 식사 저녁 식사 쌀 비 흡연 지불 이용 가능 지불 가능,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/32928030.jpg,,,,,,,,,
家系らーめん 武将家,"가족라면, 군주",https://retty.me/area/PRE13/ARE11/SUB1102/100001473378/,명확하지 않습니다,라면 가족라면,"[하루 종일]
 11:00-23:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",,,"1F, 4-2-7 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara Station 3 분 도보 (210m)
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역 (300m)에서 도보로 4 분
Toei Shinjuku Line / Iwamotocho 역에서 도보로 7 분 거리 (530m)",,10 석,"예
(카운터 좌석 만)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"점심, 저녁 식사, 저녁 식사, 금연",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2898285.jpg,,,,,,,,,
築地鮮魚居酒屋 八四六,Tsukiji 신선한 생선 이자카야 야시 바로쿠,https://retty.me/area/PRE13/ARE11/SUB1102/100001407613/,03-3834-9555,이자카야,"[월요일부터 금요일과 토요일]
 11:00-13:30
 17:30-22:00","매주 일요일과 공휴일
(SAT) 예약이 필요합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",,,"5-2-10 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 4 분 거리 (320m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 5 분 (360m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://mcf.cn/~846/,,,,,,"점심, 저녁, 쌀, 흡연 허용",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14982645.jpg,,,,,,,,,
神田 煉,칸다 렌,https://retty.me/area/PRE13/ARE11/SUB1102/100001122986/,03-5289-7630,이자카야 B 등급 국수 요리 소바 (Soba),"[월요일부터 금요일과 토요일]
 11:30-14:30
 17:30-23:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔",Amex,PayPay,"Kanda Suda-Cho, Chiyoda-Ku, 도쿄, Arvail Kanda East 1F 2-13-10
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Iwamotocho 역에서 도보로 1 분 (69m)
JR Yamanote Line / Akihabara 역에서 도보 2 분 (140m)
JR Yamanote Line / Kanda (도쿄) 스테이션 6 분 (450m)",,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 저녁 식사, 저녁, 쌀, 비 흡연, 개인 실, 세련된 점심, 세련된 개인 실, 개인 객실, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/12763057.jpg,,,,,,,,,
個室と和食 和菜美 秋葉原店,개인 실과 ​​일본 요리 와나미 아키하바라 지점,https://retty.me/area/PRE13/ARE11/SUB1102/100001394024/,03-4405-1304,이자카야 일본 음식,"[Sun, 월요일부터 목요일, 토요일 및 휴일]
 16:00-24:00
[금]
 16:00-4:30",불규칙한 휴일,"점심:-
저녁 식사 : ~ 3,000 엔",예,,"Kawahatsu Building 10f, 1-15 Kanda Sakumacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 1 분 (74m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 3 분 거리 (210m)
JR Yamanote Line / Kanda (도쿄) 역 7 분 (560m)",,110 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,개인 객실은 첫 번째 기차 저녁 식사 저녁 식사 저녁 식사/저렴한 레스토랑이 아닌 밤 늦게까지 열리지 않을 때까지 열립니다.,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14023803.jpg,,,,,,,,,
牛たん焼きと伊達ごはん だてなり屋 秋葉原UDX店,구운 쇠고기 혀와 데이트 쌀 datenariya akihabara udx 매장,https://retty.me/area/PRE13/ARE11/SUB1102/100001388811/,03-3525-4013,이자카야,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-22:00 L.O. 21:00","새해 휴일 (확인하십시오)
시설과 동일합니다
매장은 12/30에서 1/3까지 폐쇄되었습니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Akihabara UDX Building 3F, 4-14-1 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 4 분 (250m)
도쿄 메트로 긴자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 4 분 거리 (270m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 7 분 거리 (550m)",예,40 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"https://datenariya-akihabara.foodre.jp/
https://www.datenariya.jp/",,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",,"맥주, 사케, 위스키, 칵테일","점심, 여자의 밤, 모든 링크, 작별 파티, 연말 파티, 새해 파티, 음료수, 와인, 아이들과 함께 즐기기, 영어를 사용하는 저녁 식사, 쌀, 비 흡연, 점심, 여자 밤, 점심, 후 파티, 음료 쇼치, 음료 쇼치
다른 사용 장면을 참조하십시오",상업용 시설에 위치합니다,테이크 아웃 가능성,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,,예,,"영어 중국어 한국
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001388811/archive/31749-6539fae015a5b.jpeg,불가능합니다,사용 가능한 예약,없음,,,,"Suica, Icoca, Nanaco, Rakuten Edy, Waon, Quicpay",https://www.instagram.com/datenari3udx,
