식당 이름,번역된 식당 이름,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
WE ARE THE FARM 渋谷,우리는 농장 시부야입니다,03-6416-0724,Izakaya Bar Bistro Okonomiyaki,"[하루 종일]
저녁 식사 17:00-22:00 L.O. 21:00
[Sun, 화요일, 금요일, 토요일]
점심 11:30-15:00 L.O. 14:30","매주 월요일
점심은 닫힙니다. 저녁 식사가 열려 있습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex",PayPay,"1f Pigeon Shoto Takada Building, 1-28-11 Shoto, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen 역에서 도보 3 분 (240m)
JR Yamanote Line / Shibuya Station에서 도보로 7 분 거리 (520m)
Koio Inokashira Line / Komaba Higashidaimae Station에서 도보 11 분 (870m)",없음,55 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,https://allfarm.co.jp/restaurant/watf/,,,,"우리는 야채 요리, 고기 요리 및 유기농 야채에 특히 그렇습니다.",,사용 가능한 예약,"점심, 전후 먹고, 소녀 파티, 전산, 연회 및 음주 파티, 개인 실, 솔로 손님, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 유기농 요리, 개인 용도로 이용할 수 있습니다.
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기",,,,,,없음,,,,https://www.facebook.com/wearethefarm/,,,https://www.instagram.com/explore/tags/wearethefarm/,,,
スパイラル,나선,03-6416-1213,이탈리아 요리 굴 바 다이닝 바 바 이자카야 스페인 바 이탈리아 바 이탈리아 바,"[하루 종일]
 12:00-23:00 L.O. 23:00
불규칙한 휴일",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"후쿠토미 빌딩 1f, 14-2 마루야마 마코, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 2 분 (130m)
JR Yamanote Line / Shibuya Station 10 분 도보 (780m)
Keio Inokashira Line / Komaba Higashidaimae Station에서 도보 14 분 (1.1km)","없음
근처 (할인 없음) 사용 가능","40 석
(좌석 2 ~ 10 개의 테이블, 10 개의 카운터 좌석, 3 개의 개인 실, 2 ~ 12 석 *감염을 예방할 수있는 좌석 수가 줄어 듭니다.",예,"불가능합니다
(입구 옆에 Ashtray가 설치되어 있으므로 사용하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,https://spiral-shibuya.com/,400 엔을 충전하십시오,"4,000 엔에서 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스, 8,000 엔 이상이 있습니다.","5,000 엔 이상을 사용할 수 있습니다",우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 와인, 칵테일",사용 가능한 예약,"점심, 데이트, 여자 파티, 모든 링크, 연회 및 음주 파티, 개인 객실, 약혼 저녁 식사, 싱글, 엔터테인먼트, 성인 가심
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",,"예
초등학생들은 환영합니다",,,없음,,,,https://www.facebook.com/oyster.spiral/,,,,,,
ツク夜ノ白兎,쓰쿠 나이트 흰 토끼,050-5462-1650,이자카야 해산물과 해산물 야키토리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-28:30 L.O. 28:00
[태양, 토요일, 휴일]
저녁 식사 13:00-28:30 L.O. 28:00
마감 시간은 하루에 따라 다를 수 있습니다",하루 종일 개점,"저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1f Nagashima Daiichi 건물, 1-22-12 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen 역에서 도보 3 분 (240m)
JR Yamanote Line / Shibuya Station에서 도보로 5 분 (340m)",예,"70 석
((실내] 20 개의 카운터 좌석, 22 개의 테이블 좌석, 20 개의 자리가있는 좌석 [외부] 8 개의 테라스 좌석)))",예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://tsukuyonosirousagi.foodre.jp/","카드가 허용됩니다
(비자, 마스터, JCB, AMEX)

전자 돈을 사용할 수 있습니다
(운송 전자 돈 (Suica 등), ID)

QR 코드 결제는 불가능합니다",,,생선 요리 전문,"맥주, 와인, 칵테일",,"흡연 허용 한 사람 OK Rice Dinner Paypay Points 온라인 예약 이용 가능 연말 파티 새해 파티 점심 점심 캐주얼 세련된 성인 데이트 성인 파티 성인 연말 파티
다른 사용 장면을 참조하십시오",,,,,"예
상점 밖에서 사용할 수 있습니다",,예,,03-5990-4950,,,,,,,,
27 MCM,27 MCM,050-5303-5531,이자카야,"[하루 종일]
저녁 식사 17:00-25:00 L.O. 24:30
영업 시간은 하루에 따라 다를 수 있습니다","하루 종일 개점
새해 휴일 (확인하십시오)
새해 새해 새해 발표
우리는 12 월 30 일부터 1 월 5 일까지 문을 닫습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Megumi Building 1f, 6-5 Uguisudanicho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 7 분 (560m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (660m)
Keio Inokashira Line / Shinsen 역에서 도보 14 분 (1.1km)",없음,,예,"불가능합니다
(완전 흡연 허용)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,"[공식적인]
https://mcm27.foodre.jp/",,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 3,000-3,999 엔 All-You-Can-Drink Courses가 제공됩니다.",,"맥주, 사케, 쇼치, 와인, 위스키, awamori",,"작별 파티, 데이트, 저녁 식사, 저녁 식사, 저녁 식사, 저녁 식사, 저녁, 연회 및 음주 파티, 모든 멍청한, 애프터 파티, 고기, 새해 파티, 생일, 심야 오픈, 급여 지불 지불, 환영 파티, 퀵 엔드 파티, 성인 새해 파티, 퀵 엔드 파티, 캐주얼
다른 사용 장면을 참조하십시오",,"축하 가능성
테이크 아웃 가능성",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.","예
매장 내에서 사용 가능하며 리드가 필요합니다",,예,,03-5456-2236,,,,,,,,
鳥源氏,토리 겐,03-3476-2016,Yakitori Oyakodon Izakaya,"[하루 종일]
저녁 식사 16:00-1:00 L.O. 23:00
팔리 자마자 끝납니다","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Saito Daini Building 4F, 2-29-18 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (95m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (560m)",없음,23 석,예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명","예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
최대 22 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 15 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 30 명","[공식적인]
https://torigenji.foodre.jp/",,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","5,000 엔 이상에 대한 all-you-can-drink와 2.5 시간 동안의 싱글 링크가 포함 된 과정이 있습니다.","우리는 고기 요리에 대해 특히, 알레르기가있는 고객을 수용 할 수 있으며 요리사는 유명한 식당에서 훈련을 받았으며 매장 내에서 준비했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"데이트 전일-마시는 연회/음료 파티 개인 객실 약혼 저녁 식사 싱글 엔터테인먼트 작별 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시십시오.
다른 사용 장면을 참조하십시오","보기가 좋습니다
개방성이 있습니다
활발한 상점
숨는 곳
상단에 있습니다","축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",없음,"예
어린이는 환영하고, 미취학 아동은 환영하고, 초등학생은 환영하며, 알레르기 식품을 환영합니다.",불가능합니다,예 (무료),예,,,,,,,,,,
和牛食べ放題専門店 個室完備 焼肉サムライ 侍～SAMURAI～渋谷店,개인 실이있는 일본 쇠고기 전문점 야키니 쿠 사무라이 사무라이 ~ 사무라이 ~ 시부야 지점,050-5462-4162,야키니쿠 호르몬 이자카야,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"시부야 에메랄드 빌딩 4F, 12-7 우다 가와치, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (240m)","없음
근처 (할인 없음) 사용 가능","60 석
(두 사람을위한 개인 실은 이용할 수 없습니다.)",없음,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 60 명
최대 70 명을 임대 할 수 있습니다 (좌석)
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 70 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","전산 된 점점 : 2,000-2,999 엔, 2,999 엔 미만의 all-you-can-drink 코스, 3,000-3,999 엔 미만의 all-rink 코스, 4,000-4,999 엔, 5,000-wally yen 또는 all-you-can-drink courss at all-you-can-drink 코스. 2,55-you-can-drink 시간, 싱글 링크 시간 이상, 끊임없는 시간 이상, 시간이 지나면 시간이 지나면 시간 이상","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 채식 메뉴, 매우 매운 메뉴, 요리사는 해외 훈련 경험, 유명한 요리사의 요리, 주인 요리사 및 매장 내 준비에 대해 특히 알고 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"모든 고기 고기, 개인 실, 전산 된 링크, 지불금 지불 가능, 지불금 포인트, 온라인 예약 가능, 연말 파티, 새해 파티, 인기있는 레스토랑, 크리스마스 2024, 세련된, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",평상복,"예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",불가능합니다,예 (무료),예,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",03-6455-2390,,,,,,,,
しゃぶしゃぶれたす渋谷センター街店,Shabu-Shabu Shibuya Center Street 매장,03-6712-7108,Shabu-Shabu Izakaya Sukiyaki 쇠고기 요리,"[하루 종일]
점심 12:00-16:00 L.O. 15:30
저녁 식사 16:00-22:00 L.O. 21:30
팔리 자마자 끝납니다","하루 종일 개점
우리는 ""새로운 라이프 스타일""을 따르는 ""To With Coronavirus 시대""에서 ""새로운 레스토랑 비즈니스 스타일""의 시험 사업으로 비즈니스를 열 것입니다. 재판이 재개되면서 상점 (일부)도 감염의 확산을 고려할 사업이 마련되도록하기 위해 사회적으로 거리가 멀다.
알코올 소독, 철저한 마스크 및 장갑, 식사 이외의 고객 착용 마스크, 메뉴 및 상점 방문자 수를 제한하고 비즈니스를 재개하는 것을 포함하여 귀하의 이해와 협력에 감사드립니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2f New Shibuya Building, 28-2 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (99m)
Keio Inokashira Line / Shinsen Station에서 도보 8 분 (610m)","없음
근처 (할인 없음) 사용 가능",50 석,예,"불가능합니다
(하루 종일 흡연 없음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,자세한 내용은 전화로 문의하십시오.,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","우리는 야채 요리, 고기 요리 및 식품 생산 공간에 특히","맥주, 쇼카, 와인, 칵테일",사용 가능한 예약,"점심으로 점심으로 먹는다 당신이 흠뻑 젖은 연회와 술을 마시는 파티는 솔로 작별 파티를 위해 이용할 수있는 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인을 마시는 아이들 세련된 주차장이 있습니다.
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기",축하 가능성,평상복,"예
초등학생들은 환영합니다",불가능합니다,,없음,언어 지원 메뉴가 있습니다,,,,,,,,,
焼肉・ホルモン 炙 渋谷本店,Yakiniku/Hormones 구운 시부야 메인 매장,03-6415-2929,Yakiniku Izakaya 한국 요리 호르몬 쇠고기 혀,"[하루 종일]
저녁 식사 15:00-23:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"4f Sigma 5th Building, 12-12 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 7 분 거리 (510m)
Keio Inokashira Line / Shinsen 역에서 도보로 9 분 (700m)
도쿄 메트로 치 요다 라인 / 메이 지 징 투마 역에서 도보 14 분 (1.1km)","예
근처 (할인 없음) 사용 가능",36 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","4,000 엔에서 4,999 엔으로 인한 all-you-can-drink와 5,000 엔 이상을위한 all-can-drink 및 2 시간 동안의 싱글 링크가 포함 된 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인",사용 가능한 예약,"싱글 링크 연회와 음주 파티 싱글 싱글 파티 싱글 파티 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인 마시는 와인을 마시는 주차장이 있습니다.
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,,예,언어를 말할 수있는 직원이 있습니다,,,,,,,,,
居酒屋革命 酔っ手羽 渋谷店,Izakaya Revolution 음주 치킨 날개 시부야 지점,03-6416-5758,이자카야 야키토리,"[하루 종일]
 17:00-8:00 L.O. 7:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Shibuya Dai-4th Building, 2-7-1 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (40m)",예,66 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,"ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 한 시간 30 분 동안 만 살해, 2 시간 동안 완전히 흠뻑 적시고, 3 시간 이상 만난 링크","우리는 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특히","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"전산 된 링크 연회/음주 파티 작별 파티를 환영 파티 연말 파티 새해 파티 어린이들과 함께 즐거운 첫 번째 기차 저녁 식사 저녁 식사가 없을 때까지 열려있을 수 있습니다.
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다",,,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,불가능합니다,예,,,,https://www.facebook.com/profile.php?id=100085916647068,,,,,,
ジョウモン 渋谷店,조몬 시부야 상점,03-6416-1633,Izakaya Motsunabe Yakitori,"[하루 종일]
저녁 식사 17 : 30-23 : 45 L.O. 23:00",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"2-19-2 Dogenzaka, Shibuya-Ku, 도쿄, 2 층 및 3 층, Murugi Building
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 5 분 (390m)
JR Yamanote Line / Shibuya Station에서 도보로 7 분 거리 (520m)
Keio Inokashira Line / Komaba Higashidaimae Station (1.4km)에서 도보로 18 분",,50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://teyandei.com/?page_id=21,,,,,,,"날짜, 소녀 파티, 전후의 파티, 그룹 데이트, 연회 및 음주 파티, 개인 객실, 싱글, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,,,,,,,,,,,,
串焼き 末代,구운 꼬치,03-6427-8596,Yakitori Izakaya Skewer Okonomiyaki,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
[하루 종일]
저녁 식사 17:00-23:30 L.O. 22:30","하루 종일 개점
*새해 전야와 새해 첫날에만 문을 닫았습니다.

[마지막 순서]
음식 : 22:30 음료 : 23:00","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",,"Dogenzaka Trower Building 3F, 2-6-12 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (44m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (560m)",없음,"44 석
(11 개의 카운터 좌석, 33 개의 테이블 좌석)",예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","3,000 엔에서 3,999 엔, 4,000 엔에서 4,999 엔, 2 시간 동안 싱글 링크를 포함하는 코스가 있습니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 쇼카, 와인, 칵테일",사용 가능한 예약,"점심으로 점심으로 마시는 연회 및 음주 파티 싱글 싱글 싱글 파티 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 어린이와 함께 즐길 수있는 새해 파티는 비공개 저녁 식사 쌀을 마시지 않을 수 있습니다.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳",,,예,,,없음,,,,,,,,,,
カルボ 渋谷店,Calvo Shibuya 상점,03-6416-3224,이자카야 서부 음식,"[하루 종일]
점심 12:00-14:30
저녁 식사 17:00-23:00",명확하지 않습니다,"점심 : ~ 2,000 엔",,PayPay,"Dogenzaka NK 빌딩 ​​1f, 1-16-15 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)
Keio Inokashira Line / Shinsen Station에서 도보 6 분 (450m)",,,,,,,,,,,,,,"점심, 저녁 식사, 쌀, 급여 지불 지불 가능, 캐주얼",,,,,,,,,,,,,,https://www.instagram.com/shibuya.carbo2024?igsh=mtjontbkbwwww5cdjjzg%3d%3d,,,
おかめ茶屋,Okame Tea Shop,03-3476-0795,이자카야,"[월요일부터 금요일, 토요일, 휴일 전]
 19:00-29:00",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"1F Matsubara Corp., 19-11 Maruyamacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 2 분 (110m)
JR Yamanote Line / Shibuya Station 10 분 도보 (790m)
Keio Inokashira Line / Komaba Higashidaimae Station에서 도보 15 분 (1.1km)",,30 석,,,없음,,,,,,,,,"첫 번째 열차 저녁 식사가 나이트에 늦게 개장 할 때까지 개장하십시오. 지불금 지불 지불 이용 가능 캐주얼 성인의 연말 파티 빠른 연말 파티 성인 새해 파티 빠른 새해 파티 빠른 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,,,,,,,,,
虎うま,호랑이,03-6427-8360,이자카야 바 고기 바 말 고기 요리 치킨 요리,"[Sun, 월요일부터 목요일, 토요일 및 휴일]
 17:30-24:00 L.O. 23:30
[금요일/휴가 전]
 17:30-2:00 L.O. 1:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"요시노 빌딩 1f, 17-10 사쿠라 가오 카코, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (300m)
Keio Inokashira Line / Shinsen 역에서 도보로 11 분 (850m)
도쿄 도요코 라인 / Daikanyama 역에서 도보로 12 분 (930m)",없음,28 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,,우리는 야채 요리와 고기 요리에 대해 특별합니다,,사용 가능한 예약,"all-you-can-drink 연회 및 음주 파티 싱글 싱글 OK 성인 은신처 작별 파티를 환영 파티를 환영합니다 체리 꽃보기와 레스토랑은 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 와인 세련
다른 사용 장면을 참조하십시오",,놀라운 응답 가능,,,,,없음,,,,https://www.facebook.com/pages/tigeruma/1595613027332000,,,,,,
#NAME?,#NAME?,03-6712-7979,이자카야 한국 요리,"[월요일 ~ 목요일]
 17:00-27:00
[일요일, 금요일, 토요일, 휴일 전]
 17:00-29:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Chitose Kaikan 2f, 13-8 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)",없음,20 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://nikuyokocho.jp/shop/pegopa/,,,,고기 요리 전문,"맥주, 쇼치, 칵테일",사용 가능한 예약,"소녀의 밤, 연회 및 음주 파티, 솔로 환영 파티, 연말 파티, 새해 파티, 첫 번째 열차, 저녁 식사, 쌀, 흡연, 무료 Wi-Fi, 늦은 밤, 음료 Shochu, Paypay Payably, Casual까지 문을 엽니 다
다른 사용 장면을 참조하십시오",활발한 상점,"놀라운 응답 가능
축하 가능성",,불가능합니다,,,예,,,,,,,https://www.instagram.com/pegopa_nikuyoko,,,
