category,attraction,description,address,image,date,price
자연,자연교육원,"자연교육원은 도쿄 미나토구 시로카네다이에 위치한 도심 속 대규모 자연 녹지로, 국립 과학박물관이 운영하는 부속 시설입니다.","5-5-21-5 Shirokanedai, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1668655352/tokyo/Tokyo_t_id340_4",,
역사,조조지사원,"도쿄 미나토구 시바공원에 위치한 일본 정토종(淨土宗)의 대표 사찰로, 도쿄타워 바로 옆에 자리해 현대와 전통이 어우러진 풍경으로 유명합니다.","4-7-35 Shibakoen, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1645756607/tokyo/M_00534_001",,
역사,종이박물관,"종이를 사랑하고, 오직 종이만이 가진 독특한 매력을 아는 모든 이들을 위한 체험형 박물관","1-1-3 Oji, Kita-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935403/tokyo/Tokyo2289_3",,300
자연,지도리가후치,"도쿄 황궁(고쿄) 서쪽에 위치한 해자(성곽의 물길)와 그 주변 산책로, 공원 일대를 일컫는 명소","Kudanminami 2 to Sanban-cho, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937447/tokyo/Tokyo2222_12",,
자연,치치지마섬,유네스코 세계자연유산에 등재된 천혜의 자연을 간직한 섬입니다,"Ogasawara Islands, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935254/tokyo/Tokyo2377_2",,
랜드마크,키자니아 도쿄,재미로 가득한 키자니아,"Urban Dock LaLaport Toyosu 1 North Port 3F, 2-4-9 Toyosu, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1645757207/tokyo/M_00541_001",,4750
역사,팀랩 플래닛 TOKYO DMM,초대형 디지털 아트공간,"6-1-16 Toyosu , Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1630477164/tokyo/Tokyo2137_main",,380
랜드마크,하네다 공항 주변,도쿄 최초의 공항 겸 국내선 항공편의 주된 교통의 요지,"3-3-2 Hanedakuko, Ota City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935287/tokyo/Tokyo2348_6",,
랜드마크,하네다공항,도쿄 최초의 공항이자 가장 붐비는 공항,"3 Chome, Hanedakuko, Ota-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935287/tokyo/Tokyo2348_6",,
액티비티,하라주쿠,일본 스트리트 패션의 중심지 하라주쿠는 일본에서 유행하는 패션 그 자체를 의미합니다,"Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934486/tokyo/Tokyo2324_3",,
액티비티,하라주쿠 & 오모테산도,도쿄 시내에 서로 어깨를 맞댄 교외 지역과 패션 천국,"1-19-13 Jingumae, Shibuya City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516980080/tokyo/Tokyo2324_6",,
자연,하마리큐 은사정원,"대도시 한가운데 자리 잡은 오아시스, 비교적 덜 알려진 황실과 막부의 정원","1-1 Hamarikyuteien, Chuo-ku, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936438/tokyo/Tokyo2346_2",,300
자연,하마리큐 은사정원 벚꽃,평온한 정원에서 조명을 받아 빛나는 벚꽃,"1-1 Hamarikyuteien, Chuo-ku, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936322/tokyo/Tokyo2359_1",,300
액티비티,하치조섬(하치조지마),"아열대 섬에서 즐기는 해변 온천, 해양 스포츠와 자연의 신비",Tokyo-to,"https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937137/tokyo/Tokyo2378_2",,
액티비티,하하지마섬,"오염되지 않은 섬 안식처에서 트레킹, 스노클링, 그리고 슬로우 라이프 즐기기","Ogasawara Islands, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934373/tokyo/Tokyo2379_7",,
자연,히가시교엔,에도성 성터에 조성된 꽃밭과 숲,"1-1 Chiyoda, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937490/tokyo/Tokyo2234_1",,
공원,히비야공원,A green haven among skyscrapers,"1 Hibiyakoen, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513946024/tokyo/Tokyo2226_6",,
역사,히에신사,도쿄의 수호신을 모시는 신사입니다. 특히 6월에 열리는 산노마쓰리 축제로 유명,"2-10-5 Nagata-cho, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938584/tokyo/Tokyo2228_10",,
